{'短评内容': '卫生干净', '短评打分': 5}
{'短评内容': '吃的高兴', '短评打分': 5}
{'短评内容': '层次高', '短评打分': 5}
{'短评内容': '吃住玩方便', '短评打分': 5}
{'短评内容': '一般一般一般', '短评打分': 4}
{'短评内容': '还行吧，有停车场', '短评打分': 5}
{'短评内容': '网太差', '短评打分': 4}
{'短评内容': '网太差，其他还可以', '短评打分': 4}
{'短评内容': '离衢州中级人民法院特别近。酒店还算安静，不过可能年代久了，设施不是很新。我的房间没有防盗门链。', '短评打分': 5}
{'短评内容': '一般，还过得去。', '短评打分': 4}
{'短评内容': '没想到火车站边上也能那么安静，真不错。没我餐饮真是遗憾', '短评打分': 4}
{'短评内容': '无线连不上，老是断，需要加强', '短评打分': 4}
{'短评内容': '宽带要加强，老是段，房间不错的', '短评打分': 4}
{'短评内容': '住的挺舒适的，楼层隔音略显不足', '短评打分': 5}
{'短评内容': '还不错，就是电视没点播', '短评打分': 5}
{'短评内容': '位置很方便，离汽车站和火车站都不远', '短评打分': 5}
