{'短评内容': '还算方便', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '挺好的酒店', '短评打分': 5}
{'短评内容': '半夜突击查房居然没有服务员陪同!还以为是抢劫!望下次改进', '短评打分': 4}
{'短评内容': '非常棒的酒店，大堂很气派，环境优美，早餐也很丰盛。在花都属于比较不错的酒店，适合商务出差，性价比很高', '短评打分': 5}
{'短评内容': '在花都出差这么多次，住过很多酒店，这是最满意的一家。每天服务员还会送报纸和水果过来，太贴心了。', '短评打分': 5}
{'短评内容': '房子性价比很高，还送了爱心水果。房子设施很不错，下次还入住。', '短评打分': 5}
{'短评内容': '为了过关住的，很老的酒店，设施什么比较旧', '短评打分': 4}
{'短评内容': '很干净很好', '短评打分': 5}
{'短评内容': '各方面还可以', '短评打分': 4}
{'短评内容': '不错的酒店，下回还住', '短评打分': 5}
{'短评内容': '酒店卫生服务可以，美中不足的就是隔音大差，下面kTV噪音大……', '短评打分': 3}
{'短评内容': '住房环境不错，可以算得????高尚', '短评打分': 5}
{'短评内容': '出租车不是那么方便。', '短评打分': 4}
{'短评内容': '很不错，就是KTV有点吵', '短评打分': 5}
