{'短评内容': '考试的时候去的，房间味儿比较大，不隔音，周围环境还可以，离学校比较近，将就住', '短评打分': 4}
{'短评内容': '请问返的现金在哪里？？被吃了吗？', '短评打分': 4}
{'短评内容': '一般般一般般', '短评打分': 2}
{'短评内容': '酒店挺好的。', '短评打分': 5}
{'短评内容': '跟朋友出去一起玩，环境舒适，早餐很美味，清淡，干净整洁，客服姐姐人美心美服务用心，让人有种宾至如归的感觉。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '不错，房间干净，周边也不吵，适合出游居住。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '服务太差  乱搞', '短评打分': 2}
{'短评内容': '离家近方便', '短评打分': 4}
{'短评内容': '房间比较小，床也小，感觉不符合酒店的名字', '短评打分': 3}
{'短评内容': '挺好的 多安静停车有点忧伤 不过一切都还好', '短评打分': 3}
{'短评内容': '房间不错，比较干净。服务也可以。就是比较偏，不是很好找。', '短评打分': 3}
{'短评内容': '还行吧这个价位', '短评打分': 3}
{'短评内容': '房间非常好，服务一般', '短评打分': 5}
{'短评内容': '住的很是舒服', '短评打分': 5}
{'短评内容': '房间设施还行，就是在这个镇上不应该这么贵', '短评打分': 4}
{'短评内容': '168元的商务标间，设施比较新，还好，也很安静', '短评打分': 4}
