{'短评内容': '还行，还可以。', '短评打分': 5}
{'短评内容': '非常干净，环境也不错，交通也便利', '短评打分': 5}
{'短评内容': '酒店房间很大 设施很一般 门前有停车场 连锁酒店说不上有什么服务吧 感觉是个老楼改的 位置挺方便 几个大的购物地方都在附近', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '可以，可以了。', '短评打分': 5}
{'短评内容': '挺好不错的房间，京东优惠，虽然京东属于二道贩子，哈哈！优惠卷挺好', '短评打分': 5}
{'短评内容': '凌晨五点半到的，六点入住，因为六点前入住要多算一天的样子值班的妹子特别好，很体贴，会聊天，样子清秀，也介绍了一下周边，很喜欢这样的姑娘，非常友好，给酒店加分不少啊！临走的时候问了妹子叫袁静，希望下次来出差还能碰上她当班哟！', '短评打分': 5}
{'短评内容': '大床房靠马路，比较吵，门不够紧，风吹了会响', '短评打分': 5}
{'短评内容': '干净，卫生，有暖气热水供应。工作人员态度良好。非常舒适，很满意的一次入住体验。比如家好太多了。给满分。', '短评打分': 5}
{'短评内容': '位置在市中心交通餐饮都很方便，卫生一般，淋浴下水道堵塞。退房必须在中午12点前，电话磨了好久才同意延迟到12:30，只好急急忙忙赶回酒店，很不人性。我们在开封的汉庭酒店是下午2点前退房，同样是汉庭酒店为啥标准不统一？', '短评打分': 4}
{'短评内容': '态度比较差，12点退房，我说12点左右行不行，不可以，只能左。早餐没东西吃，18，不值', '短评打分': 3}
{'短评内容': '挺不错的地方', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '前台服务很好很热情，而且通过携程入住也不需要交押金，特别方便快捷。每次从前台经过，都会很热情的问好。房间卫生也很干净，前台还提供免费的茶饮、热饮等饮品免费饮用。还有护手霜的提供，真是太贴心。真心不错。', '短评打分': 5}
{'短评内容': '环境不错，还赠送了两罐饮料', '短评打分': 5}
{'短评内容': '住的环境不错～～～～', '短评打分': 3}
