{'短评内容': '地段好房间大，也干净，主要性价比高。', '短评打分': 5}
{'短评内容': '适合情侣入住', '短评打分': 5}
{'短评内容': '服务好，环境好，出游方便。', '短评打分': 5}
{'短评内容': '交通方便，性价比尚可。', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '非常满意 还会入住', '短评打分': 5}
{'短评内容': '很不错，就是没有窗户，比较闷', '短评打分': 5}
{'短评内容': '服务很好，环境优雅，一直和老婆来住的', '短评打分': 5}
{'短评内容': '服务态度很差', '短评打分': 3}
{'短评内容': '很超值的酒店，价格实惠，房间干净', '短评打分': 5}
{'短评内容': '还可以，地点不错，赞一个', '短评打分': 4}
{'短评内容': '开不了增值税发票', '短评打分': 4}
{'短评内容': '还不错，要是有窗户就好了', '短评打分': 5}
{'短评内容': '酒店地理位置很好，房间布置非常有特色，和传统酒店有很大区别，第一次入住此类精品酒店住户需要一个适应过程！     ', '短评打分': 4}
{'短评内容': '酒店地段非常好，环境也不错。停车有点困难，楼下广场如有位置的话30元一天。酒店服务很好，有什么需求一个电话很快就响应。房间还是比较干净的，但是设施有点旧了，我住552，浴室TV，智能马桶都休假了。一年前，我也是碰巧住在这间房间，太巧合了。', '短评打分': 4}
{'短评内容': '浴缸真的很不错，但是空调制热真的很不行，很不行，其他的都很棒', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店居然需要先付款再收押金，这么多酒店住下来第一次碰到，服务员也不够灵活，让人受不了的是他们竟然将客人的遗留物直接扔进垃圾桶，直接无语，也懒得索赔，一件衣服而已，但是对于这样的服务很难说好，本来就是老公订来庆祝我生日的，结果这样……', '短评打分': 4}
