{'短评内容': '地理位置优越，周围吃的东西应对。多次入住了', '短评打分': 5}
{'短评内容': '前台服务态度很热情，酒店位于市中心，交通便利，出行方便，价格优惠，Wi-Fi信号很好', '短评打分': 5}
{'短评内容': '四周环境嘈杂', '短评打分': 3}
{'短评内容': '前台服务员服务态度特别好，房间卫生赶紧，虽然有装修，地板有起皮，但一点不影响入住，家人都觉得住的不错，晚上会员还送了牛奶！', '短评打分': 5}
{'短评内容': '前台服务很好，态度也很耐心，虽然地板起皮但是不影响住的，住的让人感觉很舒服。卫生挺干净，会员晚上还送了牛奶！', '短评打分': 5}
{'短评内容': '房间很大，住一晚，舒服！感觉客服帮忙选偏静的房！', '短评打分': 5}
{'短评内容': '卫生、环境、服务、设施都很好。前台耐心解答提问，周边交通也很方便，走不远就有吃食一条街。感觉琼海各方面比万宁好多了。看来出来最好是住七天或如家这样连锁酒店好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '服务态度很好。环境优美房间干净整洁', '短评打分': 5}
{'短评内容': '总高16层，有电梯。房间整齐干净，装修简约。', '短评打分': 3}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境很好，很安静', '短评打分': 5}
{'短评内容': '服务态度恶劣，没有热水，前台美人接电话，非常窝心的一次入住', '短评打分': 1}
