{'短评内容': '酒店一般般', '短评打分': 4}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '还行吧。。就是房间里面的灯光昏暗了一点，晚上做看点资料文件是不行了。其他的都还过的去。主要是实惠，出行方便。不过要坐地铁的就稍微有点远了。', '短评打分': 4}
{'短评内容': '挺好找，挺不错，隔音有点差', '短评打分': 3}
{'短评内容': '帮女朋友代订，她说有些灰尘，房间有些老化，感觉有段时间没人住的，位置还可以。', '短评打分': 4}
{'短评内容': '怎么说 这个应该是在长沙订的最失败的一个酒店了 酒店很旧这个我能接受 但是 你要干净吧 房间里面有苍蝇 而且很潮 床头一个好的一个坏 好的那个有灯罩坏的那个直接就是灯泡啊 还有 艺龙打出的口号是五折 去前台竟然高速我 网上和店里的价格一样 搞什么', '短评打分': 3}
{'短评内容': '差劲，房间小，水量小，隔音差', '短评打分': 3}
{'短评内容': '一般。', '短评打分': 1}
{'短评内容': '性价比挺高', '短评打分': 5}
{'短评内容': '该酒店不错，尤其是还可以使用消费券；室内设施也不错，房间整体环境蛮可爱的，真有点薰衣草的感觉', '短评打分': 5}
{'短评内容': '总体偏差，与一般的旅馆差不多，与其他经济型酒店有差距。', '短评打分': 1}
{'短评内容': '价格没有优势，环境看过去也不整洁，连过道的墙纸都脱落发霉', '短评打分': 1}
{'短评内容': '地理位置还可以,只是房间有蚊子，还有墙上的墙纸要换一下了。', '短评打分': 5}
{'短评内容': '交通还算便利，公交车直达的，很好找，房间挺可爱的，', '短评打分': 5}
