{'descr': '不怎么好  早上还没热水用 我差点被冻晕过去', 'star': 1}
{'descr': '性价比还不错的一家连锁当时去附近出差很方便。', 'star': 5}
{'descr': '离火车站挺近的，赶火车还是很方便的。', 'star': 5}
{'descr': '前台不够专业.服务不到位.其它各方面都不错.硬件和软件条件都挺不错的.', 'star': 5}
{'descr': '服务很好，员工都非常热情，感觉很温馨。', 'star': 5}
{'descr': '房间很干净，酒店卫生做的很好，很彻底。', 'star': 5}
{'descr': '感觉不错', 'star': 5}
{'descr': '酒店的位置很好，出行交通方便。环境舒适达标。', 'star': 5}
{'descr': '房间也挺干净的，挺宽敞的，去火车站也挺方便的。价格也不贵，值得推荐一下。', 'star': 5}
{'descr': '位置有些偏。其他都很不错。下次还会入住。', 'star': 5}
{'descr': '酒店的管理还是挺好的，服务人员都很专业热情。配置硬件设施就比较一般了。', 'star': 5}
{'descr': '酒店的位置不错，出行交通方便，但是不会吵杂，晚上休息很安静。', 'star': 5}
{'descr': '与松江火车站、松江长途汽车站及醉白池公园相邻，距9号地铁站也不远，交通非常方便；宾馆卫生条件非常好，服务员很热情，有宽带上网非常方便！', 'star': 5}
{'descr': '酒店去会展中心体育馆比较近也很方便，价格算是合理适中的。', 'star': 5}
{'descr': '交通挺方便的，但是偏远了idan', 'star': 5}
{'descr': '房间还不错，卫生什么的也搞的比较到位，要是浴室再大点就更好了。', 'star': 5}
{'descr': '酒店在松江区，交通快捷，出行挺便利的。', 'star': 5}
{'descr': '环境舒适，布置也合理，卫生状况良好。', 'star': 5}
{'descr': '早餐种类有点少，其他方面都比较满意，尤其卫生，很感谢做打扫的工作人员。', 'star': 5}
{'descr': '离坐车地方近，觉得很方便', 'star': 3}
{'descr': '方便', 'star': 5}
{'descr': '很喜欢 就是太远了出入有点不方便  卫生很好  设施齐全   性价比很高   服务态度不对太有礼貌了', 'star': 5}
{'descr': '还不错，注重客户体验~！', 'star': 5}
