{'短评内容': '环境很好，很干净', '短评打分': 5}
{'短评内容': '房间还可以，厕所是蹲位。有早餐，早餐种类挺多的，也挺好吃，早餐师傅服务态度特别好！！前台服务态度有待提高。', '短评打分': 4}
{'短评内容': '除了卫生间漏水、洗澡水不热、空调没热风、窗户漏风、门卡总坏、wifi很慢之外还没发现别的不足之处。哦顺便说一句，前台阿姨态度很好，但那个年轻的我实在无力吐槽，态度跟吃了屎一样。平均分给四分是希望可以早日改正，别跟我说一分价钱一分货，能做的更好为什么不呢', '短评打分': 4}
{'短评内容': '地段还可以，无线网络等于摆设，基本只能看看网页', '短评打分': 3}
{'短评内容': '服务一般，环境一般', '短评打分': 2}
{'短评内容': '一般般，', '短评打分': 3}
{'短评内容': '住这个宾馆简直太值了！快捷酒店的价格，四星级酒店的体验！ 从门脸就能感觉到店主一定是有情调且追求完美的，果然啊，进入后很多细节都会证明这一点。但细节太多，我就不一一描述了，请各位自己体验～gaga 总之，环境好，卫生好，设施好，服务好，吃得好', '短评打分': 5}
{'短评内容': '酒店环境一般，设施陈旧，早餐单调，卫生条件尚可', '短评打分': 5}
{'短评内容': '不给刷卡。。。。。。。', '短评打分': 3}
{'短评内容': '住了很多次了。。。。。冬天了，老板给换了厚被子', '短评打分': 3}
{'短评内容': '不错的地方', '短评打分': 5}
{'短评内容': '床铺舒服。。。。。。。。。', '短评打分': 3}
{'短评内容': '房间不错，带早餐。。', '短评打分': 3}
