{'短评内容': '前台李莉服务很好', '短评打分': 5}
{'短评内容': '前台李莉服务不错', '短评打分': 5}
{'短评内容': '前台李莉服务好', '短评打分': 5}
{'短评内容': '非常不错的酒店，交通方便，停车方便，前台服务热情周到，有宾至如归的感觉。考虑到我们堵车时间长，免费升级了房间更好地休息。房间设施好，见图', '短评打分': 5}
{'短评内容': '前台李莉服务态度很好！          这个价位，物有所值。                 ', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很不错，打扫的干净卫生，有无线wifi服务人员也比较热情，', '短评打分': 5}
{'短评内容': '可以的，早餐也很丰富，就是，为什么房间没有纸！', '短评打分': 5}
{'短评内容': '房间打扫得很干净睡得很舒服', '短评打分': 5}
{'短评内容': '房间靠近主干道，有点吵', '短评打分': 5}
{'短评内容': '很好，次次都来', '短评打分': 5}
{'短评内容': '很好，很舒服', '短评打分': 5}
{'短评内容': '总体感觉还是不错的', '短评打分': 5}
{'短评内容': '不错，价格稍偏贵，不过西昌的行情就这样的', '短评打分': 5}
{'短评内容': '入住的房间在二楼  窗户对着楼梯 不仅光线不好 还有行人上下楼的噪音 不拉窗帘外面路人可以直接看进来 房间电脑耳机右音道是坏的  我要求前台换房 但并没有换房成功。 总之 就是十分不满意！', '短评打分': 4}
{'短评内容': '酒店的服务很好,不管是前台的妹妹还是打扫卫生的清洁人员态度都很好也很热情,由于赶火车去的,所以时间比较早,订的那种房间没有空出来,前台妹妹二话不说就升成了商务间。\r\n\r\n酒店设施说不上堂皇但是绝对也不差，在下的房间不管是房间里还是卫生间都没有任何异味，各种设施也没有破损或残旧的现象。房间里还有一台电脑，键盘鼠标看着也是常常打理的，无线信号每一件房间都有单独的ID，速度也完全没有问题。', '短评打分': 5}
{'短评内容': '很好，下次还住这里', '短评打分': 5}
{'短评内容': '卫生环境不错，服务态度也很好。下次继续住这', '短评打分': 5}
{'短评内容': '出差来这住的，性价比高，房间大，干净。不错', '短评打分': 5}
{'短评内容': '不错，环境还可以，早餐丰富，值得一住', '短评打分': 5}
{'短评内容': '还是不错的啦，下次还来', '短评打分': 3}
{'短评内容': '不错 很干净..............', '短评打分': 5}
{'短评内容': '干净卫生，性价比高，我和朋友们都觉得不错，推荐', '短评打分': 5}
{'短评内容': '服务和设施都不错，交通便利，套餐性价比高。', '短评打分': 5}
{'短评内容': '还不错！但感觉有点吵闹！不是那么安静！总体还是很好！', '短评打分': 5}
{'短评内容': '客房大小不错，价格适中，非常干净，客服态度很好，我喜欢，值得推荐。', '短评打分': 5}
{'短评内容': '总体不错，但因为是在西昌这样的地方，旅游服务总有不尽人意之处。如下：\n1、明明有房间，但在五点过后就把网上预订关了。\n2、一年四季执行几个价格不说，每天的价格都有变动，上午比如200，下午就220了，非常不诚信，所以可以想象在这样的酒店如果遇到什么纠纷，是难以解决的。\n3、房间隔音差。', '短评打分': 1}
{'短评内容': '感觉还是比较干净，设施也行，100多来说不错了', '短评打分': 3}
{'短评内容': '服务很好，硬件设施也很好，比宜必思超值，下次来西昌一定再来', '短评打分': 5}
{'短评内容': '让人难以想象，早之前预定的房间，还用信用卡担保了。结果晚上10点过到店，告诉我工作人员误操作把我的房取消了，等了半小时，给我到另一个地方协调了一间，而且房间跟图片上效果差距很大，总体上不满意，需要改进。', '短评打分': 1}
{'短评内容': '酒店的环境，服务都很好，交通便利，是旅游的首选', '短评打分': 5}
{'短评内容': '还不错，只是定的5个商务标间配置不一样（其中一个有电脑）。', '短评打分': 5}
{'短评内容': '还可以，就是预定的家庭房没有了，', '短评打分': 3}
{'短评内容': '房间不错，宽敞，光线好\n洗澡水稍稍有点小， 温度不是很够·其他都还好·\n价格也很公道，下次来西昌估计还会选择·', '短评打分': 5}
{'短评内容': '不错酒店\n在订单性价比还不错 值得推荐。。。。。。。', '短评打分': 5}
{'短评内容': 'very good，酒店服务很好，交通便利，是出差旅游的首选', '短评打分': 5}
{'短评内容': '这次入住的是航天大道的这家，我们订了3个家庭房，很整洁，很温馨，前台服务人员态度也不错，总的来说，还比较满意！旁边一条街，卖吃的也多，中餐馆和烧烤都有！就是停车场有点小，呵呵', '短评打分': 5}
{'短评内容': '房间比想像中小一些，两个单间有一间厕所异味比较啦啦啦。。到西昌啦还是不错，服务态度很好。提供早餐比较方便。wife很不错。不过购物，买去泸沽湖车票这些感觉还是不是很方便。', '短评打分': 3}
{'短评内容': '\u3000预定了的房间被人住了，说帮我查，幸好我没有一直等，重新找了住的地方，要不住的地方都没了。我还能评价什么？', '短评打分': 3}
{'短评内容': '很满意,酒店服务不错,情调房值得推荐.', '短评打分': 3}
{'短评内容': '干净，服务诚恳', '短评打分': 3}
{'短评内容': '还是不错，房间床上用品干净，服务态度也不错，不过就是有点贵。', '短评打分': 5}
{'短评内容': '不错，交通便宜，价格实惠。就是宽带在高峰期有点慢。', '短评打分': 5}
{'短评内容': '房间挺漂亮的，也很干净，服务态度也挺好，早餐品种虽然不是很多，但味道还可以，在经济型酒店当中算是不错的了，以后来西昌还是选择这家酒店', '短评打分': 5}
{'短评内容': '房间装修很有特色，服务员态度也挺好的，而且离火车站和到成都的汽车站也挺近的，去邛海也很方便，推荐给来西昌的朋友们', '短评打分': 5}
{'短评内容': '比较干净', '短评打分': 3}
{'短评内容': '酒店交通虽然便利，但是比邻航天大道城市主干道，太吵，睡不着', '短评打分': 1}
{'短评内容': '一般般吧，没啥特别好的，也不是特别差！！！！', '短评打分': 1}
{'短评内容': '基本和宣传资料相符。', '短评打分': 3}
{'短评内容': '性价比还行，情调房还挺个性的，双早也不错。', '短评打分': 5}
{'短评内容': '卫生间小了，预定时“三个床位”，给的是两个床。太晚了，懒得理论，匆匆睡了，环境不好！', '短评打分': 1}
{'短评内容': '环境不错，交通也很方便！房间也很干净！', '短评打分': 3}
{'短评内容': '服务态度好，性价比高，交通便利，位置挺好找！', '短评打分': 5}
{'短评内容': '家庭房还不错，够4-5人一家人住,只是该酒店的早餐一般。', '短评打分': 5}
{'短评内容': '房间不错…位置也很方便', '短评打分': 3}
{'短评内容': '房间很不错，服务人员态度好，价格公道实惠，下次还住这！！', '短评打分': 5}
{'短评内容': '性价比较高的酒店，干净整洁，如家的感觉。', '短评打分': 5}
{'短评内容': '前台服务生太少，建议增加。总体不错，推荐！', '短评打分': 5}
{'短评内容': '交通方便，房间干净，停车方便，环境可以，设施可以，早餐一般，房间较小。前台服务生太少，住了三次，每次都只有一位服务员，建议增加。总体不错，推荐！', '短评打分': 5}
{'短评内容': ' 服务还不错', '短评打分': 3}
