{'短评内容': '环境优美，空间大舒适', '短评打分': 5}
{'短评内容': '酒店是有点旧，设备简陋，离海边较远，开车去海边应是要十分钟左右，总体还是可以的。建议入住高层，酒店总体楼层不高，感谢更像宾馆，特别是卫浴，还是旧式的浴缸设计，卫生还可以，就是酒店设备较陈旧。', '短评打分': 3}
{'短评内容': '带孩子出门房型挺适合的，房间面积也够大，就是卫生有待提高', '短评打分': 4}
{'短评内容': '这是我住过最差的酒店，房间比较大，床铺太差了。', '短评打分': 3}
{'短评内容': '服务态度很好，很满意', '短评打分': 5}
{'短评内容': '还不错，就是有蚊子', '短评打分': 4}
{'短评内容': '第N次入住了~~~周边环境不错，出行比较方便。房间很干净，空调比较给力，比较舒适。网速还不错，房间如果再大点就更好了。下回出差还是这家酒店。', '短评打分': 5}
{'短评内容': '第N次入住了~~~周边环境不错，出行比较方便。房间很干净，空调比较给力，比较舒适。网速还不错，房间如果再大点就更好了。下回出差还是这家酒店。', '短评打分': 5}
{'短评内容': '就是感觉前台服务态度很差的', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': ' 酒店房间大小可以，不过有一股味道，并且离海边还有一段距离，靠近的海边开发的也没有周边的好。', '短评打分': 3}
{'短评内容': '酒店位置不错~内部装修还可以~就是服务跟不上~可能节假日人太多啦~', '短评打分': 5}
{'短评内容': '订了一间看不到海景的豪华海景房，洗手间的洗水盆出不了水，房间电话是坏的，订房价五百多我都感觉受骗，原价还标一千多！', '短评打分': 3}
{'短评内容': '酒店设施环境都比较好，晚上房间很安静，酒店服务还是很好的，感觉16号因为旺季升价以后感觉有点贵。现在价格580元 如果价格恢复以前的470元(海景房）就好了，以后还会定这间酒店。', '短评打分': 5}
{'短评内容': ' 酒店还不错，背山面海的', '短评打分': 3}
{'短评内容': '说的好听什么海景房，离海如此的遥远，到酒店登记时，还特意问了前台一句：“海在哪？”她们还忍不住的笑了，在那边..简直是受骗!!房间里面的设施和环境都还可以,就是别说是什么海景房了', '短评打分': 1}
{'短评内容': '有条件推荐这个酒店。夏天可以去，冬天要穿着厚衣服盖两床棉被才可以睡觉。房间内部还好，走廊天花板受潮发黑毛也不经常粉刷一下。两星价格三星设备（没暖气，窗又薄，海风吹来里面比外面冷）号称四星。餐厅海鲜倒是新鲜又好吃。我们在那度过了最难忘的2011平安夜。外面10度，里面大概4-5度，还好带够厚衣服差点没冷到感冒。', '短评打分': 5}
