{'短评内容': '位置,卫生,性价比都是不错的酒店,就是服务人员,培训不到位,上一次入住结账,把上一位退房客人的洗衣费69元算到我账单上了,还好我仔细看了一下,不然就被黑了!这次来,办理登记收了1500押金,结果押金单打的1200,又被我发现了,不然300元要被黑了,还在未告知的情况下,给我开了无烟房,我是烟民呀,这不剥夺人权嘛,在我要求下换了房间,这给入住带来了不方便,希望能服务认真点,素质有待提高', '短评打分': 5}
{'短评内容': '周边交通便利', '短评打分': 4}
{'短评内容': '酒店整体还干净的', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '酒店是挺干净的，但是一定要住有窗户的房间，而且最好是住在北面，比较安静，唯一不足的地方就房间看上去比较简陋，最好装扮的温馨点，床头搞点背景墙，壁纸什么的，都是白色太单一', '短评打分': 4}
{'短评内容': '没有主城可以了', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '房间设备有些老旧', '短评打分': 4}
{'短评内容': '还可以～', '短评打分': 5}
{'短评内容': '不是很满意，床单很湿', '短评打分': 5}
{'短评内容': '位置不错，价格便宜', '短评打分': 4}
{'短评内容': '前台很热情，房间也很优惠，房间刚装修好，还有一股装修的味道，不过还不错，床很大，蛮舒适的，性价比高，离宁波站很近', '短评打分': 4}
{'短评内容': '很好很喜欢', '短评打分': 5}
{'短评内容': '挺好的。网上预付不用交押金，值得推荐', '短评打分': 5}
{'短评内容': '一直住，很好，真心的不错', '短评打分': 5}
{'短评内容': '都还好，就是WiFi不给力', '短评打分': 5}
{'短评内容': '比较一般，离火车站有点远，新店比较近', '短评打分': 4}
{'短评内容': '这个汉庭对我来说关键是位置还可以，其他方面一般化', '短评打分': 3}
{'短评内容': '里面的wifi、服务还是不错的，隔壁卖什么烤鸡的生意挺好，味道不错，可以尝尝', '短评打分': 4}
{'短评内容': '非常不错啊，住了好多次了，价廉物美的说。', '短评打分': 5}
{'短评内容': '1.先说地理位置：\n距离宁波东火车站打的12块\n距离汽车南站打的起步价11块。\n距宁波机场打的39块。\n距城隍庙和天一广场，步行约5分钟，打的起步价11元内。\n距天一阁，天一阁离汽车南站比较近，有9路车可坐。但酒店附近坐公车并不方便，起码我就没找到兴宁桥西的站台。\n刚好上面的站点我都去了，所以以上都是我的真实经验，比酒店价绍上的管用，哈哈\n2. 再说房间\n我订的是100元特价房，听网友说还不错，入', '短评打分': 5}
{'短评内容': '感觉不错，原以为100的特价房应该不怎么地，没想到和正常消费的是一样的，而且服务员态度都很好唯一的缺点就是不是天一店那儿，我一开始就搞错了，城隍庙店离城隍庙有点远！！！', '短评打分': 5}
{'短评内容': '位置很好，离公司近，招待出差的同事不错，周围不远就是城隍庙。', '短评打分': 5}
{'短评内容': '价格合适，位置也不错，离虹桥火车站很近的，打的22元左右', '短评打分': 5}
{'短评内容': '很好 很不错 位置也很好 交通方便 下次还去', '短评打分': 5}
{'短评内容': '价格很实惠呢！设备都很齐全！还是很满意的呢！下次还会关顾的', '短评打分': 5}
{'短评内容': '条件还可以，位置不是很好，停车不方便。周边餐饮还是挺多。', '短评打分': 5}
{'短评内容': '这家酒店不错，房间很大也很干净，保持汉庭的风格，只是所处位置让我一通好找终于找到了，给个好评，有机会还会去的。', '短评打分': 5}
{'短评内容': '酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。', '短评打分': 5}
{'短评内容': '环境很好。前台工作人员也很好。总体很不错。周末百元房真的很不错', '短评打分': 5}
{'短评内容': '现在送一份早餐了，省了15元，菜色和品种比以前丰富了。', '短评打分': 5}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '这间酒店给我的印像很差，但由于时间的问题没有把照片拍下来。', '短评打分': 1}
{'短评内容': '酒店环境非常好，非常超值，下次到宁波还订汉庭', '短评打分': 3}
{'短评内容': '不错下次还会住', '短评打分': 3}
{'短评内容': '整体来说很不错，环境舒适，卫生整洁，早餐丰盛', '短评打分': 5}
{'短评内容': '交通便利,临近市区商业中心-天一广场，公交线路四通八达', '短评打分': 5}
{'短评内容': '酒店不错，环境还可以。\n交通便利，离市中心也不远，公交发达。\n酒店配置齐全', '短评打分': 3}
{'短评内容': '酒店环境不错与介绍相符', '短评打分': 3}
{'短评内容': '酒店非常好住得很舒心', '短评打分': 3}
{'短评内容': '周末特价房还是比较划算的。早餐比较单调，15元/份性价比太低了，不是图方便赖床的，建议自己外食。', '短评打分': 5}
{'短评内容': '地点不错，离天一和城隍庙大概15-20分钟的路程，逛着就去了，周边的小饮食店比较隐蔽，南方的朋友吃早餐可能要多挖掘挖掘。', '短评打分': 3}
{'短评内容': '第二天，睡得蛮舒服', '短评打分': 3}
{'短评内容': '终于入住了，高级大床房，格局很不错，推荐', '短评打分': 3}
{'短评内容': '半夜经常有门撞击声 不是非常的安静 也许是特价房（通道旁边）的缘故吧 之前别的房间没有此类事件', '短评打分': 5}
{'短评内容': '常常住哦。每天都喝2杯咖啡。就是早餐都吃拉面馆的，腻。', '短评打分': 5}
{'短评内容': '到宁波出差经常住的，离天一广场比较近，价格合理。', '短评打分': 5}
{'短评内容': '房间小了一些，其它都还不错，地理位置好，干净温暖', '短评打分': 5}
{'短评内容': '交通方便，环境干净，服务到位，临近宁波商业中心-天一广场，购物便利。', '短评打分': 5}
{'短评内容': '地理位置还不错，就是房间太小了，显得价位有些偏高。', '短评打分': 5}
{'短评内容': '经常住很好', '短评打分': 3}
{'短评内容': '经常住这里，给我感觉还真的不错，价格合理，房间较大。', '短评打分': 5}
{'短评内容': '经常来住，地理位置好，性价比不错，以后就住这里了。。。', '短评打分': 5}
{'短评内容': '非常舒适，服务很到位！', '短评打分': 3}
{'短评内容': '环境挺好的 不过离市区和火车站都有段距离 房间设施很齐全 卫生间装修很精致 美中不足的是 电热水壶坏掉了', '短评打分': 5}
{'短评内容': '17日晚上22点33分，我上网订两间房好了，到了宾馆，帮6个朋友入住一间912号的很大房间里有四床订单好了，不过服务员没补上网我的积分，对服务员不满意！\n', '短评打分': 5}
{'短评内容': '住的还是挺习惯的，服务也不错，还可以。顶顶顶顶顶！', '短评打分': 5}
{'短评内容': '很好 不错~很舒服，服务也不错。免费的东西很多', '短评打分': 5}
{'短评内容': '经常住这里，环境，房间。性价比很高，。..........', '短评打分': 5}
{'短评内容': '环境不错，听东北的女服务员叫咱先生，叫的特别好听', '短评打分': 5}
{'短评内容': '我预定的特价房，房间没有想象的那么大，而且半夜时总能听到楼上的流水声，很难睡踏实，并且门外总有喧哗声！！环境比较好！', '短评打分': 1}
{'短评内容': '不错 适合出差  地理位置很好 出去那里都很方便', '短评打分': 5}
{'短评内容': '很好 不错~很舒服，服务也不错。免费的东西很多', '短评打分': 5}
{'短评内容': '这家酒店网络经常断，不建议需要上网朋友入住', '短评打分': 1}
{'短评内容': '已入住~但是为什么不是双床房呢？', '短评打分': 3}
{'短评内容': '酒店墙纸破裂,破损的柜子,凌晨排水管道声音很吵,睡不着觉,痛苦的一夜。\r\nSteven.Dai', '短评打分': 3}
{'短评内容': '地理环境非常优越，房间整洁、卫生，整体环境很温馨，早餐也不错，称得上丰盛可口。', '短评打分': 5}
{'短评内容': '没有衣柜 水凉 服务一般 价格贵 唯有优点是离五爱近', '短评打分': 1}
{'短评内容': '这家店总体服务不错，地理位置也比较便捷。房间环境也不错，里面设施也较齐全！', '短评打分': 5}
{'短评内容': '已经在这住了好多次了，几乎每次去宁波都住这里，真的听不错的！无论是环境还是服务，都不错，网速很快！', '短评打分': 5}
{'短评内容': '环境不怎么样，设施老旧，好在服务态度不错！下次不会入住了！', '短评打分': 1}
{'短评内容': '就宾馆的整体坏境而言还是不错的，不过有些不足的是，住的那间房窗户没有锁，这让我有点小担心，但想想应该也没事儿，就没有前台说，不过以后拿贵重物品入住还是要存前台或者检查好房间的门窗。。。', '短评打分': 5}
{'短评内容': '名字叫做宁波城隍庙店，结果打的了之后才发现，还要走大概10分钟左右到，不过呢，酒店还蛮好，宽敞，还有无线网络，这个我比较喜欢，也比较安静，如果有机会，我还是会去的', '短评打分': 5}
{'短评内容': '说是城隍庙店，可是离城隍庙好远好远~~！！！！那个天一店才是城隍庙对面啊亲！！房间是不错的，可是这个位置太纠结太纠结。。。走的内牛满面啊。。。太怨念了。建议大家要订就订汉庭天一店。。。', '短评打分': 1}
{'短评内容': '位置好，房间干净，服务好，早餐差点，但很方便， 好。位置好，房间干净，服务好，早餐差点，但很方便， 好。', '短评打分': 5}
{'短评内容': '环境不怎么样~服务也不知道……里面很平常，唯一出奇的就是价格出奇……\n  床还不够长~我181的个子睡觉脚还在外面呢~', '短评打分': 1}
{'短评内容': '住的是100元的周末优惠大床房。\n房间很舒服，周伟很安静\n服务员的态度也很好\n房间没有异味\n下次来还住这里', '短评打分': 5}
{'短评内容': '真的超值！！！周日百元房太值了，抢到之后太满意了，虽然离我要去的地方有点远，但是还是想试试吧，在沈阳的几天里，住了好几个酒店，发现就这个让我最满意，最便宜而且最干净，设施也很完善。以后还会关注的哦。汉庭很不错！', '短评打分': 5}
{'短评内容': '这次住的房间感觉还不错，不知道是不是上次在网上发表了不推荐的原因，到店的时候说特价房满了。给升级到高级大床房了，希望以后也能继续住到这样的房间', '短评打分': 5}
{'短评内容': '地段可以，但房间装修太旧了，电视机和枕头还行！淋浴设施尚新！总台服务有待提高！没早餐，但一楼有个回回开的小吃店，味道一般！', '短评打分': 5}
{'短评内容': '位置环境都还可以,如果价格含早餐就更棒了，希望今后还有机会入住。', '短评打分': 5}
{'短评内容': '住过很多次了！一如既往的好！~值得推荐的酒店', '短评打分': 5}
{'短评内容': '房间大小什么的还可以，偶都可以接受，卫生间挺干净的，感觉像是新装修的，但是房间的墙纸似乎没贴好，很难看的，还有就是酒店周围环境还挺安静，但是空调的声音就比较大了。不过最郁闷的是偶在房间里居然看到了小强，当时也大脑一片空白，也不敢叫前台，等有人来小强早就跑的无影无踪了。不知道是不是偶住的是特价房的原因！', '短评打分': 1}
{'短评内容': '交通便捷！天一广场步行在十分钟之内！房间小些，但值得推荐！', '短评打分': 5}
{'短评内容': '一如既往的好！！！交通非常方便。干净整洁~', '短评打分': 5}
{'短评内容': '酒店设计的别扭，卫生间狭窄！服务态度差，在前台等很久也没人接待', '短评打分': 3}
{'短评内容': '不错，很干净，服务也不错。离中心很近。就在城隍庙旁边。', '短评打分': 5}
{'短评内容': '已经住过很多次了。非常好的酒店。地理位置极佳。环境和卫生也灰常好。工作人员服务态度一流', '短评打分': 5}
{'短评内容': '不错的酒店,比较干净＼整洁＼地理位置较好，', '短评打分': 5}
{'短评内容': '经常来这里住，环境不错，房间很大，比较好，', '短评打分': 5}
{'短评内容': '房间还可以。', '短评打分': 3}
{'短评内容': '汉庭快捷宾馆服务热情,环境整洁', '短评打分': 3}
{'短评内容': '其實離城隍庙都几远,要走10几分鐘, 房間几好的, 但通道較旧啦, 要裝修下啦', '短评打分': 1}
{'短评内容': '挺不错的，房间很清洁，设施也可以，价钱实惠。', '短评打分': 3}
{'短评内容': '还行。交通还算方便，房间有点陈旧。设施也感觉很旧，总台服务态度还蛮好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '真的是太吵了啊,隔音差得离谱,房间很奇怪的结构.', '短评打分': 1}
{'短评内容': '环境不错，交通方便。\n里市中心近\n房间宽敞。', '短评打分': 5}
{'短评内容': '很温馨 已经多次入住  是出门的首选', '短评打分': 3}
{'短评内容': '房间环境不错，很干净，就是隔音有点差\n\n另外很意外的发现有WIFI网络，很方便，总的来说很实惠的酒店！', '短评打分': 5}
{'短评内容': '很干净，高效，住的很舒服\n推荐给大家都来这里住啊', '短评打分': 5}
{'短评内容': '房间装修比平时的汉庭更像酒店一点。干净舒服，就是我住的那房间床垫有点矮了', '短评打分': 5}
{'短评内容': '步行去城隍庙的确很近。但就在大路边，靠路边的房间会比较吵', '短评打分': 5}
{'短评内容': '总的来说还是值得一住的酒店，价位稍高，但也有让人郁闷的事，酒店空调到像是换气扇，温度升不起来的。到半夜的时候浴室的灯也坏了，换气扇也不转了。唉~看样子这设备有些老旧了啊，其他也还好，值得推荐的也就是它的地理位置了，离商业圈较近，门口的饭馆也有好吃的，烧烤也不错的~呵呵', '短评打分': 5}
{'短评内容': '基本上的服备都挺不错的!环境，设施，服务。都还好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '这是一家加盟店。环境卫生真是不敢恭维：盛放洗漱用品的盒子里竟然有水；房间设施破旧。服务员的反应很慢，寄存行李的方式也很奇怪。与汉庭以往的感觉相差太远。所住的汉庭酒店还是觉得南京靠近紫金山那家最好。', '短评打分': 1}
{'短评内容': '环境服务设施态度都挺好就是隔音差', '短评打分': 3}
{'短评内容': '酒店很干净。', '短评打分': 3}
{'短评内容': '很好不错', '短评打分': 3}
{'短评内容': '酒店的位置不错,但就是房间的卫生间太小了点,总体来说还不错', '短评打分': 5}
{'短评内容': '房间格局很好,地理位置也不错,是长期适合入住的酒店', '短评打分': 5}
{'短评内容': '卫生，状况不错，就是房间小了点\n\n交通位置很好，就在五爱市场旁边 ', '短评打分': 5}
{'短评内容': '位置不错，方便，比较不错的酒店。下次可以继续支持。。。。。', '短评打分': 5}
{'短评内容': '恩，位置和天一还算近的，酒店前台服务也很nice，下次还会在住~~', '短评打分': 5}
{'短评内容': '干净整洁，地理位置优越，是去逛五爱市场的理想住地。下次还来。', '短评打分': 5}
{'短评内容': '＋交通方便 周围就有城隍庙小吃街 挺安静不错', '短评打分': 3}
{'短评内容': '100元的价格入住，非常合算，超给力!其他什么都好，就是房间的房门安全锁没有，这个有点不太安全。', '短评打分': 5}
{'短评内容': '房间舒适，价格适中，服务也很到位。下次出游首选汉庭了', '短评打分': 5}
{'短评内容': '环境很好我觉得，而且阳光也充沛。。感觉很超值啦', '短评打分': 5}
{'短评内容': '酒店斜对面有个耗翅店，味道很不错新鲜的生蚝，味美的烤鸡翅香啊', '短评打分': 5}
{'短评内容': '位置佳、设施佳、房间大。总体感觉非常好，推荐朋友入住', '短评打分': 5}
{'短评内容': ' 酒店不错，态度还好', '短评打分': 3}
{'短评内容': '很好。真舒服。房间很大很好。设备很齐全。反正很好。很适合各种人士入住。', '短评打分': 5}
{'短评内容': '房间还不错，离商场也挺近的。交通也方便。', '短评打分': 5}
{'短评内容': '在路边，晚上稍微有点吵，不过在可接受的范围，不过刚到的时候电梯维修。说是十分钟，结果等了好几个小时也没检修好。。。。', '短评打分': 5}
{'短评内容': '酒店服务非常不错，本来订的大床房，后没房间了改成套房，超级好。服务态度也好', '短评打分': 5}
{'短评内容': '空调很不给力， 冻了一个晚上，还感冒了，郁闷', '短评打分': 1}
{'短评内容': '这是我见过汉庭最差的服务！！总台是新来的服务生，说亿龙没有预定好，结果是他搞错了！浪费我跟亿龙再次确认，浪费我电话费！跟他说话好象在自言自语！！！真垃圾的服务！！！！！！！！！！！！！！！！！房间靠路边很吵！！！！建议以后如果不是地理原因，不要住那里！！！！！', '短评打分': 1}
{'短评内容': '干净整洁，还不错', '短评打分': 3}
{'短评内容': '酒店非常干净，正规，服务也很满意，以后还会选择。', '短评打分': 5}
{'短评内容': '位置好，距五爱市场特近，交通也方便，在主干道青年大街附近，去机场很方便', '短评打分': 5}
{'短评内容': '卫生服务方面还不错，建议靠路边的房间加一层隔音窗。', '短评打分': 5}
{'短评内容': '沙发还是比较舒服的，就是网络的速度不太快 ', '短评打分': 5}
{'短评内容': '五爱市场这家汉庭是沈阳数一数二的好酒店。地理位置极佳。百元房实在是太优惠了。推介各位朋友来这里住，第二天上午还可以去马路对面的五爱市场买买东西。', '短评打分': 5}
{'短评内容': '地理位置不错 性价比较高 就是房间不大 电视要是在大点就更好了 空调噪音较大\n', '短评打分': 5}
{'短评内容': '很新，很干净，装修的风格也很喜欢，下次来宁波还会继续选择这家酒店的', '短评打分': 5}
{'短评内容': '刚住过  感觉很舒服就继续订了一天\n如果明天不离开也许会继续订', '短评打分': 5}
{'短评内容': '首先地理位置特别好！下楼距离五爱市场步行只有5分钟。我住的是周日特价房，感觉十分超值，房间干净整洁，强烈推荐！', '短评打分': 5}
{'短评内容': '环境舒适  有一种家的感觉\n是商务人员的避风港湾', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '不错的酒店 附近很久 靠近天一广场 去旅游景点也不错 \n房间看上去还不错 \n挺干净的 周日房 一百块 超值', '短评打分': 5}
{'短评内容': '条件不错，位置很好，一贯支持汉庭的温馨作风', '短评打分': 5}
{'短评内容': '各方面都超好。尤其是地理位置。简直就是离五爱最近的店了。', '短评打分': 5}
{'短评内容': '6@', '短评打分': 5}
{'短评内容': '总体感觉不错！比较舒适，跟人的感觉还是不错的，不过就是有点吵！', '短评打分': 5}
{'短评内容': '性价比很高的一家，位置很不错，非常方便 ，自己经常住这家，这次是帮同事定的', '短评打分': 5}
{'短评内容': '总体而言,性价比不错。位置很好找，停车位虽然不多，但可以停对面大厦。', '短评打分': 5}
{'短评内容': '酒店地理位置很好,闹中取静.房间也很干净.', '短评打分': 5}
{'短评内容': '出行方便。房间井洁。飲食相鄰。离南站和东站都近。', '短评打分': 3}
{'短评内容': '离五爱街很近，很干净。房间很大。以后还会来。', '短评打分': 5}
{'短评内容': '性价比很高的酒店。位置非常好。价格在同等档次酒店中属于比较便宜的。建议大家选择入住', '短评打分': 3}
{'短评内容': '其他都不错，就是隔壁关门声太响，把我吵醒好几次', '短评打分': 5}
{'短评内容': '房间大，干净清爽，床有一点硬。房间里没有镜子，这点对女孩子来说太不方便了。总体感觉良好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错~~~挺干净舒服的~~~要是再优惠点就更好了~~~', '短评打分': 5}
{'短评内容': '靠近街道。噪音太大。窗户隔音一般', '短评打分': 5}
{'短评内容': '+还不错，对得起价格', '短评打分': 5}
{'短评内容': '感觉还不错~工作人员服务态度不错~周围吃饭的地方挺多', '短评打分': 5}
{'短评内容': '房间整洁 床很舒服 感觉很好 服务周到~', '短评打分': 5}
{'短评内容': '大床房的室内空间有些小的可怜了。双床的还不错。地理位置和服务好的没话说。卫生，安全。', '短评打分': 5}
{'短评内容': '很好\r\n环境不错\r\n卫生很好\r\n电视可以选电影', '短评打分': 5}
{'短评内容': '适合商务出差人士，周边较为便捷，价格适中。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '一开始入住其实感觉不错，态度都很好，很客气.住房之前特地问了第二天几点退房，说是两点。但第二天吃好午饭回来一点多时，房卡被锁了，再到前台问的时候说是十二点就该退房了，虽然并没有发生什么口角或补房费的事情，但是心情还是受影响的，而且房卡解完锁，我们就只能马上离开了，导致我们在火车站等了一个小时。', '短评打分': 1}
{'短评内容': '此酒店有着不错的性价比，和比较好的服务。', '短评打分': 5}
{'短评内容': '交通方便，服务不错，环境一般，舒适度不错的一家酒店，就是结帐满一点了', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
