{'descr': '。。。。。。。。。。。', 'star': 5}
{'descr': '不错的，服务态度挺好，房间干净卫生，早餐也不错，挺安静，周围比较方便，各色美食多，超市也有，景点和地铁都近', 'star': 5}
{'descr': '非常好  早餐不错', 'star': 5}
{'descr': '前台很热情，还赠送了早餐。', 'star': 5}
{'descr': '服务态度很好！住宿很干净！', 'star': 5}
{'descr': '住了几晚觉得不错，所以就又续了一晚，交通方便，闹中取静，很好的地方', 'star': 5}
{'descr': '位置不错，离水立方，鸟巢都很近，地铁站也就走路五分钟，非常方便，旁边就有烤鸭店，很好的北京旅游住宿场所', 'star': 5}
{'descr': '订了两天的，后来又续了一天，国庆期间比较贵', 'star': 5}
{'descr': '服务不错，下回还来', 'star': 5}
{'descr': '不错的选择。环境不错，服务好', 'star': 5}
{'descr': '................', 'star': 5}
{'descr': '性价比高，位置还行', 'star': 5}
{'descr': '好好还哈哈哈哈哈哈', 'star': 5}
{'descr': '酒店还算可以，就是一直在装修，太吵了！真的是太吵了！！我感觉任何一个人都呆不住！一直咣咣咣，要你崩溃。。。而且我是过年去跨年的，结果空调不暖，在房间里只能躲在被子里瑟瑟发抖。。。好凄苦。。。望改善', 'star': 4}
{'descr': '位置比较偏', 'star': 5}
{'descr': '房间够大，离地铁站也很近，出差推荐', 'star': 5}
{'descr': '去会议中心开会，住在这里很方便，地铁公交走几步就到，满意', 'star': 5}
{'descr': '一直信赖的品牌，交通方便，很干净', 'star': 5}
{'descr': '略旧，整体性价比还不错', 'star': 5}
{'descr': '一切都好！满意，携程还有返钱价格低廉！', 'star': 5}
{'descr': '北京今天的风超级大。晚上就有的吵了。热水不错。一开就有', 'star': 4}
{'descr': '一般般', 'star': 4}
{'descr': '位置还好，距离地铁口5分钟的距离，在北京圆山大酒店对面。酒店里面设施简陋，但是还算干净吧。房间里面没有梳子，需要自己在前台拿。', 'star': 4}
{'descr': '位置交通不太方便，早餐不好，但房间较清洁，价格适中', 'star': 5}
{'descr': '连锁经济性酒店里，这家店还是可以的，预算不足时可以考虑。', 'star': 5}
{'descr': '各方面都还行，就是离地铁口稍稍有点远。房间挺干净的', 'star': 5}
{'descr': '卫生条件不错, 地理位置优越, 出门坐公交车打的坐地铁都很方便,适合出差人士选择!下次还会考虑......', 'star': 5}
{'descr': '酒店环境不错，但位置不太好找，建议打车。', 'star': 5}
{'descr': '靠近北三环，交通方便。\n房间有无线网络，门外停车较方便。\n', 'star': 5}
{'descr': '给客户定的 ，条件不错，服务态度也不错，旁边就是金百万烤鸭店！', 'star': 5}
{'descr': '优点：1）离地铁站特别近，周边的公交车也很多，出行非常方便。科技馆、木偶剧院就在旁边，鸟巢、水立方也很近，如果带孩子玩的话，住这里很方便。\n2）服务态度很好，由于第一天住的临街的房子实在是睡不好，要求换房间，也很愉快的帮我解决了。\n3）周围超市、小吃店、水果摊很多，生活设施齐全，便利。\n缺点：房间的隔音效果实在是太差了，基本上能听到旁边房间、楼道中的一切声音，还有就是第一天住的是靠街面的房间，尽管', 'star': 5}
{'descr': '酒店一般，但是装潢一般，装修一般，不是很好', 'star': 5}
{'descr': '主要优势：交通便利，具体地铁站10分钟步行，但本人还是走错方向了，最后顶不住寒风，打车了。上四环也快。', 'star': 5}
{'descr': '定的商务特惠，服务好，干净，房间大，非常非常满意，必须给评，下次再来。', 'star': 3}
{'descr': '酒店还好，就是到了说没预定上，但给办理了。大白天的警察就来查房了。', 'star': 3}
{'descr': '不错，很好，很温馨，很干净，很舒适，是个不错的选择', 'star': 5}
{'descr': '环境很好，假日特价，很划算，位置也不错！好！', 'star': 3}
{'descr': '与酒店的硬件、软件设施相比，除了价格有点偏贵以外，其他都很不错', 'star': 5}
{'descr': '位置还算好找，名字有点不对~~房间很暖和，安静舒适，设计很人性化。前台也很友好，总体感觉不错。', 'star': 5}
{'descr': '一是地理位置好，环境好。方便找、距北三环，水立方，10号地铁都很近；二是服务好。前台、到杂务人员能笑迎宾客、耐心答疑；三是硬件好。房间内各种设备设置齐全，非常高档华丽，但是温馨舒适。\n', 'star': 5}
{'descr': '设施不错，挺干净，家庭房很适合一家人出游住宿。\n不足：前台虽然很友好，但对周边的旅游信息不熟，游客得不到实用的旅游指导。比如去中国科技馆的路线、乘地铁的路线不熟。', 'star': 5}
{'descr': '住的节日百元房，虽然价格便宜，但是房间和服务没打折。非常好，以后有机会还会去住。', 'star': 5}
{'descr': '很干净，很喜欢浴室的设计，还可以边洗澡边看电视，不错哦', 'star': 5}
{'descr': '服务态度很好，环境很好，很干净！非常满意！', 'star': 5}
{'descr': '酒店设施很好，干净卫生，舒适，下次再光临。', 'star': 5}
{'descr': '环境相当的好  8层可以看到盘古大观  鸟巢    什么设施都好 不错', 'star': 5}
{'descr': '非常好啊 。。尤其是内设，并且周边环境超好。。。。安静 舒适', 'star': 5}
{'descr': '非常好，性价比高，像是新装修过的，干净整洁。电梯是刷卡电梯，这样非常安全。而且酒店非常的贴心，和保洁合作，提供了多种款式的免费浴液和洗发液，下次还去', 'star': 5}
{'descr': '酒店房间大 干净  洗澡水好 压力大  位置也方便   唯一就是前台的脸有点冷   ', 'star': 5}
{'descr': '该酒店所处位置比较好，里地铁十号线和三环都很近，但是具体位置却在比较安静的街上。宾馆服务人员态度很好，宾馆内部设施也有档次。宾馆的电梯需要有房卡才能乘坐，一定程度上增加了安全性保障。', 'star': 5}
{'descr': '酒店不错！', 'star': 3}
{'descr': '大床好舒服，比一般的要大，下次还会选这里', 'star': 3}
{'descr': '酒店是新开业的，干净，房间明亮。可能是直营店的缘故吧，服务特别好！周边交通也还方便，想东走7、8分钟就有公交车站，很多公交车。再走5分钟就到地铁北土城站了。下次有机会还住这里。', 'star': 5}
