{'短评内容': '周边的设施太不齐备了，晚饭找不到地方吃。宾馆还行，房间大啥都有，卫生也挺好的，就是空调开着太干了，鼻子都流血了，应该安个加湿器', '短评打分': 4}
{'短评内容': '可以免费升级很不错哦', '短评打分': 5}
{'短评内容': '很安静，很好', '短评打分': 5}
{'短评内容': '可以，还可以', '短评打分': 5}
{'短评内容': '酒店免费升级了套房，很棒', '短评打分': 5}
{'短评内容': '酒店免费升级成套房，棒！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '每次出差必选的酒店', '短评打分': 5}
{'短评内容': '房间不错，服务很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '酒店房间大 设施好 出租车不好叫', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我们的生活方式，我们的生活方式', '短评打分': 5}
{'短评内容': '很棒 环境不错', '短评打分': 5}
{'短评内容': '非常适合我住的很开心非常喜欢赞', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
