{'短评内容': '面试来的，住宿性价比不错', '短评打分': 4}
{'短评内容': '总体不错，楼下全是空姐！', '短评打分': 4}
{'短评内容': '很好，朋友很满意', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '酒店环境好，位置稍微有些偏僻，一定要从地铁夏江站A出口出来，哪里有摩的，白天有村子便民车。要是走错了可没有呀。服务好，干净卫生。有一点不好的是，酒店没有wifi', '短评打分': 3}
{'短评内容': '工作方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '还可以，是帮我的客人们预定的，总体来说客人还是比较喜欢的，价格也比较优惠，服务态度OK，刚好离我客人办事的地点非常近。', '短评打分': 4}
{'短评内容': '不像酒店，但差不多就这个价了', '短评打分': 4}
{'短评内容': '广州很热 酒店里冷气很足的 交通也方便', '短评打分': 5}
{'短评内容': '不错不错～单人间，住的挺舒服啦', '短评打分': 3}
{'短评内容': '还可以，出差需要，性价比一般。', '短评打分': 3}
{'短评内容': '不错，值得再去', '短评打分': 3}
{'短评内容': '酒店很新环境也好,离黄边地铁口打车12元,是海南航空的企业,我想去机场应该方便,飞行员都住这理', '短评打分': 3}
{'短评内容': '放假不是一般的漂亮，很有情调，低于门市价很多，超值啊啊，下次还继续去住这一家', '短评打分': 5}
