{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很宽敞，设施也好，前台的姐姐很亲切，早餐也很丰盛', '短评打分': 5}
{'短评内容': '位置还算可以 在街面，只是不知道到北站怎么坐车，打车去的。感觉床单一般 因为不像熨烫后的那样 ，基本设施还好，水热的也很快，送了两瓶免费矿泉水很周到', '短评打分': 3}
{'短评内容': '酒店位置距离北站很近，附近购物和吃饭都可以，室内环境空间也是可以的，总体来说性价比还是比较靠谱的，下次还会入住。', '短评打分': 5}
{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '总的来说还行吧，离火车站、地铁都不远，交通还算方便。', '短评打分': 5}
{'短评内容': '还不错还不错还不错', '短评打分': 5}
{'短评内容': '挺干净的 价格不高 如家合作酒店！', '短评打分': 5}
{'短评内容': '挺好的，距离北站不太远，挺好找的就在昆山中路上。', '短评打分': 5}
{'短评内容': '隔音不是太好，晚上有很大噪音，不知道哪里出了问题，由于我对声音比较敏感，没休息太好，不过地方的确距离北站特别近，总体说还可以吧，', '短评打分': 5}
{'短评内容': '环境卫生价格合适', '短评打分': 5}
{'短评内容': '位置很好，我来考试来了。但是房间收拾的不干净，地上还有没擦净的痰一样的东西。隔音也不好，晚上隔壁是不是使劲叫唤。服务还是不错的，很客气。', '短评打分': 5}
{'短评内容': '一般  ', '短评打分': 2}
{'短评内容': '酒店地理位置很好', '短评打分': 5}
{'短评内容': '地理位置很好，距离北站和地铁口都很近，交通便利', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '非常好！经济实惠干净！Wi-Fi也不错', '短评打分': 5}
{'短评内容': '酒店交通方便，房间干净卫生，服务很周到，我出门忘记带房卡，洗澡后眼镜掉到地上一时找不到了，都是保安张师傅热情帮忙，感谢感谢！', '短评打分': 5}
{'短评内容': '还不错。总体可以接受', '短评打分': 5}
{'短评内容': '房间小点，卫生做很好', '短评打分': 5}
{'短评内容': '不错，离北出口很近，也弄的挺干净的', '短评打分': 5}
{'短评内容': '新开业的，干净！而且出行也方便，离北站、地铁口特别近！缺点就是不能刷卡，而且发票说延时开，2012,9月份的，到现在也没有收到发票', '短评打分': 3}
