{'短评内容': '喜欢前台的小姐姐。', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '好拉圾，被子好黑，床好硬一点都不像酒店，这是我住过最差的酒店电脑用不了卫生也不好。', '短评打分': 1}
{'短评内容': '环境优雅', '短评打分': 5}
{'短评内容': '总体来说还不错', '短评打分': 4}
{'短评内容': '房间不错，这价格不求什么，但发现被单有点问题。房间的卫生还是可以。用品方面一定要注意清洁。', '短评打分': 5}
{'短评内容': '便宜，方便', '短评打分': 5}
{'短评内容': '干净，安静', '短评打分': 5}
{'短评内容': '还', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '交通方便，停车放便，价格便宜，设施一般。', '短评打分': 4}
{'短评内容': '这也叫洒店', '短评打分': 2}
{'短评内容': '性价比超高的酒店', '短评打分': 4}
{'短评内容': '还算好吧', '短评打分': 5}
{'短评内容': '酒店相当好，性价比超高', '短评打分': 4}
{'短评内容': '还行，酒店服务态度好，住了两天', '短评打分': 3}
{'短评内容': '酒店较旧，位置还好找，但里面的设施非常差，不太适合出差度假住宿', '短评打分': 1}
