{'descr': '价格还是可以，客户指定要这家酒店的，下次推荐下', 'star': 5}
{'descr': '地段非常好，就在中山公园旁边，下次还入住这家', 'star': 5}
{'descr': '和一般的如家不太一样，可能是由于酒店是改名的原因。整体感觉很干净，卫生间什么的也没问题，服务很好，床像大家所说一样，很软，很舒服，总之，挺满意的', 'star': 5}
{'descr': '总体不错，但是洗手间没门，洗澡弄的地板都是水，而且马桶水很小', 'star': 3}
{'descr': '帮客户定的 离办事的地方近  在龙之梦附近 吃东西都方便点', 'star': 5}
{'descr': '交通方便 生活便利。酒店很温馨，很适合商务客人\n出差', 'star': 5}
{'descr': '很温馨，周边生活很方便。交通也很方便，下次还住这里。\n', 'star': 5}
{'descr': '床还不错，就是有老房间了，估计是新装修的，进门看到了蟑螂。', 'star': 5}
{'descr': '房间还可以，就是卫生间的水总是特别热，没有凉的，这点很奇怪。', 'star': 5}
{'descr': '酒店位置不错，隔我们办事的地方很近，早餐不错，粥很好喝。', 'star': 5}
{'descr': '酒店不错，房间很舒服。', 'star': 3}
{'descr': '酒店很小，房间还不错。床很舒服。', 'star': 3}
{'descr': '环境不错，这个价格值了', 'star': 3}
{'descr': '不错，周边吃饭打车都方便。只是酒店入住没含早餐', 'star': 5}
{'descr': '还不错，服务挺好的，周围吃饭的地方很多，交通也便利，来过多次了', 'star': 5}
{'descr': '床很软。。。很舒服。。。在这里的感觉比莫泰什么的好。。。。', 'star': 5}
{'descr': '酒店房间比较大，挺干净的，交通也方便，周围还有很多吃的，就是晚上靠街的地方稍微有点吵~', 'star': 3}
{'descr': '酒店不错。紧靠延安西路。去机场方便。。就是附近好几家如家。。出租司机容易搞昏。。', 'star': 5}
{'descr': '房间整洁宽敞，在市中心位置，价格不高，是商务社交的首选地方，下次来上海还会选择的', 'star': 5}
{'descr': '不错，出行很方便，早餐也不错，下次还会再过去', 'star': 5}
{'descr': '里面条件还好吧，订了个双人床，房间空间太小，而且去时说太忙，没打扫，去了才给打扫，服务一般吧', 'star': 5}
{'descr': '交通挺方便的 地铁2号线 5号出口 定西路一条直线走下去 沿途还有很多好吃的', 'star': 5}
{'descr': '新裝修的房間比之前乾淨衛，下次還會再來住。', 'star': 3}
{'descr': ' 挺好的', 'star': 3}
{'descr': '挺好的，服务，卫生，早餐都不错，下次还会住这里。', 'star': 5}
{'descr': '还不错，出行比较方便；就是房间有点小，特别是厕所太小', 'star': 5}
{'descr': '距离公司很近，附近餐饮多，地铁近，干净尚可！', 'star': 5}
{'descr': '离地铁站不远，往上海各个方向出行还算方便', 'star': 5}
{'descr': '房间很小，床很小，衣柜没门，隔音效果很差，大街上的声音一直骚扰我，几乎一夜没睡着。', 'star': 1}
{'descr': '房间不错，挺干净的。周围吃的也不少，离中山公园很近', 'star': 5}
{'descr': '離中山公園近,交通方便,這次去的時候剛好內部開始換新裝修,希望裝修後能有更舒適的感受.\nPS:這次房間內的浴巾上竟然有三四根頭髮,不過看起來像是掉地上後沾到的,希望下次清潔人員在打掃衛生換毛巾時要注意這些小細節.', 'star': 5}
{'descr': '靠近地铁2、3、4号线，出行方便，服务好，不足的是地毯有点脏', 'star': 5}
{'descr': '酒店位置好，周边商户，餐厅很多，吃饭很方便，前台服务员热情周到，房间内设施稍嫌简陋，但还是干净整洁，下次会再来住。', 'star': 5}
{'descr': '出行很方便，购物吃饭也方便。特别是酒店隔壁的川菜店很好吃。', 'star': 5}
{'descr': '酒店位置很好，周边餐饮设施很齐全，住在这里很方便，房间配置一般，还实用，服务人员很好，有礼貌，不错，下次还来住！', 'star': 5}
{'descr': '地段不错', 'star': 3}
{'descr': '为了办事方便才住的这家，以后不会去了，旅馆而已', 'star': 1}
{'descr': '帮客户订的，酒店位置不错，环境一般，在中山公园附近这个价位也可以了，房间有点小，隔音不太好，但如家一般都是这个样子，总体还可以', 'star': 5}
{'descr': '定了个特价房，但外面空调外机声音比较响。', 'star': 1}
{'descr': '环境一般，早餐是住过的所有如家最简单的，', 'star': 5}
{'descr': '去上海欢乐谷住这边的，环境很不错哦，朋友爱干净，选的这家，很满意，哈哈', 'star': 5}
{'descr': '还不错！', 'star': 3}
{'descr': '酒店床挺软的，比较舒服，但窗户基本等同于没有，好在屋里没有难闻的味道。', 'star': 3}
{'descr': '酒店位置很好，离地铁近，交通方便。房间设置也还不错，性价比比较高。', 'star': 5}
{'descr': '可以推荐', 'star': 3}
{'descr': ' 店还行吧，服务态度还蛮好的。就是房间比起别的店小了些…', 'star': 3}
{'descr': '位置很好。每次去都住那里。交通方便.房间干净卫生', 'star': 5}
{'descr': '交通还算便利，3、4号线基本走10分钟就到。199元的特价房没有窗，升级了265的有窗户，晚上睡得很好，还算安静！当天正好中秋节，还有服务员送月饼~：）\n挺人性的！', 'star': 5}
{'descr': '卫生间有霉味，卫生间里有蜘蛛，房间里有蛾子，住过这么多如家，就这个最差。太让人无语了。收拾的不是很干净。', 'star': 5}
{'descr': '前台人员很奇怪，给两位外国客人办理入住手续办了半个多小时，自己操作不熟练还说如果是身份证就会很快。房间里连茶水都没有。', 'star': 1}
{'descr': '房间还可以，店里的服务态度比较好有礼貌，交通比较方便附件有很多吃的还有巴黎春天就在这附近，下次继续住这里', 'star': 3}
{'descr': '出行方便 价格还行 周边配套多 房间也不错', 'star': 5}
{'descr': '酒店比较旧.设施配套不完善.交通比较便利.', 'star': 1}
{'descr': '地段很好，周边有几个商城适合购物，离地铁站较近，吃饭和出行都很方便。酒店内部装修还不错，房间空间布局较合理。。', 'star': 5}
{'descr': '离地铁站有点远可能是最主要的缺点了，可打车还算方便。其他各方面都还可以。', 'star': 5}
{'descr': '很好不错，很卫生很干净，虽然楼上装修但晚上6点就停了。', 'star': 5}
{'descr': '交通便利 价位适中 还不错 以后还会选择', 'star': 5}
{'descr': '前台的服务员态度不好，还有指责住客的嫌疑。二楼新开的自助餐，环境很差，喝水的杯子可以闻到骚味。后来去了徐汇店，相比起来，这边性价比超低，如家还是不错了，只是这家不太满意，如果只是简单的找个地方住，还可以接受，想舒适一点，这家如家确实不行。', 'star': 1}
{'descr': ' 位置很好 房间很潮湿 有不好的嗖味', 'star': 3}
{'descr': '来过几次了，每次感觉都不错，服务员态度蛮好的，周围环境也不错', 'star': 5}
{'descr': '干净, 地段不错，价格也合理。網絡速度不高', 'star': 5}
{'descr': '比较干净，但设施有点旧。床单着色是红色的，比较特别，感觉还是白色的好', 'star': 5}
{'descr': '地段不错，出行比较方便，硬件需更新，房间隔音效果不佳。', 'star': 5}
{'descr': '不错，就是价格有点高。', 'star': 3}
{'descr': '地段不错，价格也合理。酒店较老，环境不是很好。', 'star': 5}
{'descr': '住了七天，每天吃的早餐象是“千年不变”的菜谱。', 'star': 5}
{'descr': '总体来说，酒店还算可以。房间干净整洁，交通位置也可以。', 'star': 5}
{'descr': '卫生一般', 'star': 3}
{'descr': '房间虽然不大，但很干净。可是晚上，不知道是什么原因，走廊里总是有一些人在说话，很吵。', 'star': 5}
{'descr': '旅馆各方面很规范。', 'star': 3}
{'descr': '  毛巾太旧太旧了,,都不敢用了........', 'star': 1}
{'descr': '房间卫生不错，就是淋浴房排水不佳。', 'star': 3}
{'descr': '房间的洗手间比较小，比较安静，地理位置交通方便，周围吃饭比较方便', 'star': 5}
{'descr': '周边餐饮很多 也算便捷的位置 房间内网线太短', 'star': 5}
{'descr': '还行 网线太短 不熟悉路的人找的话有点烦', 'star': 5}
{'descr': '交通方便，不过房间一般，拖鞋有明显的塑料的味道，不过价格便宜', 'star': 5}
{'descr': '价格稍微贵了 点，相对于经济型酒店来说，但是这个地段，也合理，还是如家的一贯风格，整体都不错', 'star': 5}
{'descr': '性价比不错  地点方便  卫生稍微差一点', 'star': 5}
{'descr': '位置较好。出行很方便。会跟朋友推荐。干净卫生。', 'star': 5}
{'descr': '位置不错。价位高了一些。出行比较方便。装修很温馨', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '我住3101房', 'star': 3}
{'descr': '很好，房间干净整洁，服务态度也好，周边有一家吃早餐的味道不错，到龙之梦购物中心也很方便', 'star': 5}
{'descr': '设施陈旧，床单很脏，有所谓的洗不掉的痕迹，还有小虫子在枕头底下爬，很恶心', 'star': 1}
