{'短评内容': '位置优、服务好、价格实惠', '短评打分': 5}
{'短评内容': '空调声音太大，吵死了，沐浴露按压器坏了。', '短评打分': 4}
{'短评内容': '不知道是不是前几天下雨的缘故，床单被套湿气很重；隔音效果一般，晚上能听到火车鸣笛声音；早餐还可以，就是大部分是冷的，自己用微波炉加热', '短评打分': 4}
{'短评内容': '早餐不错哦。', '短评打分': 5}
{'短评内容': '还行。。。。。', '短评打分': 5}
{'短评内容': '房间很小，隔音效果太差', '短评打分': 3}
{'短评内容': '总体来说，还是可以的，就是附近吃饭的太少了', '短评打分': 4}
{'短评内容': '环境很好，住的满意', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '网络不稳定', '短评打分': 5}
{'短评内容': '原七天连锁，还行吧', '短评打分': 5}
{'短评内容': '原七天连锁，还行吧', '短评打分': 5}
{'短评内容': '该酒店服务态好，地理位置优，位于雨山湖畔，风景优美。离火车站，汽车站都近，出行方便', '短评打分': 5}
{'短评内容': '隔音差，特差，，，，，，。', '短评打分': 3}
{'短评内容': '还不错还不错还不错还不错还不错还不错还不错', '短评打分': 3}
{'短评内容': '很好，服务员也很热情', '短评打分': 5}
{'短评内容': '可以.........', '短评打分': 3}
