{'短评内容': '早餐还好 能吃好 上海市传统早餐 按人份', '短评打分': 5}
{'短评内容': '很不错 也很安静 服务很细心 能体会到老上海的那份精致', '短评打分': 5}
{'短评内容': '酒店位置不错，环境很优雅，很有格调有特色，洗浴用品居然是欧舒丹牌子的惊呆了，还有小米电子秤，蓝牙音乐播放机，设备十分齐全哇，还送了免费的下午茶，给个赞！', '短评打分': 5}
{'短评内容': '停车有点不方便', '短评打分': 5}
{'短评内容': '前台接待服务客气礼貌有分寸，旁边是幼儿园，非常安静的环境，小区深处的感觉，一个人就不要定了，来回打车都害怕。酒店房间隔音真的是一言难尽，浴缸显得不干净，地毯看着比较脏，冰箱饮料有啤酒雪碧和矿泉水免费，保险柜，熨斗齐全，主卧也很有特色。', '短评打分': 5}
{'短评内容': '过来拍写真的。非常棒的酒店！~  位置也很好。谢谢', '短评打分': 5}
{'短评内容': '别墅酒店，很安静，内部很有感觉，就是很遗憾没时间多享受酒店的时光。  前台很简单，早餐比较简单，可能是房间数太少缘故。', '短评打分': 5}
{'短评内容': '别墅酒店，很安静，内部很有感觉，就是很遗憾没时间多享受酒店的时光。 前台很简单，早餐比较简单，可能是房间数太少缘故。', '短评打分': 5}
{'短评内容': '非常好，下次还来', '短评打分': 5}
{'短评内容': '故地重游，价格依然高昂，但房间却变小了。', '短评打分': 3}
{'短评内容': '非常喜欢的一家酒店、老上海味道', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '墙体脱皮，房间有异响', '短评打分': 4}
{'短评内容': '酒店比较幽静，房间大，装修一般，不上档次，由于在一条小马路上，出门打的很难。', '短评打分': 4}
{'短评内容': '，酒店房间很小，早晨9：40分竟然没有早餐了，订两晩结果只住一晚就退房了', '短评打分': 3}
{'短评内容': '外部环境很好，找服务员要毯子马上就送到了，服务态度非常好，物有所值下次去上海还住御席公馆。', '短评打分': 5}
{'短评内容': '刚刚入住，第一印象不错，房间很可爱，稍后再发照片', '短评打分': 3}
{'短评内容': '环境很美，服务很好，房间超大，下次还有再去住', '短评打分': 5}
