{'短评内容': '房间似乎很久没人住过了，感觉一般搬吧', '短评打分': 5}
{'短评内容': '还不错的酒店', '短评打分': 4}
{'短评内容': '一般，电视台太少，热水不稳定', '短评打分': 4}
{'短评内容': '一般吧！不过价格实惠', '短评打分': 4}
{'短评内容': '卫生服务不错  价格实惠地理位置方便 下次还来', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '前台服务差，房间小切价格高', '短评打分': 2}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '一般般啊！', '短评打分': 4}
{'短评内容': '以前从来没有住过速8的，但是第一次住给我的印象就是，垃圾，房间很小，有点破旧，感觉想是哪些廉价小旅馆，被子是烂的，我忍了，问题床上的污点是什么，开个房的人自己脑补一下，感觉被子没有换的，床上还有头发，反正我以后都不会住速8的了', '短评打分': 1}
{'短评内容': '极差，房间小，不通风，加钱换了有个窗户的，有个女的很弄不灵清', '短评打分': 1}
{'短评内容': '隔音效果服了，跟睡楼道差不多，一夜没睡着。', '短评打分': 2}
{'短评内容': '酒店还可以，就是周末到店加了10块', '短评打分': 5}
{'短评内容': '一般。', '短评打分': 3}
{'短评内容': '应该把房间里的灯光换成暖色调的。其他都不错', '短评打分': 3}
{'短评内容': '其他都不错，就是房间们灯光最好更换成暖色光就更好了。', '短评打分': 3}
{'短评内容': '老住客了不好也不坏没要求的随便睡睡', '短评打分': 3}
