{'descr': '很不错', 'star': 5}
{'descr': '房间小，但还是暖和', 'star': 3}
{'descr': '挺干净，周围又有小吃，很好', 'star': 5}
{'descr': '挺好的…很方便', 'star': 5}
{'descr': '新装修的不错！', 'star': 5}
{'descr': '服务周到，周边的环境太方便啦，是出游的最佳首选', 'star': 5}
{'descr': '还都不错', 'star': 5}
{'descr': '床单是湿的，换了三次才行，老板态度差', 'star': 5}
{'descr': '一般，很多东西是坏的', 'star': 5}
{'descr': '优点：位置非常好，是地铁4、6两条线路直达的地方，距地铁站很近。而且附近就是护国寺小吃一条街。\n缺点：没有电梯，三层楼行礼需要自己扛楼；没有一次性托鞋，每个房间只定量消毒托鞋两双，想多给小孩子要双托鞋都做不到；两个房间各住两晚，无数次想用吹风机，前台永远借不到，说明储备不足。走廊正在装修，很吵且有粉尘与装修材料的味道。\n我还是给了五星评价，因为我觉得虽然谈不上服务，但是房间新装修的而且位置好，不管怎么说信价比还可以吧。\n第三天为了看升期，我去了前门的希岸酒店，是新开的标间260元一天，这个要推荐一下因为正规很多而且房间大装修好，服务也非常好。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '还可以，', 'star': 4}
{'descr': '卫生间洗个澡，排水系统不好', 'star': 4}
{'descr': '卫生不好，房间内设施很差，服务员态度也不好。', 'star': 2}
{'descr': '房间还算干净，设施比较简单，前台态度一般', 'star': 4}
{'descr': '入住当天正在装修，额额，吵', 'star': 4}
{'descr': '国庆来这里玩，这里地理位置非常好。去北海南锣鼓巷西单颐和园都很方便。出门地铁就可以。国庆价格非常高，住宿条件一般', 'star': 5}
{'descr': '地理位置不错，第二次住，提供的卫生纸质量不好，不过性价比可以。好评吧～', 'star': 5}
{'descr': '设施有些老旧，周边环境倒是不错，别的都还好，比较满意', 'star': 5}
{'descr': '住了一个多月了。加起来', 'star': 5}
{'descr': '携程比美团上贵一点。', 'star': 5}
{'descr': '离北大医院什么的 都挺近的。', 'star': 5}
{'descr': '很好，有蟑螂的', 'star': 5}
{'descr': '酒店有蟑螂，建设时间较为久远', 'star': 3}
{'descr': '酒店房间还行，旅游很合适，主要是交通很方便，地铁四号线平安里站B出口出门右拐就到，去恭王府走路十几分钟就到，交通方便很重要', 'star': 4}
{'descr': '地理位置交通方便，吃饭也很便利，出行方便，就是房间有点小，但还是比较满意的。', 'star': 5}
{'descr': '吃饭特色丰简均方便。', 'star': 4}
{'descr': '房间只有5，6个平方，很闷。空调外机（不只一台）就在挨床的墙壁外面，房间不隔音，睡在床上听的清清楚楚，。床上还能听到隔壁房间的排气扇的声音，根本没法睡。早上4，5点钟，还有人在外面大声说话，走来走去了。一晚上都没睡好，当然 便宜没好货，估计这就是房间便宜的原因吧，但如果是这样，价格168是相当的贵呀。不知道其他贵的房间是不是这样，建议店家不要为了点钱，把这个房间弄出去，自己体验下就知道了。一台', 'star': 1}
