{'descr': '其他都好，就是外面停车的乱收费，不是酒店的问题', 'star': 5}
{'descr': '适合独处，暖气不错。', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '周围交通还算方便，房间有一点味道，整体来说还行吧', 'star': 4}
{'descr': '方便', 'star': 3}
{'descr': '出差参加展览会入住，离场地挺近，房间隔音稍有不好，其他都还行还算方便。', 'star': 4}
{'descr': '环境不错', 'star': 5}
{'descr': '离地铁要走十几分钟，设施一般，不过全店马上装修，希望能改善周围有烧烤，这个还不错，门外就是早点。', 'star': 4}
{'descr': '酒店位置比较偏，服务员态度一般，房间竟然没有梳子…', 'star': 4}
{'descr': '还不错每次来都住这里.…………', 'star': 5}
{'descr': '酒店很不错，第一次住这家酒店，服务很贴心，房间暖气也很暖和，尽管北京的雾霾很大，但是能订到这样的酒店心情好很多，客房送东西居然都知道我的姓氏，很激动，住了这么多酒店第一次碰上这么用心的，还是很感动的，看来汉庭的培训真的做的很到位，祝福汉庭走的更远吧！', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '半夜停电，停水，电话不通，电梯也停了，用手机照亮从安全通道摸到前台，一路阴森恐怖啊。让我想起生化危机场景。前台看不到人，自己壮着胆子喊了一声，从台子下面爬出一头长发....顿时一身冷汗啊！', 'star': 2}
{'descr': '经济型酒店', 'star': 4}
{'descr': '房间有台阶，差点摔倒，不过整体还不错，干净也很安静', 'star': 4}
{'descr': '很方便，离展览中心很近，房间挺好，比较干净', 'star': 5}
{'descr': '住的高级大床房，房间很干净，虽然小点儿，但放行李衣服什么的也都够用，暖气很热，前一天洗的袜子，第二天一早就干了。每天凭房卡还可以在一楼喝三杯饮料，在一楼免费上网一小时。就是地方不太好找，打车提静安市场，就在静安市场斜对过。', 'star': 5}
{'descr': '环境很不错 服务也非常到位 是汉庭的老客户了 一般出差都会选择这里 性价比不错', 'star': 3}
{'descr': '不错，性价比非常高，地理位置非常优越，good！', 'star': 5}
{'descr': '酒店房间很大，是北京住过的快捷酒店最宽敞的了，服务人员态度很好，对提出的需要也及时安排工作人员送到了房间，各项设施齐全，很满意。', 'star': 5}
{'descr': '我订的是单人大床4楼，酒店安静、服务周到，性价比高。', 'star': 5}
{'descr': '大家的点评可一定要真实噢，不然很影响订房滴。\n该酒店服务好、房间卫生，被子暖暖，周边都很方便，用房卡还可以免费喝咖啡、奶茶，快到退房时间还会电话提醒，稍有不足就是空调的声音有些大，最后只得关了再睡。', 'star': 5}
{'descr': '酒店地理位不错,房间很大,性价比好,还送水.', 'star': 5}
{'descr': '汉庭一直都值得信赖，酒店挺新，很不错！下次还会来', 'star': 5}
{'descr': '汉庭一直都值得信赖，比速8好多了！酒店新，设施好，交通方便', 'star': 5}
{'descr': '还不错，特价房性价比高，下次去北京还考虑住', 'star': 5}
{'descr': '周日的百元房性价比很高~~房间挺大，设施也不错~~', 'star': 5}
{'descr': '酒店周日百元房非常值得，而且服务员的态度简直是超级好，没有去过那么好服务的酒店。\n下次去北京还去汉庭酒店。不错。全国每个地方的汉庭的服务都还好，就是上海的一般。\n深圳的那个也好。', 'star': 5}
{'descr': '定的大床间，房间很小，不干净。不知道酒店是否向特种服务人员泄露住宿信息，本人在晚上和第二天早上先后接到按摩电话，***，早上八点，我还以为是叫早呢，结果一接居然是先生需要按摩吗。。。我倒。。。太牛了。接到电话后一直传来装修的声音，导致一直没睡好。我纳闷的是这样的酒店居然推荐率这么高，下次果断不住了。。。', 'star': 1}
{'descr': '位置不错，离三元西桥主路非常近，如果有第二天赶飞机的同志们，这家的位置还是非常给力的。周边有天虹商场和管氏烤翅，很方便。\n\n房间面积还不错，大概有20平的样子，床和房间主体部分也基本和其他汉庭店一致。就是卫生间小了点，马桶和卫浴比较局促，而且隔断的方式不够性感。房间里没有，售卖商品，这是一个比较麻烦的问题，呵呵。。。', 'star': 5}
{'descr': '酒店地理位置适中，周边设施比较完善，尤其是吃饭有很多选择。', 'star': 5}
{'descr': '房间很干净,服务也不错,离国展走路10分钟.不过住的那间房下水道从第二天起很大的味儿..........', 'star': 5}
{'descr': '酒店还行，位置距离北京国际展览中心很近，就是展会期间价格比较高。', 'star': 5}
{'descr': '环境很温馨，周围交通和吃饭环境都不错，下次来这里办事的话还会选择住这里。', 'star': 5}
{'descr': '位置不是很好找，但是环境很好，很干净，房间也算大。只是电视不是液晶的。总体很不错。', 'star': 5}
{'descr': '距离国展中心只有1公里,在国展中心参加展会很方便', 'star': 5}
{'descr': '挺好的  以后还会推荐朋友入住 地点位置比较方便 外面的环境也是可以的', 'star': 5}
{'descr': '房间舒适，性价比很高，周围有家乐福，去机场很方便', 'star': 5}
{'descr': '除了没有早餐，在北京聚划算.......', 'star': 5}
{'descr': '这个店我第二次住，位置一般，但房间很大，服务也不错，特价房也不错，下次来还会住这。', 'star': 3}
{'descr': '位置不错。吃饭出门都挺方便的。内部设施也还可以！属于附近价位适中，经济实惠的酒店', 'star': 5}
