{'短评内容': '旁边有个工地太吵了', '短评打分': 4}
{'短评内容': '第二次入住了，好的地方，价格低，服务热情，不足的地方被子脏脏的，地上有烟头，老板自己打扫，应该很简单打扫。设备旧，刚降温，空调几乎不出热。', '短评打分': 4}
{'短评内容': '一般般，冷淡的客服', '短评打分': 5}
{'短评内容': '还不错，小而紧凑，房间没有浴巾', '短评打分': 5}
{'短评内容': '很实惠的连锁酒店。', '短评打分': 5}
{'短评内容': '性价比高，下次还来住。', '短评打分': 5}
{'短评内容': '已经住了很多次了，价格确实便宜。', '短评打分': 5}
{'短评内容': '这家店算便宜的，下次还要订', '短评打分': 5}
{'短评内容': '安静适合休息，非常好，价格实惠，下次还会去', '短评打分': 5}
{'短评内容': '态度极其恶劣，服务及其差劲?', '短评打分': 1}
{'短评内容': '非常不好非常不好非常不好', '短评打分': 1}
{'短评内容': '，', '短评打分': 5}
{'短评内容': '什么都很好。价廉物美', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '网上订的非常便宜，附近交通也便利', '短评打分': 5}
{'短评内容': '第一个房间门锁不好，第二个房间灯坏了，第三次才顺利入住，不过酒店服务还不错，而且周围吃的地方也挺多～', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '环境卫生搞得不错，前台服务很周到、热情，酒店里面的设施还可以吧，周边环境一般。不过这个价位已经挺不错了。赞一个！', '短评打分': 5}
{'短评内容': '房间很小，约10个平方，就是两张床的面积吧，没有窗户，通风不是很好，多少有味道，建议商家常开通风机，洗漱用品只有一套，两人不方便，床单什么的还算整洁，随便住住可以咯。位置比较偏不是很好找，最好到附近问问，避免多绕路，附件吃的比较多，价格合适。', '短评打分': 3}
{'短评内容': '房间还行，以后还会住', '短评打分': 4}
{'短评内容': '房间比较旧，马桶一开始是坏的，想一想修好了还能凑活，第二天网上续订前台却说满房了，需要以原价订，本来想住3天结果住一晚上就住不下去了，最后选了附近的易佰，条件好太多了。总之是一次不太愉快的经历。', '短评打分': 3}
{'短评内容': '环境，服务，设施，价格等都很好。', '短评打分': 5}
