{'短评内容': '卫生间蛮干净的，装修较新', '短评打分': 3}
{'短评内容': '豪华单人间非常不错豪华单人间非常不错豪华单人间非常不错', '短评打分': 5}
{'短评内容': '酒店的位置不是很容易找，经纬9道街没有路牌，而且是单行车道，找起来不方便，这是其一。酒店是三星，不过房间里面的配置及各种物品都未达到三星标准，高个子的朋友，不能在桌子上放包，抬头很容易就能撞上衣帽钩的位置，容易磕破头，这是其二。其三是卫生间内部没有放置塑料拖鞋，洗浴的时候，只能光脚，出来如果擦不干脚，一次性的拖鞋很容易湿。个人认为早餐还可以。', '短评打分': 1}
{'短评内容': '一般吧 谈不上好 也谈不上不好 地角比较偏 入住赶上无自来水，很不方便。', '短评打分': 1}
{'短评内容': '设备一般，房间隔音不是很好！洗手间放出来的水是黄色！', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还行吧，环境位置都还可以，服务也还行，总体不特别突出。', '短评打分': 5}
{'短评内容': '主要以接团为主，因此早餐还算丰富，房间嘛还可以，不知道为啥给了3天的预付金，每天重新开一次门卡，服务态度还不错。因为哈尔滨车辆单行道多，感觉交通不太方便，出租车司机不太清楚该酒店的地理位置，离中央街步行约25分钟左右。楼下有89路车可到哈尔滨火车站。', '短评打分': 1}
{'短评内容': '房间设施陈旧，被褥是用过很多年的，有些发黑；洗手间的门是坏的，关不上，浴室没有门，洗澡时水溅得到处都是，容易摔倒；房门不隔音，早上被服务员吵醒；早餐没法吃，只有几个窝窝头、咸菜，一点玉米糊糊。总之，不推荐入住。', '短评打分': 1}
{'短评内容': '一般吧 谈不上好 也谈不上不好 地角比较偏 但是打车还是比较方便的', '短评打分': 3}
{'短评内容': '为什么连豪华间电脑也不配一个？豪华间电脑也没有太不好了。', '短评打分': 1}
{'短评内容': '+一般，没有想象中的好！', '短评打分': 5}
{'短评内容': '+基本满意', '短评打分': 3}
{'短评内容': '基本满意', '短评打分': 5}
{'短评内容': '很一般的酒店，位置也不是很好。赶不上红霞街的勃莱梅客栈，下次不会去了。', '短评打分': 1}
{'短评内容': '房间比较小.显得很拥挤.不过室内的条件还不错,房间住起来挺舒服的.综合条件还不错.', '短评打分': 5}
{'短评内容': '卫生间浴品很齐全，质量也很好，而且房间的床睡得特别舒服，软硬很合适，隔音效果也不错', '短评打分': 5}
{'短评内容': '客房的价钱不含网络，还需另行缴费。卫生间的水超小。。感觉都洗不干净。电视的遥控器也是坏的，无语了~~~空调发出声响。。。。下次不会再选择这里了', '短评打分': 1}
{'短评内容': '酒店装修的风格大方，简洁，住着很温馨，而且退房时服务员查房速度很快，基本上没怎么等着，办事效率高', '短评打分': 5}
{'短评内容': '位置不错，出行便利，打车也很方便，酒店周边的环境很好，住宿条件也不错', '短评打分': 5}
{'短评内容': '酒店外观看起来很不错，房间硬件设施齐全，酒店靠近火车站，交通还可以很方便，性价比较高', '短评打分': 5}
{'短评内容': '酒店服务水平高，服务员态度热情，服务用语专业，管理到位规范，继续保持', '短评打分': 5}
{'短评内容': '对这家店感觉非常不错，尤其是服务的细心周到，会给客人提供旅行的路线图让人觉得暖暖的。', '短评打分': 5}
{'短评内容': '酒店的装潢很好，设施布局温馨舒适，环境很不错，性价比也很合理。', '短评打分': 5}
{'短评内容': '这家店位置很好，距离火车站中央大街这些地方都非常近，但是一点也不吵杂。', '短评打分': 5}
{'短评内容': '地处旅游区域，所以价格相比就有些贵，而且条件太一般，房间小，卫生、服务都不是很跟得上。唯一的好处就是离几个景点都很近。但市区同价位房条件要好得多。', '短评打分': 1}
{'短评内容': '服务还可以了,价格也挺实惠的,就是设施有些老旧了.', '短评打分': 1}
