{'短评内容': '出行交通方便，前面还有各种早餐，', '短评打分': 4}
{'短评内容': '老板人很热情', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '价格便宜。服务周到。很不错的店。有个性。喜欢。', '短评打分': 5}
{'短评内容': '步同驿的客栈满了，安排我在翠筠青年旅舍，翠筠服务态度非常好，并且我订的是六人间公共卫生间，翠筠把我安排在六人间带独卫的', '短评打分': 5}
{'短评内容': '感觉不好，有些拥挤，我订的房型是四人间，浴室的设备也问题多多，干湿分离也没做好。没用心做！', '短评打分': 5}
{'短评内容': '睡一晚足够了，不必要求太多，厕所还不如放在外边的好。服务还行。', '短评打分': 5}
{'短评内容': '非常好非常好真的非常好', '短评打分': 5}
{'短评内容': '还可以，平', '短评打分': 1}
{'短评内容': '旅店很好，住了很多次了', '短评打分': 5}
{'短评内容': '还好啦！总体来说挺满意的，不过唯一不美的就是，我定的是四晚，因为行程临时改变，只住了两晚，退房时，店主说在携程上定的不能退，现交的可以退，所以剩下两晚没退。一般订房不是都可以退的吗', '短评打分': 4}
{'短评内容': '来了就知道了，早早的就睡了，住的三楼连不上无线网。', '短评打分': 5}
{'短评内容': '真心是不错的  周围环境很好  老板人也不错', '短评打分': 4}
{'短评内容': '认识了很多朋友，如果还来杭州，一定会去步同驿', '短评打分': 5}
