{'短评内容': '非常好，环境不错，好停车', '短评打分': 5}
{'短评内容': '还可以这的价格不错了', '短评打分': 3}
{'短评内容': '方便，出行方便。', '短评打分': 5}
{'短评内容': '设施陈旧，不配三星标准。', '短评打分': 1}
{'短评内容': '旧了', '短评打分': 3}
{'短评内容': '简直可以用无语奇葩来形容！所谓的带早餐是用一塑料袋装的两苹果、面包等！但是！！！这个还不是无法忍受的！无法忍受的是它所谓的空调有限定的开放时间！你房间的所谓“中央空调”不是你可以随时用的！！！！严重差评！！', '短评打分': 2}
{'短评内容': '装修陈旧，房间无WIFi。地理位置不错', '短评打分': 5}
{'短评内容': '条件差，地铁施工环境差。', '短评打分': 2}
{'短评内容': '好旧', '短评打分': 3}
{'短评内容': '毁了星级酒店在我心中形象，', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '在市中心，安静舒适，外面公交站台就有机场大巴经过，服务员态度一般。。。', '短评打分': 5}
{'短评内容': '宾馆地处闹市 吃饭方便', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店旧，管理差。豪标不知豪在何处？四星满店还未住过送早餐就是抵10元银子滴。', '短评打分': 1}
{'短评内容': '酒店历史长不是管理差的借口，一进房间难闻，身上发痒。住的是豪标，侧身都难矣！！！！！！！！1', '短评打分': 1}
{'短评内容': '内部装修有些旧了，不过服务倒是不错，交通也蛮方便。', '短评打分': 1}
{'短评内容': '地理位子蛮好,价格适中,房间装修有点旧,不过还算干净,早餐不怎么理想,还带自费项目.', '短评打分': 5}
{'短评内容': '呵呵，地理位子好，交通方便.......', '短评打分': 5}
{'短评内容': '早餐不好，前台服务一般，早餐人员也服务不好，价格稍贵，电视较旧', '短评打分': 1}
{'短评内容': '离我办事的地方很近，很方便，就是附近没有吃饭的地方，很难找。', '短评打分': 5}
{'短评内容': '性价比还可以，紧挨省人民医院、美食街。早餐类似广东早茶。', '短评打分': 5}
{'短评内容': '假的4星房间，打着4星的招牌，出售连3星都不到的房间，电视没几个台，地毯又脏又旧，水龙头出水量很小，花洒很差乱溅水，灯光很暗，无法阅读，总之，非常非常差，永远不会再入住', '短评打分': 1}
{'短评内容': '感觉很好，有一种回家的感觉。', '短评打分': 3}
{'短评内容': '好////////////////////////////////////////////////////////////////////////', '短评打分': 5}
{'短评内容': '不错，老四星。交通方便，服务态度好，功能齐全。干净。', '短评打分': 5}
{'短评内容': '酒店虽然是四星级，但是酒店设备陈旧，早餐品种较少而且收费较贵。', '短评打分': 1}
{'短评内容': '酒店很一般，完全没有达到四星级标准。连一般的快捷酒店都不如。更可笑的是，说含单早，但是实际上只是10块钱早餐券！', '短评打分': 1}
{'短评内容': '是一家老字号的三星级酒店，交通便利，卫生，安全，设备也很齐全。', '短评打分': 5}
{'短评内容': '服务不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '安静，有点旧，早餐太差。！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧，服务一般，交通方便。', '短评打分': 3}
{'短评内容': '酒店的卫生较差，地毯都是霉味，蚊子多，空调也不给力。\n最气人的是早餐券是十元优惠券，点餐得付钱，感觉很不爽。', '短评打分': 1}
{'短评内容': '霸王酒店，住半天到下午三点，算一天。只能这么说这是四星级的招待所。', '短评打分': 1}
{'短评内容': '各方面的条件不错，早餐也很丰富，交通也很便利', '短评打分': 5}
