{'短评内容': '总体还行，早餐不错', '短评打分': 5}
{'短评内容': '不错，设备齐全。', '短评打分': 5}
{'短评内容': '酒店早餐不错', '短评打分': 5}
{'短评内容': '不错，试了一下，，物流速度很快！赞一个！', '短评打分': 5}
{'短评内容': '不错，试了一下，新开业！赞一个！', '短评打分': 5}
{'短评内容': '早餐不错，有浴缸，很喜欢', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '高端大气上档次，低调奢华有内涵', '短评打分': 5}
{'短评内容': '差 电梯还会故障 吓死人啊', '短评打分': 5}
{'短评内容': '这是我见过的性价比最高的星级酒店了', '短评打分': 5}
{'短评内容': '还可以，只是电梯三部有二部存在问题', '短评打分': 4}
{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '早餐很一般', '短评打分': 5}
{'短评内容': '房间不错，早餐一般', '短评打分': 5}
{'短评内容': '房间不是很大，环境比较好、很安静。住着很舒服。', '短评打分': 4}
{'短评内容': '出差一直住，性价比还可以', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': 'Run down, but cheap', '短评打分': 3}
{'短评内容': '不错，很好的酒店', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '价格合理，房间整洁', '短评打分': 4}
{'短评内容': '环境不错。干净卫生。离市区比较近。会向您的朋友推荐这家酒店。', '短评打分': 5}
{'短评内容': '南湖及吧台小妹秀色可人，价格实惠，房间整洁，只是早餐委实简陋。', '短评打分': 5}
{'短评内容': '酒店大堂符合四星，但是客房及自助餐实在不敢恭维，与四星相差甚远。', '短评打分': 1}
{'短评内容': '环境卫生，安静。但交通稍微不便，早餐太糟糕了。', '短评打分': 5}
{'短评内容': '服务不错，环境比较安静，就是面积不是很大 总体来说不错。', '短评打分': 5}
{'短评内容': '最好的评价对我来说就是每次都会入住此酒店！！！', '短评打分': 5}
{'短评内容': '房间挺好的，服务也很好，早餐也不错，就是交通不便利，打车比较难！', '短评打分': 5}
{'短评内容': ' 一般般的酒店。早餐基本没什么东西。', '短评打分': 3}
{'短评内容': '酒店环境还不错，地理位置也好，网上预定的双早，可我就一个人吃啊，有点浪费', '短评打分': 5}
{'短评内容': '不错，稍微有点偏................', '短评打分': 5}
{'短评内容': '酒店客房设施还不错，但早餐品种较少，质量也有待提高。奇怪的是我们登记入住是两个人，每次服务员只送一张早餐券，屡经提醒而未改善。', '短评打分': 5}
{'短评内容': '酒店在当地算是比较好的酒店，环境卫生都很好，酒店服务也好，下次还考虑入住', '短评打分': 5}
{'短评内容': '酒店还可以，在滁州算好的了，退房时间一路既往的死板。', '短评打分': 5}
{'短评内容': '环境不好！服务不好！早晨饭菜不行！环境不好！服务不好！早晨饭菜不行！', '短评打分': 1}
{'短评内容': '第一次入住，觉得还行。\n由于入住时间比较晚，酒店附近都没什么吃的，问服务员以及门口的保安，都很热情指引旁边的夜宵处，并提醒注意安全。对于出差的人来说感觉不错！\n另外去滁州的火车站也不远，打车差不多20元左右。', '短评打分': 5}
{'短评内容': '酒店很干净。服务也很好。', '短评打分': 3}
{'短评内容': '酒店在滁州老城区算最好的了，但12点退房规定有点死板，望改进。', '短评打分': 5}
{'短评内容': '环境不错，硬件还可以，卫生情况还不错。早餐一般，没啥吃的。\n去滁州高铁站打的25元左右', '短评打分': 5}
{'短评内容': '一下两点和四星级酒店差距比较大：1、服务，2，早餐', '短评打分': 5}
{'短评内容': '客房除了面积小了点，其他硬件及服务基本达到星级标准！', '短评打分': 3}
{'短评内容': '一般，性价比不高。档次有点低，特别卫生间有味道。商业房改装的，不适合做酒', '短评打分': 1}
{'短评内容': '很干净，虽然比不上江苏的的四星级酒店，但是滁州这边的这家，看上去也新，东西也都不错\n晚上住着很安静。挺适合旅游，离景点很近，打的也很便宜，就是房间内保险箱打不开，\n服务人员应该在打扫时检查下。', '短评打分': 5}
{'短评内容': '酒店总体还行，就是早餐上体现不出是四星级，房间大小都还好，', '短评打分': 5}
{'短评内容': '很干净，虽然比不上浙江的的四星级酒店，但是滁州这边的这家，看上去也新，东西也都不错\n晚上住着很安静。挺适合CPA考生们的。离考点不是很近，但是打的很便宜的\n', '短评打分': 5}
