{'短评内容': '服务很到位。交通便利，出门就有公交，一站就到地铁口。', '短评打分': 5}
{'短评内容': '早餐啊不错。带孩子一般，无好玩的地方。环境不错，园林花园，就是从大陆走到宾馆偏远，饭菜不错，服务员服务很好。会议多，人多', '短评打分': 5}
{'短评内容': '环境不错，服务到位，餐厅餐食丰盛，味道也不错。', '短评打分': 5}
{'短评内容': '很棒環境很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '亲子房很满意，环境好巴适！太舒服了！早餐丰富！服务热情周到！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间还不错，军区很安全，就是有点偏，开车还是满方便的', '短评打分': 5}
{'短评内容': '服务很好。位置离市区稍远。', '短评打分': 5}
{'短评内容': '非常不错的宾馆，下次还会继续入住！', '短评打分': 5}
{'短评内容': '入住的望江宾馆非常好！京东满分！点赞！', '短评打分': 5}
{'短评内容': '还可以吧，非常不错，心情好，?', '短评打分': 5}
{'短评内容': '非常好的宾馆，环境很美，闹中取静', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '房间太老了，值不起这个价格', '短评打分': 4}
{'短评内容': '酒店环境非常幽静 早餐丰盛 适合家庭出游或商务旅行 地铁和公交站都非常方便 离市中心有点距离 但交通很方便 下次还会来住', '短评打分': 5}
{'短评内容': '酒店环境很好，住的很舒服，特别适合度假，也特别适合举办婚宴之类大型活动，成都军区就在酒店边上，安全保卫措施很到位，值得推荐', '短评打分': 5}
{'短评内容': '好，不错。', '短评打分': 5}
{'短评内容': '早餐还不错，就是周边没啥配套，就是环境了', '短评打分': 4}
{'短评内容': '酒店环境非常好，房间干净整洁，住着很舒服，服务员态度很好，下次一定再住', '短评打分': 5}
{'短评内容': '酒店环境非常好，设施也很好，房间干净整洁，住着很舒服', '短评打分': 5}
{'短评内容': '酒店环境、设施都非常好！外观细节如携程网图示，但酒店自助餐不如过去好了。', '短评打分': 5}
{'短评内容': '设施陈旧', '短评打分': 3}
{'短评内容': '我感觉到一点不到之处就是服务速度慢了半拍', '短评打分': 4}
{'短评内容': '环境还是一样的好！就是房间跟市内其他同类酒店相比小很多。', '短评打分': 5}
{'短评内容': '酒店很安静，早餐丰富，设施很新，就是房间小点', '短评打分': 5}
{'短评内容': '酒店很安静，房间有点小，设施很精致，早餐品种多，挺不错的入住体验', '短评打分': 3}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '外环境不错，清净，沙河边上，但房间面积偏小。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '环境很好，每次出差都会来！尤其是服务员的态度让我感觉在家一样舒服！早餐时我两手都拿着东西，他们主动上前帮我分担；外出前给服务员随口说了句枕头有点软，等再回到房间时已经帮我换好了荞麦枕头！下次还会选择你们酒店！', '短评打分': 5}
{'短评内容': '值得推荐！值得推荐！临近成都东客站，环境优美~早餐丰富！服务好~是商务出差、旅游的理想之选。游泳池也很好~~', '短评打分': 5}
{'短评内容': '环境不错。宏达楼用得香气过重，让人受不了。早餐坑人，小孩子要102元，比川宾、银河差多了。', '短评打分': 1}
{'短评内容': ' 环境还可以', '短评打分': 3}
{'短评内容': '房间设施和服务都很好，希望价格可以再便宜一些', '短评打分': 5}
{'短评内容': '环境真的不错，自助早餐比较丰富，面最好！', '短评打分': 5}
{'短评内容': '一家很安静的酒店，很大服务也不错！下次还会选择住这家酒店', '短评打分': 5}
{'短评内容': '前台办完入住手续后，在大堂吧等了1个半小时才得以入住。免费升级了房间，但是等待的时间实在是伤不起。其他服务还OK，除了入住手续办的很累。 酒店环境不错，院子很大，绿化郁郁葱葱。就是偏僻了点，交通不方便。', '短评打分': 1}
{'短评内容': '跟几年前相比有点变样，不过还是那种曲径通幽的感觉，非常不错。但会馆的茶不敢恭维。', '短评打分': 5}
{'短评内容': '花园式酒店，相当不错的地方，很不错哦！！！', '短评打分': 5}
{'短评内容': '望江宾馆还行，只是出去办事不好招车。', '短评打分': 3}
{'短评内容': '\n望江宾馆五福楼很好!够得上五星级。', '短评打分': 3}
{'短评内容': '酒店环境不错，这次住泰式房间，内部设施比较新，但房间比较小，而且部分房间没窗户，看不到园林或者江景。', '短评打分': 5}
{'短评内容': '泰式房挺漂亮的，就是偏小。整体感觉不错，就是位置太偏了，从宽窄巷子打车过去差不多30多块，说是锦江区，春熙路也锦江区啊，原来锦江区这么大啊，酒店位置差太远了。怪不得同其他五星的相比，价格要差不少呢。电视机不大好，频道很多，但很不稳定，图像会抖会糊。其他的都还行吧，床挺舒服的。', '短评打分': 5}
{'短评内容': '环境很好，早餐还是很丰富的，整体感觉不错的，但价格高了，我们是中秋的活动价格。\n打车不是很好打。环境很好，早餐还是很丰富的，整体感觉不错的，但价格高了，我们是中秋的活动价格。\n打车不是很好打。', '短评打分': 5}
{'短评内容': '五星级的望江宾馆，部队办的，很安全，没什么乱七八糟的。位置不错，闹中取静，交通方便。房间很大，卫生和设施也很好，早餐很有特点种类很齐全，很不错的宾馆，下一次一定还会去住。', '短评打分': 5}
{'短评内容': '外面环境很不错，很安静，已经住过几次了~\n但是房间装修一般', '短评打分': 5}
{'短评内容': '帮公司同事预订的，酒店提供的发票为成都军区四招的，不太明白。', '短评打分': 5}
{'短评内容': '感觉宏达楼泰式商务房比豪华房还好些，只是旧一点而已。', '短评打分': 5}
{'短评内容': '服务较好，里面环境不错，晚上很安静，厕所太小！', '短评打分': 5}
{'短评内容': '还是一样的好，自助餐不错，品种很丰富，就是有点贵！', '短评打分': 5}
{'短评内容': '酒店的卫生间实在太小,像三星宾馆。', '短评打分': 3}
{'短评内容': '豪华间还是不错的！值得推荐，最近第三次住了！', '短评打分': 5}
{'短评内容': '还不错吧，就是涨价了！希望能跟以前一样价格就好了!', '短评打分': 5}
{'短评内容': '酒店环境优雅，安静，舒适，性价比高！在里面散步感觉很好！', '短评打分': 5}
{'短评内容': '环境很好，服务很好，房间一般，交通不便。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店窗外有大片的绿化，负氧离子很高，服务员态度也很好，只是住的泰式房间相对狭小，房间很一般。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '非常好,环境优美,服务态度不错.', '短评打分': 3}
{'短评内容': '很好，很满意。给领导订的房间，领导回来说很满意，很好！下次去成都还住这里。', '短评打分': 5}
{'短评内容': '因为是婚房，所以提前告知了望江，简单的帮我们布置了一下，但是也很不错了，唯一一点就是房间比较小，其他都相当不错！！', '短评打分': 5}
{'短评内容': '我一个礼拜内二次入住该酒店，他们的服务很好，早餐时我搞错时间，7点开始，我6点半就去了，但服务员热情地请我入座，7点没到就请我开始用餐。以后还会住。', '短评打分': 5}
{'短评内容': '非常不错的酒店，环境很好。我如住的是泰式客房，很有异域情调。房间里的高科技设备也很吸引人。', '短评打分': 5}
{'短评内容': '住起舒服，跟朋友推荐过，朋友住后也觉得可以。', '短评打分': 5}
{'短评内容': '酒店环境还可以，据说是部队开的，已经住过多次了。', '短评打分': 5}
{'短评内容': '望江宾馆服务很不错，订的是宏达楼的泰式商务房，从电视、灯光到窗帘全部是一个遥控器控制，智能化程度很高。设施很新，特别喜欢淋浴房龙头及地砖非常好，总体装饰很有东南亚风格，就是房间有点小。早餐也不错，果汁及水果品种很多，还可以自制巧克力水果串，好吃又好玩，很喜欢。下次来还会选择这里。', '短评打分': 5}
{'短评内容': ' 房间太小，不是五星级的大小，酒店环境确实很好，床很软很舒服。', '短评打分': 3}
{'短评内容': '＋商务房，房间有点小', '短评打分': 3}
{'短评内容': '非常不错', '短评打分': 3}
{'短评内容': '宏达楼的房间设施不错,自动化程度高,也很安静,就是小了一点....上月入住的', '短评打分': 5}
{'短评内容': '还没离店呢，但是可以先点评一下。这次住了宏达楼的标间，以及五福楼的行政间。总体上来讲和真正的五星有些差距。但在国内，也算是比较好的了。服务员还算热情，也挺养眼。设施也还可以，就是各个楼之间有点距离。宏达楼的房间太小，自动化程度高，但不够人性化，没考虑到一些特殊情况。下次有时间仔细写写。\n还是推荐吧。', '短评打分': 5}
{'短评内容': '酒店房间极小，与五星标准相差甚远，性价比太差了，绝不来第二次。', '短评打分': 3}
{'短评内容': '位置在偏了,,吃飯不方便,,只能在館裏吃,一个人,,118元,,泳池,,全池深度2M,,一個不小心,,,就吃水了', '短评打分': 1}
