{'短评内容': '11月14日入住，没有暖气。', '短评打分': 2}
{'短评内容': '不错的！服务好！环境还行！', '短评打分': 5}
{'短评内容': '还行，便宜', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '早餐超差，房间太旧，住的人稀少！和4星不符！设备陈旧！', '短评打分': 3}
{'短评内容': '酒店很一般，很老，周边比较热闹。价格不便宜，可性价比不高。。酒店很一般，很老，周边比较热闹。价格不便宜，可性价比不高。。', '短评打分': 4}
{'短评内容': '不赖', '短评打分': 5}
{'短评内容': '离办事的地方很近，但是房间设施较老，住宿的几天正好赶上有活动，吃饭跟打仗一样...配套服务还需要再改善', '短评打分': 4}
{'短评内容': '地理位置优越，很好。', '短评打分': 5}
{'短评内容': '院内停车场很大，大厅也气派，房间干净整洁，入住的非常舒服。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '太老的酒店，设施都像九十年代的，20寸老彩电，房间很小还有味道不干净，还不如快捷酒店，第二天果断换地方住了', '短评打分': 2}
{'短评内容': '没想到如此恶心', '短评打分': 2}
{'短评内容': '设施老化，房屋简陋，很不给力，失望', '短评打分': 3}
{'短评内容': '酒店太老 应该装修一下 挂牌3星有点不值', '短评打分': 5}
{'短评内容': '宾馆变成家，天气害大家', '短评打分': 3}
{'短评内容': '99价格实惠', '短评打分': 3}
{'短评内容': '宾馆房间宽敞，必要用品完备，性价比高，值得入住。', '短评打分': 5}
{'短评内容': '酒店规模是挺大的，停车位充足。住宿分为贵宾楼和迎宾楼，贵宾楼是四星级，迎宾楼年久失修，墙面斑驳，设施简陋，基本是招待所的水平。不知道什么喜事，楼下半夜开始放鞭炮，四点机械开始施工，通宵失眠。早餐比较简单，可能是国庆期间入住率高的原因，取餐台很快就空空如也了。', '短评打分': 1}
{'短评内容': '装饰该翻新了，卫生间门都腐烂了。房间休息沙发应该在靠窗的位置，这样更加舒适，多点大床房。', '短评打分': 5}
{'短评内容': '环境差,设施简陋', '短评打分': 3}
{'短评内容': '硬件一般。价格不一般。蚊子很多，进门就吓的倒退二步，伸手一抓，多则3个，少则一个，蚊子好像几天没有进食了，飞行速度很慢，饥不择食的往脸上仆。酒店大概也知道里面蚊子的厉害，专门配备灭蚊设备电蚊香，配合手工作业，大约一个时辰才把蚊子消灭干净。后来才发现酒店卫生间墙角有很多陈年污垢，蚊子大概是从这里不断的繁衍诞生，成长壮大起来的。这里的其他东西也很贵的，不值，你知道。品牌的价格，地摊的货。', '短评打分': 5}
{'短评内容': ' 安阳必竟是个小城市，根据当地消费观也还可也哦...当然不能跟北京上海这些大城市比了...', '短评打分': 5}
{'短评内容': '可以哦  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '这家宾馆不是很舒服，虽然是4星的宾馆，但是只有2星的水平，不如一些快捷酒店，很差。', '短评打分': 1}
{'短评内容': '交通便利，利商业步行街很近。环境舒适，价钱合理，下回还会住这里的', '短评打分': 5}
{'短评内容': '酒店离商业街很近，交通购物方便。这里的早餐还是很不错的。价钱合理，干净卫生 ，下回还会住这里的', '短评打分': 5}
{'短评内容': '中原宾馆超级烂，各方面都差，号称4星我看1星都不到', '短评打分': 3}
