{'短评内容': '卫生环境都不好 太low了', '短评打分': 1}
{'短评内容': '很不错经济实惠，我和哥哥弟弟嫂子弟妹5人要了2个标间，房间大小合适，卫生间热水很好，空调也是很不错，赞一个', '短评打分': 5}
{'短评内容': '套间不错', '短评打分': 5}
{'短评内容': '交通方便出门就可吃到当地小吃', '短评打分': 5}
{'短评内容': '房间设施很一般，好多都是坏的，提供的东西也基本上都是收费的，就是价格便宜点而已，下次估计不会再去住了', '短评打分': 2}
{'短评内容': '还不错，价格便宜，不是太干净', '短评打分': 5}
{'短评内容': '还不错，交通便利，对得起这个价格，套间是真的小啊！', '短评打分': 5}
{'短评内容': '酒店真的很棒，房间很干净整洁，服务员很热情,谢谢！', '短评打分': 5}
{'短评内容': '住体验总体来说还是不错的。下面我就这次的入住体验分享给大家。希望能给大家的出行和酒店服务水平的提升提供一些地理位置优越，发展前景很好。酒店距离火车高铁站程十分钟，交通很是便利，是商务人士出行的不错选择。周边配套服务设施齐全，购物饮食都很方便。 房间配套设施:酒店内部装修不错，大部分都是软包的。整个房间的灯光布局略显昏暗，希望可以做些改善。浴室和洗手间的灯光还是蛮好的。浴巾、毛巾、一次性的刷牙用具/剃须刀/马桶坐垫、洗发膏、沐浴乳、电热吹风、酒店专属饮用纯净水、中央空调还有一系列其它用品一应俱全。唯一遇到的问题是淋雨的喷头严重漏水，希望酒店方面可以排查下客房配套的用品。 舒适度还是蛮好的，安全性方面自然也是不用担心。客房的床褥给人感觉很舒适，休息待客用的沙发、大气优雅的全窗设计、光洁温馨的浴缸给人以家的温馨舒适感。安全性方面也是很有保障的，客房的门是自动关门的，不用担心出去忘记关门而丢失物品。', '短评打分': 5}
{'短评内容': '性价比还是蛮高的，而且离万达还有会展中心都不远！Wi-Fi好', '短评打分': 5}
{'短评内容': '可以，不错啊。作为一位入住～～～酒店的顾客，我用亲身经历发自内心的觉得，～～～酒店环境整洁，房间布局堪称完美，优雅又不失情调，服务周到，让人无比舒心。给我营造了一种家的感觉，无论大处到小处都是那么无懈可击，价格也很合理。', '短评打分': 5}
{'短评内容': '可以………………', '短评打分': 4}
{'短评内容': '可以………………', '短评打分': 5}
{'短评内容': '…………………………可以', '短评打分': 4}
{'短评内容': '总体一般', '短评打分': 3}
{'短评内容': '还可以，不错，比较高大上', '短评打分': 3}
{'短评内容': '用携程订的，开始人家让把携程订的退了，直接从店里订…说什么携程客户经理有什么问题，后来坚持下才按携程价走了，…完全和携程的酒店描述不符…', '短评打分': 3}
{'短评内容': '感觉一般，房间比较小。设施也比较老旧。感觉一般，房间比较小。设施也比较老旧。感觉一般，房间比较小。设施也比较老旧。感觉一般，房间比较小。设施也比较老旧。感觉一般，房间比较小。设施也比较老旧。感觉一般，房间比较小。设施也比较老旧。感觉一般，房间比较小。设施也比较老旧。', '短评打分': 3}
{'短评内容': '酒店位置距离市区尚远，环境相比市区内同等价位相差太多，卫生条件也很差！有一股很难闻的味道！！', '短评打分': 1}
