{'短评内容': '吃饭出行都很方便，在中青政里面，还可以校园走走', '短评打分': 5}
{'短评内容': '环境很安静，出行很方便，周围有很多购物的地方，吃饭很方便。最主要的是离北外很近，下次来北京学习还会选择入住！', '短评打分': 5}
{'短评内容': '酒店服务很好在学校里！安静看孩子住这里很方便！不过房间小点！门口就是公交站点无论去哪里都很方便！附近有订票处水果店一号店等', '短评打分': 5}
{'短评内容': '交通方便，环境很好。', '短评打分': 5}
{'短评内容': '挺好的，就是标间太紧张，好难订。希望以后多留点房间给携程，好多同事没法订上。大床间能和标间转换就好了', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '太旧 床太小', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '酒店在校园内，整体还不错，就是如果出去吃饭不是很多选择，其它都不错', '短评打分': 4}
{'短评内容': '隔音比较差，服务还好', '短评打分': 3}
{'短评内容': '学校伙食不错', '短评打分': 4}
{'短评内容': '总体还好吧，服务还行，周围餐饮交通比较便利。就是开车过去不是很方便，在学院主门南侧一个小门进入，有些不好找。停车场竟然收费。', '短评打分': 5}
{'短评内容': '交通便利，离大学近。就是地铁不方便。', '短评打分': 3}
{'短评内容': '因为要在中青院办事，住在这里感觉方便、卫生、安全。', '短评打分': 5}
{'短评内容': '位置不错，出行方便。', '短评打分': 3}
{'短评内容': '房间有点小，尤其卫生间太小了。不过还是很干净的！', '短评打分': 5}
{'短评内容': '房间很不错。位置较偏。', '短评打分': 3}
{'短评内容': '环境因在学校内部，很安静，隔音效果好，干净简洁，值得推荐', '短评打分': 5}
{'短评内容': '我订的是豪华标间，宾馆卫生不错，服务员态度较佳。卫生间小了一点，干湿没分离，较不便。餐厅与住的不在同一幢房，口味浓。总体推荐。', '短评打分': 5}
{'短评内容': '第二次来 觉得家庭房还不错 标准间太小 相比较价格太高', '短评打分': 5}
{'短评内容': '环境很好，卫生也很好，以前住过，所以这一次又选择了他家入住，服务也挺好，相当不错，坐车也挺方便，下了车站就是。', '短评打分': 5}
{'短评内容': '此酒店经济实惠，卫生间太小，服务态度不错，交通也很方便。', '短评打分': 5}
{'短评内容': '这家酒店我多次入住，感觉不错，干净卫生，也不是太吵太闹，但出行又很方便，坐火车到西站有公交374直达，不用转车，很方便。', '短评打分': 5}
{'短评内容': '很好。多谢', '短评打分': 3}
{'短评内容': '环境不错，在青年政治学院校园内，很安静。卫生间略小，但室内整体还很干净！', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '环境好，安静舒适，坐落在校园内。周边商场超市少。', '短评打分': 5}
{'短评内容': '酒店位于学校中，环境较为安静，因为和学生宿舍楼连在一块儿，可能隔音效果不是很好，希望酒店方面加强此方面的工作！总体效果不错', '短评打分': 5}
{'短评内容': '房间偏小，布局感觉就像普通民居变成酒店。卫生条件不错，但不值得这个价钱。', '短评打分': 1}
{'短评内容': '环境还是不错的，挨着学校，位置也还行。不足之处：晚上三环上车来车往还是有点噪音；热水不太稳定，一会儿热一会儿冷。打车去最近的地铁站也就十六七块钱。', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '有点小贵！', '短评打分': 3}
{'短评内容': '为什么让2点后才可入住', '短评打分': 3}
{'短评内容': '    万年青宾馆硬件设施、软件服务都不错，又在西三环内，交通也很发达，出行很方便，如果房内能上网就更方便了。', '短评打分': 5}
{'短评内容': '位置不错，学校里面挺安静，来这里办事的话是首选，就是性价比不高', '短评打分': 5}
{'短评内容': '性价比不高，学校校园里，倒是很安静。房间偏小，厕所不大，干净程度还不错', '短评打分': 1}
{'短评内容': '房间干净整洁，工作人员服务热情，晚上睡觉比较安静，下次还会选择。', '短评打分': 5}
{'短评内容': '还可以了，在北京房价就是高，当然如果房价低于300元将会更有吸引力。如果图方便住这儿也行。', '短评打分': 5}
{'短评内容': '标准间实在有点小，特别是卫生间里太局促了，东西都没地方可放，建议酒店把标准间的价格降一些才好。', '短评打分': 1}
{'短评内容': '干净整洁，交通方便，去北外或者团校都是住宿的最佳选择。', '短评打分': 5}
{'短评内容': '性价比不高。洗手间太小，没有分隔的淋浴空间，房间也很一般，总体感觉像旅馆', '短评打分': 1}
{'短评内容': '就在我们学校里面，很方便。而且服务态度很好哦~', '短评打分': 5}
{'短评内容': '服务还不错，卫生好，唯一不足的是卫生间小', '短评打分': 5}
{'短评内容': '入住好。   .Shizhong YANG.', '短评打分': 3}
{'短评内容': '太贵了，而且房间很小，最可恶的是太吵了，看书都看不下去', '短评打分': 1}
{'短评内容': '＋酒店环境尚可，性价比不错', '短评打分': 3}
{'短评内容': '非常干净十分满意万年青宾馆的服务', '短评打分': 3}
{'短评内容': '酒店交通挺方便，周边北外、总政歌舞团都还近，服务也不错，就是房间有点小，性价比稍差，对了，房间很温暖', '短评打分': 3}
{'短评内容': '比较干净。但价格较贵。空间较小。。。。。。', '短评打分': 5}
{'短评内容': '不错，卫生不错，就是有点机械，房间小点，相比价格。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '很好!', '短评打分': 3}
{'短评内容': '该酒店环境不错，离市区较近，卫生也打扫的较及时，很干净，价格再能便宜点就更好了。', '短评打分': 5}
{'短评内容': '设施一般，位置较好，对于孩子在中青院上学的家长来说是很不错的选择', '短评打分': 3}
{'短评内容': '对于孩子在中青院上学的家长来说住这里还是很方便的。', '短评打分': 5}
{'短评内容': '位置好，特别是在中青院和北外的学生家长来京的首选\r\n', '短评打分': 5}
{'短评内容': '+内容 ', '短评打分': 5}
{'短评内容': '地段不错，在学校里，安全。设施也还不错，但是比起北外宾馆就差远了', '短评打分': 5}
{'短评内容': '服务态度很好！但是地理位置还可以，房间倒是小了点。', '短评打分': 3}
{'短评内容': '服务态度很好，但是性价比一般，房间比较小', '短评打分': 5}
{'短评内容': ' 还行吧,开窗很吵', '短评打分': 5}
{'短评内容': '服务态度很好。房间也很舒适。但是隔音效果不是很理想。', '短评打分': 5}
{'短评内容': '+干净 交通也算方便 服务态度好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '孩子在青年政治学院上学，酒店和学校在一个院子里，位置当然很好了，就是设施有些陈旧，服务和卫生还可以，价格能再低些会更好。', '短评打分': 5}
{'短评内容': '价钱高了点,还行', '短评打分': 3}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '较满意,已向朋友推荐', '短评打分': 5}
{'短评内容': '不怎么好', '短评打分': 3}
{'短评内容': '很差的一家酒店。设施还没有经济型酒店好。', '短评打分': 1}
{'短评内容': '性价比不错，很安静，就是卫生间洗澡有点不方便。离周围高校、公园也挺近，公交车很多。', '短评打分': 5}
{'短评内容': '服务不错，主要是房间有点窄了。', '短评打分': 5}
{'短评内容': '距离北外步行15分钟，在北京青年政治学院院内，条件还行，就是卫生间太小，基本没有洗澡的地方', '短评打分': 5}
{'短评内容': '地理位置优越,服务到位,较人性化.行价比还行.', '短评打分': 5}
{'短评内容': '房间有点小，但是比较干净舒适，服务也很周到。价格还算合理', '短评打分': 5}
