{'短评内容': '酒店很好，很整洁，下次回家还住这家', '短评打分': 5}
{'短评内容': '如家快捷酒店(哈尔滨中央大街新阳路机场巴士站店) 商务大床房', '短评打分': 5}
{'短评内容': '挺好的，经济实惠', '短评打分': 5}
{'短评内容': '一般一般', '短评打分': 3}
{'短评内容': '卫生条件很好，房间虽然不大，但设施齐全，干净，温暖，非常不错', '短评打分': 5}
{'短评内容': '很好，整体很满意，出差一直住如家，因为品牌，源于信任，希望越做越好。期待……前台营业员，清洁阿姨人都很好，很热情。整体都很满意', '短评打分': 5}
{'短评内容': '很安全 也很舒适', '短评打分': 5}
{'短评内容': '酒店位置好，早餐可以', '短评打分': 5}
{'短评内容': '好，，，', '短评打分': 5}
{'短评内容': '家庭房？放两张床就剩下过道了，失望！幸亏也只是住一个晚上', '短评打分': 3}
{'短评内容': '地理位置优越，价格也实惠！', '短评打分': 5}
{'短评内容': '地理位置不错，价格也合理！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '交通方便，周边环境不错', '短评打分': 4}
{'短评内容': '不咋地，，，，，，，，', '短评打分': 5}
{'短评内容': '满意', '短评打分': 4}
{'短评内容': '交通方便，吃饭也方便，经济实惠。', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '服务太到位了，刚到哈尔滨感受到了高质量的服务，真的很不错，各方面都很满意。刚下火车往右转，有公交几站就到了，不要打门口的黑车。在酒店去中央大街那附近也有公交车，哈尔滨的公交车很方便，没有导车。推荐这家酒店。', '短评打分': 5}
{'短评内容': '感觉不错…服务态度很好，交通也方便，房间卫生也好…就是有点味道…', '短评打分': 4}
{'短评内容': '很好，值得推荐……', '短评打分': 4}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '好！！！……………！！？？？', '短评打分': 1}
