{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '都挺好的', '短评打分': 5}
{'短评内容': '酒店有停车场，早餐可以，酒店位置靠近火车站，挺方便', '短评打分': 5}
{'短评内容': '停车方便，装修有点老，卫生还行，老式招待所的感觉', '短评打分': 4}
{'短评内容': '位置稍稍有点偏，但是房间真的超级棒的，物超所值啊，推荐推荐~', '短评打分': 5}
{'短评内容': '挺好的酒店；距火车站很近', '短评打分': 5}
{'短评内容': '酒店位置还不错，比较好找，也比较安静', '短评打分': 5}
{'短评内容': '不错!', '短评打分': 4}
{'短评内容': '很一般', '短评打分': 1}
{'短评内容': '继续续订，听满意的。就是特价房无早餐，其实能吃多少钱的早餐啊。建议酒店可以给早餐。不错，酒店的位置比较好找，虽然靠路边，但是酒店是在进入后的大院子里，很清静，停车场很大。周围也有非常多的可以吃饭的地方。房间很干净，工作人员也很礼貌，房间面积很大，淋浴的水流很冲，洗澡很舒服。整体不错，价位也不贵，很便宜。停车很方便。总之下次还会订。', '短评打分': 5}
{'短评内容': '房间非常干净  睡觉很安静   很好！', '短评打分': 5}
{'短评内容': '卫生条件一般，但对于这个价位也可以了', '短评打分': 3}
{'短评内容': '环境不错，就是设施设备有点久了，挺不错', '短评打分': 5}
{'短评内容': '老的准三星级酒店，值得信赖，出行的首选。', '短评打分': 3}
{'短评内容': '非常好，房间的卫生很干净，服务态度很热情，床单、被罩、毛巾和浴巾都很白，感觉非常干净和舒适。', '短评打分': 3}
{'短评内容': '环境非常不错，早餐很有味道，要是房间再大点就好了，价位很合适', '短评打分': 5}
{'短评内容': '安静，安全，但房间比照片上的要小，我住的房间有霉味，服务可以，早餐一般，设施比较老，房卡坏了。', '短评打分': 5}
{'短评内容': '价格还算公道，屋子里有味道。', '短评打分': 3}
{'短评内容': '很旧，房间设施差，还不如快捷酒店，性价比太差。', '短评打分': 1}
{'短评内容': '交通方便，环境不错，酒店设施比较旧，网络速度奇慢', '短评打分': 5}
{'短评内容': '我每个月都来秦皇岛出差两三次。对于这个档次的酒店来讲，这家的性价比还是非常高的。特别的一点就是安静：秦皇岛的酒店墙壁普遍比较薄，有些时候隔壁咳嗽一声都听得见，更别说是电视或者其他动静了。景业的最大优点就是安静。', '短评打分': 5}
{'短评内容': '房子装修有点旧，离火车站不远，不在马路上，要拐进去一点点，但是比较安静，呵呵。', '短评打分': 3}
{'短评内容': '酒店位置较好，距离火车站近，幽静，适合休息。服务态度好，热情。如果有机会会再次入住', '短评打分': 5}
{'短评内容': '装修有点旧了,但是还是很安静.交通也比较方便,从路上可以看到这个酒店,是属于总后的酒店.', '短评打分': 5}
{'短评内容': '位置非常好，从火车站走着就可以到，不过隐藏在一个加油站旁边，不太好找。其余的都一般吧', '短评打分': 5}
{'短评内容': '设施很不好，真搞不懂，为撒价钱还很高', '短评打分': 3}
{'短评内容': '性价比很低，238的房间有异味，环境也不好，以后不会入住', '短评打分': 1}
{'短评内容': '性价比很高的酒店，住着非常舒服，服务很不错，值得推荐。', '短评打分': 5}
{'短评内容': '酒店的各方面硬件和软件服务都比较到位，性价比非常高.房间也好住起来很舒适.', '短评打分': 5}
{'短评内容': '布局简单但整理的很干净，服务员都挺好的，总的来说性价比不错。', '短评打分': 5}
{'短评内容': '地理位置好，舒适度也还可以，最主要的是离火车站近，方便。', '短评打分': 5}
{'短评内容': '服务人员彬彬有礼，酒店环境和地段也十分理想！', '短评打分': 5}
{'短评内容': '景业酒店附近的交通很好，去市中心，打车和坐车都挺方便，很满意。', '短评打分': 5}
{'短评内容': '餐厅做的菜味道很好，整体环境也不错，呵呵。', '短评打分': 5}
{'短评内容': '房间打扫的非常整洁，隔音效果亦不错，有机会会再去住的。', '短评打分': 5}
