{'短评内容': '隔音效果不好', '短评打分': 5}
{'短评内容': '无窗的房间就是比较吵，隔音效果不好，其他还好了', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 5}
{'短评内容': '可以，不错。', '短评打分': 5}
{'短评内容': '据说还可以', '短评打分': 5}
{'短评内容': '里面环境很好', '短评打分': 5}
{'短评内容': '服务态度很好，房间干净整洁', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '服务态度不错，就是靠马路，夜里有点吵。夜里面休息的还可以，以后还会来的。格林豪泰感觉比其他的要好一点。', '短评打分': 5}
{'短评内容': '哈哈哈', '短评打分': 5}
{'短评内容': '房间干净', '短评打分': 5}
{'短评内容': '房间很大 比较满意', '短评打分': 5}
{'短评内容': '每次去几乎都满房，可见有多好了', '短评打分': 5}
{'短评内容': '环境一般，设备一般，服务一般，特别是电视机还收不到台！', '短评打分': 2}
{'短评内容': '不错的  挺好找 位置也OK', '短评打分': 4}
{'短评内容': '靠近美食街 吃东西还方便 没有停车场 停在上街沿 把我车的底盘都刮了 痛苦', '短评打分': 3}
{'短评内容': '环境还可以，出门就有车，就是里面信号是在太差', '短评打分': 5}
{'短评内容': '还不错.环境挺好. 价格便宜 吃饭也方便', '短评打分': 5}
{'短评内容': '一直住你们这里，但是我希望你们前台要重点加强培训，说话不要那么大声~！礼貌的好不？', '短评打分': 5}
{'短评内容': '已经第二次入住了，很不错，除了隔音效果，其他都还不错。', '短评打分': 5}
{'短评内容': '经常去住你们的酒店，但是有一个问题希望你们能及时的处理一下，就是你们门口的台阶太高了，车子开不上来应该及时搞一下，有开上来的地方都被别人的车子堵住了，害的我每次都要停到对面去~！还有一次上来了，等走的时候却被人堵住了下台阶的去路，还有就是电视老是不清楚，最主要的就是淋浴有待改善，那个水一会冷一会热的，极其不方便~！主要还是门口停车的问题是个大问题，希望有待解决~！', '短评打分': 5}
{'短评内容': '酒店周围各色饭店娱乐场所林立，还有电影院，大卖场。房间也比较舒适。松江的几家经济型酒店数他的位置最好了。\n美中不足的，房间有香烟味道，住到第二天才散去，酒店应该保持窗户打开，避免这个情况出现。', '短评打分': 5}
{'短评内容': '比较方便，离火车站近，附近还有夜宵非常火爆。房间很大呢，就是没窗户，隔音不是很好，但不影响睡眠。特价房还算蛮划算。', '短评打分': 5}
{'短评内容': '地段比较方便，门口就是美食街！但是房间设施比较陈旧一点，其他还可以！！', '短评打分': 3}
{'短评内容': '帮朋友预订的，还不错', '短评打分': 3}
{'短评内容': '一般 宽带坏了 说修也没人来修 房间内烟味很重 隔音很差 房间内饰不好 ', '短评打分': 1}
{'短评内容': '条件蛮可以的，吃饭还方便，卫生也不错，服务人员较热情', '短评打分': 5}
{'短评内容': '挺好的，出门就是松江最好的美食街', '短评打分': 3}
{'短评内容': '很好。環境服務都好…', '短评打分': 3}
