{'短评内容': '诶诶诶诶诶诶诶i诶诶诶诶诶诶ieee额诶诶诶i诶诶诶', '短评打分': 1}
{'短评内容': '酒店位置在妙果寺正对面，去的话如果打车直接报妙果寺，司机就知道。交通极方便，门口就是公交车站，计有十九路公交车经过，温州火车站、温州南站、长途汽车南站，都可乘车直达。距五马街走路只要十几分钟，坐车两三站路。去江心屿也可以走路过去，两三公里的样子，打车不划算。\n酒店房间不大，设施还算不错，该有的都有。热水很好。空调极好，一开始温度设低了，结果夜里给冻醒……199的房价在连锁酒店里不算低，但考虑到位置', '短评打分': 5}
{'短评内容': '整体效果还可以，就是地面是地板砖如果有地毯就更好了。电话打长途贵了点，其它还可以。交通也挺方便的。', '短评打分': 5}
{'短评内容': '很安静，即使这次住了临街的房间，因为住在顶层，晚上入睡也很安静。抽时间去看了对面的妙果寺，第一次感觉到寺庙的无功利性，体会到佛的意境，喜欢。虽然妙果寺临街，但进到寺里，很安静，浮躁的心一下就静了，走出寺庙心中的烦恼一扫而光。', '短评打分': 5}
{'短评内容': '地理位置还不错，门口交通方便，房间挺宽敞的，门口招牌有点小，不容易找啊，地址应该直接写妙果寺对面，这样比较好找。', '短评打分': 5}
{'短评内容': '不错，住酒店我不是很挑剔，只要干净就行，锦江之星房间一直色调干净，虽然空间不大，另外水龙头水量充足，洗手间干净，就是枕头有点旧，有一个已经起球了。可以更换了。空调也很给力', '短评打分': 5}
{'短评内容': '位置比较好找，就在妙果寺对面。门前有公交车站，离五马街、中山公园公交车4站路的距离。还算比较安静。', '短评打分': 5}
{'短评内容': '    地理位置不错，就是房间有点小，而且靠马路房间很吵', '短评打分': 3}
{'短评内容': '地方还是不错滴，就是设备稍微旧了点。以后最好能重新装修过一下，那就完美了', '短评打分': 5}
{'短评内容': ' 房间靠马路，太吵，一晚上没睡好。', '短评打分': 3}
{'短评内容': '  已经是第二次入住了，住也就那么样，但是吃饭就成问题了，酒店只提供早餐，附近没吃的，这是最痛苦滴', '短评打分': 3}
{'短评内容': '环境还不错。离店手续也很方便. 整体感觉还行~', '短评打分': 5}
{'短评内容': '前台给了靠马路的房间，开了点窗，脚吵就像睡在马路上，不过对面有个寺庙，有个公园，还算不错，早餐也算实惠。', '短评打分': 5}
{'短评内容': '干净，整洁，交通方便，会再考虑，但不能停车', '短评打分': 5}
{'短评内容': '地理位置还不错 但房间太小 一个人住还可以 ', '短评打分': 5}
{'短评内容': '酒店还可以，就是价格有点高，早餐也要花钱', '短评打分': 5}
{'短评内容': '前台服务态度一般,但酒店的卫生条件还不错.', '短评打分': 5}
{'短评内容': '酒服务还可以，比较满意。出差的朋友可以选择一下', '短评打分': 5}
{'短评内容': '第一次入住，感觉还算干净。房间很小。卫生间还出现积水。洗澡特别不方便。', '短评打分': 3}
{'短评内容': '位置不错，吃饭不方便，不过是老牌子还是比较信任的', '短评打分': 5}
{'短评内容': '连锁酒店品牌，干净就行，呵呵，方便出差时住住。', '短评打分': 5}
{'短评内容': '环境还是不错的，床也比较舒服，淋浴不算方便，有点小，毛巾也比较旧了。', '短评打分': 3}
{'短评内容': '不错 跟上海的差不多 有无线上网 速度也挺快 有线上网也有不过我没带电脑用手机上的无线，路边，窗口望出去就是妙果寺~挺好的', '短评打分': 5}
{'短评内容': '还行吧，在温州市区可能这个价格就这样的房间吧，不过周边没有什么吃的是比较烦的事情', '短评打分': 5}
{'短评内容': '房间实在太吵。靠马路边', '短评打分': 3}
{'短评内容': '妙果寺对面，位置挺好，周边没有什么吃饭的地方 \n', '短评打分': 5}
{'短评内容': '住过很多次了，面向妙果寺的房间风景较好。其他朝向的房间就一般了', '短评打分': 5}
{'短评内容': '位置较好，房间一般，比较干净，早餐也不贵。', '短评打分': 5}
{'短评内容': '妙果寺对面，位置挺好，周边没有什么吃饭的地方', '短评打分': 5}
{'短评内容': '比较简单交通方便，电视机很普通只能收看到国内电视台', '短评打分': 5}
{'短评内容': '地理位置还可以，整体设施就不能说了，房间很小，两个人在里面都比较拥挤了，卫生条件较差，房间内的设施也一般般，应该不会再住了。', '短评打分': 1}
{'短评内容': '干净，整洁，但偏小，晚上靠路边有点吵', '短评打分': 3}
{'短评内容': '早上有些吵,連基本飲水都要用買的,有些小氣', '短评打分': 3}
{'短评内容': '位置很好找，条件都不错,一直都比较喜欢锦江之星的住宿条件。下次出差还会入住', '短评打分': 5}
{'短评内容': '还不错，离中心很近，卫生也不错。，，，，，，，，，', '短评打分': 5}
{'短评内容': '房间不错,比较大.就是临街的有点吵', '短评打分': 3}
{'短评内容': '刚进房间的时候有一股很重的味道，可能是房间刚刚打扫的缘故。早餐的品种很少，餐厅也小，可能是和这家店的规模成正比吧。其他地方都还可以。下次再去温州可能会考虑换个地方住。', '短评打分': 1}
{'短评内容': '交通比较方便  环境还行   卫生比较干净   ', '短评打分': 5}
{'短评内容': '不错，干净舒适环保，地段也不错，对面是妙果寺，只是楼下是Ktv，晚上有点吵。', '短评打分': 3}
{'短评内容': '住过不止一天，~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '尽管有段不愉快的经历，不过还是觉得相信他。', '短评打分': 5}
{'短评内容': '床上用品很舒适 就是靠的街面 晚上吵得简直睡不着觉  早餐也没有上次去了的另外一家锦江的丰富', '短评打分': 5}
{'短评内容': '住宿条件还好，价格也合适\n同样还是网络不行', '短评打分': 5}
{'短评内容': '在妙果寺的交通还算便利，只是店面有点小，差的找不到', '短评打分': 5}
{'短评内容': ' 酒店很干净，单人房也挺大，地段也好，服务也很不错。就是靠路的房间有点吵。', '短评打分': 3}
{'短评内容': '酒店很好，就是周围吃饭地方要走很远才有', '短评打分': 3}
{'短评内容': '非常非常一般酒店！不值得这个价格！锦江之星的价格，如家的设施！', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '太一般了。非常不值得推荐。出差过去想观光一下的可以去住。', '短评打分': 1}
{'短评内容': '酒店干净,价格实惠,位置在市中心,适合工薪消费.', '短评打分': 3}
{'短评内容': '位置还行  设施有点脏  下水管道还会堵\r\n晚上要加床被子都没有', '短评打分': 1}
{'短评内容': '感觉床单床被很多天未洗，使客户感觉不舒适。', '短评打分': 5}
{'短评内容': '房间比较小，卫生还可以的。不过没有早餐的，而且电话收费很贵，打了几分钟市话，居然收了5元钱，说是0.2元一分钟', '短评打分': 3}
{'短评内容': '房间很小，卫生还不错，不过没有早餐的，这样的性价比差了一点。而且居然没有叫车服务的。', '短评打分': 1}
{'短评内容': '房间很小，卫生还不错，不过没有早餐的，这样的性价比差了一点。而且居然没有叫车服务的。', '短评打分': 3}
{'短评内容': '交通方便，环境一般，性价比还是不错的。。。', '短评打分': 5}
{'短评内容': '性价比高，干净卫生！在温州这个地方，很难得了。', '短评打分': 5}
{'短评内容': '位置不错，但环境较闹，尤其是靠马路的房间有噪声。服务可，卫生较好，干净。适合驴友歇脚。此外，没有车位，泊车不便。', '短评打分': 5}
