{'短评内容': '房间太臭了', '短评打分': 1}
{'短评内容': '酒店没热水不及时通知，态度不好', '短评打分': 1}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '服务好！卫生好', '短评打分': 5}
{'短评内容': '马桶坏的 晚上很冷！最要命是没热水', '短评打分': 2}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '在北京来说，价格比较便宜。各方面配套也可以，总体不错，性价比比较高，因工作原因，经常到这里住，还可以吧。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '可以吧', '短评打分': 4}
{'短评内容': '条件一般，就是离中国音乐学院附中很近，且携程订便宜', '短评打分': 4}
{'短评内容': '特别好，前台服务很贴心！棒棒哒！值得入住', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '没什么可说的，价格实惠！', '短评打分': 5}
{'短评内容': '房间挺大，但是地点不好找', '短评打分': 4}
{'短评内容': '隔音效果很差；电视不仅频道少，而且每个台都很不清楚！不能刷卡！网线到晚上才说有，并且无法正常上网！！！拖鞋不是一次性的！', '短评打分': 1}
{'短评内容': '很不错的酒店。就是不提供一次性拖鞋。 房间外面隔音不好，老有人说话。 大部分都是旅行团包的房间，有时候一大群人说话比较吵。\n\n酒店最好限制下旅行团入住。漏水想换个房都没有合适的。', '短评打分': 5}
{'短评内容': '感觉不错～物美价廉应该把拖鞋换一次性的！其他都不错！', '短评打分': 5}
{'短评内容': '新开的 干净 价格优惠  不错  没有发票给看收据 ', '短评打分': 5}
{'短评内容': 'DP46＋住着还行，就是居然不能当场开发票要邮寄到公司着实叫人郁闷。', '短评打分': 5}
{'短评内容': '很不错，挺专业的，就是不太好找，还没窗户', '短评打分': 3}
