{'短评内容': '好好好好好好好好好吧', '短评打分': 5}
{'短评内容': '哦你一我工资执魔明星哦你你明明你名字我只能', '短评打分': 5}
{'短评内容': '位置很好，出行方便。酒店设施一般，但卫生不错。', '短评打分': 5}
{'短评内容': '蛮好的，近地铁站。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '商圈核心，出行方便', '短评打分': 5}
{'短评内容': '还不错   哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '很一般，还不如7天那种连锁酒店呢，一进去一股浓浓的霉味，该重新装修啦！', '短评打分': 3}
{'短评内容': '第二次住了，很好！！！！！', '短评打分': 5}
{'短评内容': '订酒店速度超慢，价格还是挺优惠', '短评打分': 4}
{'短评内容': '酒店非常好，位置核心，房间宽敞，设备齐全，很舒服！', '短评打分': 5}
{'短评内容': '可以，清净干净&hellip;&hellip;', '短评打分': 5}
{'短评内容': '酒店位置交通方便，同事说很好，下次来还住这里。', '短评打分': 5}
{'短评内容': '还算可以，就是空调不会用，怎么按都是制冷。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '比较近地铁站，还算方便。环境一般，装修应该是很久以前的，主要是灯的问题。很暗，比较黄色的灯。', '短评打分': 5}
{'短评内容': '不错不错，房宽敞上档次，价格适宜。', '短评打分': 5}
{'短评内容': '房间宽敞，上档次，住的舒服，价格适宜。', '短评打分': 5}
{'短评内容': '附件配套设施少，出水五分钟，才有热水。', '短评打分': 5}
{'短评内容': '酒店房间一般般，毕竟是老牌酒店了，住在靠马路一边还比较吵，早餐也不好吃。住高层需要转换电梯，觉得很麻烦。', '短评打分': 3}
{'短评内容': '房间很干净，而且浴巾什么的，都是新的，住那里特别的方便！！', '短评打分': 5}
{'短评内容': '可千万别去这家……整个房间昏暗，设施老旧，浴室也破到一定程度，房间特别潮湿……欧式豪华沙发和中式茶座……整体给人一种阴暗潮湿鬼森的感觉……因为匆忙未来得及仔细看点评才去的，现在都后悔', '短评打分': 2}
{'短评内容': '酒店有点旧，床还比较舒服。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '感觉还不错，交通方便。', '短评打分': 5}
{'短评内容': '房间一般般，但是早餐真心不错', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '住了两天，洗了两天一点都不热的热水。其他还好', '短评打分': 4}
{'短评内容': '老牌四星级酒店，设施比较陈旧，但价格还可以，主要还是离办事很近', '短评打分': 4}
{'短评内容': '老牌四星级酒店，设施比较陈旧，但价格还可以，主要还是离办事很近', '短评打分': 4}
{'短评内容': '自驾车车可以很快找到酒店，各项服务都很完善，效果很好，尤其是在假日期间得到京东快捷的连接和良好的酒店服务，感觉挺享受，下次还会光顾。谢谢！', '短评打分': 5}
{'短评内容': '还可以.不过最好不要押钱.', '短评打分': 4}
{'短评内容': '好非常好非常好非常好', '短评打分': 5}
{'短评内容': '好非常好非常好非常好', '短评打分': 5}
{'短评内容': '酒店还行，房间气味大，要开窗通风。', '短评打分': 5}
{'短评内容': '还不错，地理位置方便。', '短评打分': 4}
{'短评内容': '从机场做2号线大巴终点金湖广场下车，马路对过一抬头便看见了它，很方便。\n感觉挺干净的，早餐也不错！要说不足的话淋浴设施简单了一些。但是就其价格来说还是很不错的酒店。', '短评打分': 5}
{'短评内容': '客人指定要订的酒店，应该是觉得不错才指定的！', '短评打分': 5}
{'短评内容': '挺好的，交通方便，附近有几个大型购物商场，只是酒店里电梯不方便', '短评打分': 5}
{'短评内容': '酒店服务还行，就是晚上睡觉空调声音太大，根本无法入睡；另外浴室冲凉的水也不大，如果能改进这两点的话还是不错的', '短评打分': 5}
{'短评内容': '酒店早餐一般。', '短评打分': 3}
{'短评内容': '能不能在丰富的早餐的基础之上增加水果的数量和品种', '短评打分': 5}
{'短评内容': '离工作地点比较近，大厅很大，入住的是特价房，窗口蛮大的', '短评打分': 5}
{'短评内容': '本来预订五晚，只住两晚后退房，怎么看都不象四星级！改住圣展酒店。', '短评打分': 3}
{'短评内容': '服务以及宾馆设施还可以，装修稍微老气一些，可能毕竟是比较有一定积淀了，宽带免费。\n\n地理位置好，整体还不错。', '短评打分': 5}
{'短评内容': '早餐一如既往的给力，地理位置也不错，机场大巴就在金湖广场', '短评打分': 5}
{'短评内容': '房间不错，早餐也可以，就是停车位少了点。', '短评打分': 5}
{'短评内容': '形象比较好，公共区域够档次，客房足够大，设施也较好，卫生和服务较好，餐厅还可以。\n客房内按摩器、电脑都比较实用。不过电脑系统好像有木马，请网管查一下。\n\n总体不错，性价比高。', '短评打分': 5}
{'短评内容': '很好不错下次还住这里!.！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店又点旧，而且又贵。服务还不是很好，达不到四星的要求。', '短评打分': 1}
{'短评内容': '，房间可以就是仃车不方便', '短评打分': 3}
{'短评内容': '房间卫生极差,卫生间更脏,如此差的卫生怎可能四星,酒店经营者应是短期租赁经营吧?', '短评打分': 1}
{'短评内容': '帮朋友订的，朋友凌晨一点多才到店的，房间依然有保留！而且听说房间超大，赞一个！', '短评打分': 3}
{'短评内容': '这家酒店还可以，临近金湖广场，交通比较便利，房间也还不错，只是中央空调怎么就调不到暖气呀？降温的时候感觉有点冷。', '短评打分': 5}
{'短评内容': '早餐不错，地理位置也很好啊，周围一切生活设施齐全，很方便', '短评打分': 5}
{'短评内容': '位置比较偏远，酒店没有暖气，服务态度一般', '短评打分': 1}
{'短评内容': '很好  床很舒服  屋里还放了张按摩床  街对面就是机场大巴  很方便', '短评打分': 5}
{'短评内容': '位于五象广场附近，前面有下沉式购物中心。购物、吃饭挺方便。早餐品种也比较多。', '短评打分': 5}
{'短评内容': '酒店价位不错，就是大堂管理有问题，一直有人在大堂不能吸烟的牌子下吸烟也没人制止', '短评打分': 3}
{'短评内容': '位置很好，床垫有点软', '短评打分': 3}
{'短评内容': '地理位置很方便，后面有南宁著名的米粉店，粉之都,还有螺狮粉', '短评打分': 5}
{'短评内容': '挺好的，就是会议人员太多，早餐很丰富，吃的很好', '短评打分': 5}
{'短评内容': '比起价格并不理想，特别是早歺。吃早歺的人们意见都很大。', '短评打分': 1}
{'短评内容': '地理位置还是很不错的，在广场边上。周围打车也很方便。周边有大的购物商场。就是早餐太晚了，周六时7点半才有。', '短评打分': 5}
{'短评内容': '酒店的地理位置较好，但房间内硬件设施一般，', '短评打分': 5}
{'短评内容': '地段很好，离市中心很近，服务和卫生都很不错，价格也很优惠', '短评打分': 5}
{'短评内容': '在五象广场旁边，交通方便。房间较干净，去长途车站也不远。早餐还可以', '短评打分': 5}
{'短评内容': '不错，装修服务都比较好，下回还会入住，希望早餐更好些', '短评打分': 5}
{'短评内容': '装修的很有中国风，房间看起来很高档。性价比不错。', '短评打分': 5}
{'短评内容': '中规中矩的一个普通国内4星级酒店，位置很好，在五象广场边上，而且2-3楼是南宁书城，喜欢书的朋友就选择这里吧。酒店需要改进的地方：打开电视后比较容易看到煽情的付费三级片的广告，恐怕对儿童不宜；另外，早餐的时候推销书画，比较烦人。', '短评打分': 5}
{'短评内容': '还算不错，就是布置有点陈旧了，希望改善，服务不错', '短评打分': 5}
{'短评内容': '离五象广场最近的酒店，到这里办事最方便的选择，但是酒店有点旧了！', '短评打分': 5}
{'短评内容': '挺不错位置超好服务态度也很好', '短评打分': 3}
{'短评内容': '交通方便，很干净，但是早餐不行，需要改进。', '短评打分': 5}
{'短评内容': '服务质量不敢恭维，有敲诈住客之嫌，茶台放4瓶水，2瓶挂牌，2瓶未挂牌，四星酒店按理赠饮2瓶。结账时要收36元水费，住客投诉，经理在旁不吭声。住客要发票不敢写水费，是何道理？\n', '短评打分': 1}
{'短评内容': '位置不错, 房间很大. 只是这个价格房间内的配套设施少了点\n位置不错, 房间很大. 只是这个价格房间内的配套设施少了点\n', '短评打分': 5}
{'短评内容': '酒店的地段比较好，四星标准，我住的是288标间，不贵也不便宜，不过感觉比较陈旧些，应该是很多年了。·····················', '短评打分': 1}
