{'短评内容': '客栈位置很好，去哪玩都很方便，就在码头旁边', '短评打分': 5}
{'短评内容': '服务不错，就是没有纱窗，蚊子太多。。。', '短评打分': 5}
{'短评内容': '老板很热情 是一个私人的民宿 但是很干净 后面还有一个小院子  住的也很舒服 老板一家都很热情 而且是个小超市 买东西方便', '短评打分': 5}
{'短评内容': '房间很干净，老板人不错', '短评打分': 5}
{'短评内容': '订是六人间床位，因为只有我一个人，免费升级了单间，单间也是公共卫生间，房间不大，但很适合独自旅行的人住，wifi还不错，楼顶也不错，老板都很好，离龙头路夜市超级近。房间在二层，楼下的路边的声音会有点吵', '短评打分': 5}
{'短评内容': '很一般的酒店，和图片上比差太多，我不会在住院第二次了，不建议大家预定，携程官方难道对酒店都不去考察的吗？', '短评打分': 2}
{'短评内容': '一家不错的民宿，离三丘田码头挺近的，大概3分钟路程。老板人非常热情，刚订了房间就发微信指点路线，发了鼓浪屿的旅游攻略。住的房间挺大的，也非常干净。总之非常感谢老板热情的接待。', '短评打分': 5}
{'短评内容': '环境优美，老板服务周到，更有缘的居然他的儿子与我女儿同年同月同日出生。', '短评打分': 5}
{'短评内容': '老板很热情，房间干净，离三丘田码头很近，缺点就是房间太小，公卫。对要求不高的来说是个不错的选择。', '短评打分': 5}
{'短评内容': '老板人很好，之前买船票的码头离客栈比较远，老板大哥就让我们改了船票，岛上岔路特别多，老板大哥给了详细的路线，下船以后很快就找到了客栈，到了以后帮我们提行李，介绍了7个注意事项，为我们接下来的旅游扫清了很多障碍，晚上回来还有新鲜的桂圆吃，晾衣服也很方便，房间卫生也非常好，一次难忘的体验，有去鼓浪屿的朋友值得推荐这家店!!!', '短评打分': 5}
{'短评内容': '老板一家人超级NICE！环境好，卫生干净，一开始因为是公用卫生间还有点担心，但是到了之后看到超级干净，完全不担心！', '短评打分': 5}
{'短评内容': '服务非常热心，地理位置便利，值得推荐', '短评打分': 5}
{'短评内容': '这次帮朋友订，以前住过，老板人很好', '短评打分': 5}
{'短评内容': '客栈位置离三丘田码头很近但离龙头路又不远。老板人超好，订房前打了好多电话咨询，没有一点不耐烦，每次都仔细解答，订好之后马上打电话问我有没有买船票确定我入岛渡轮的时间，还告诉我那里天气、携带哪些必需品等注意事项，入住后告诉我们在岛上游玩时要注意的一些事情防止被骗，到和离开时都会主动帮忙搬行李。房间不像大酒店装饰，但收拾的很干净，二楼还有个小平台可是荡荡秋千、坐坐聊天，下次去还是会住那里！', '短评打分': 3}
{'短评内容': '还可以吧，干净，但是晚上阁楼里好像有老鼠，吵的睡不好觉。不过老板人蛮好', '短评打分': 3}
{'短评内容': '客栈的地址有一点难找，一定要打电话给老板问问怎么走，避免走冤枉路哦。不过老板很有责任心哦，会交代许多在岛上的注意事项。玩的很开心的。。。。。', '短评打分': 5}
{'短评内容': '店家很热情~很喜欢聊天，介绍了各种小吃以及道路，房间也很大~很整洁干净，美中不足就是在一楼。', '短评打分': 5}
{'短评内容': '老板真的很热情，有什么不知道的可以问，而且指路一绝，非常好，下次去鼓浪屿玩，还要定这家  非常感谢', '短评打分': 5}
{'短评内容': '订的时候心里有些担心，没有独卫的6平米房间会不会很小很不方便？但是住进来后发现房间很干净凉爽，光线也很足，公共卫生间就在外面也挺方便而且干净，网速真心不错哦，晚上跟刚认识的朋友在阳台上聊到凌晨，很开心~\n第一次去的时候不认识路绕好远，其实熟了之后还是很方便的~', '短评打分': 5}
{'短评内容': '店铺是老板自己的家，房间干净，无味，老板热情好客，去了之后住下有种回家的感觉，二楼有个平台，有桌椅，秋千，坐在秋千上还能看见大海，店铺位置不在人集中的地方，很安静，很舒服，离码头也不是很远，如果想细细感受鼓浪屿的点点滴滴，住这不会失望的，第一次给住过的店写评语，比较凌乱，但好不好，去了就知道。', '短评打分': 5}
{'短评内容': '很有爱的老板和老板娘，很正的天台……', '短评打分': 3}
{'短评内容': '老板人好好，阳光房一个人足够了，又干净，光线又好。', '短评打分': 5}
{'短评内容': '老板人很好，房间也很干净，位置不错，阳台上看的到海', '短评打分': 3}
{'短评内容': '元宿一般般，老板像传销的', '短评打分': 3}
{'短评内容': '一家很好的民宿酒店，老板一家人都挺好，一进去就有家的感觉，第一天还请我们吃了自家的鱼丸汤，很好，不亚于有名的原巷，还带我们去吃很划算的海鲜，离龙头路有点距离，但是很好，远离那边的繁华，很幽静 最喜欢那边的上下坡路 每个路口都想走一遍。下次一定还会来的 希望过不了多久，希望到时过去 老板还记得我们 哈哈', '短评打分': 5}
{'短评内容': '＋挺好的，简单舒服', '短评打分': 3}
{'短评内容': '价钱实惠，但房间是木板隔开的，隔音实在不太好，晚上都没睡好，隔壁走动的声音都听的一清二楚。', '短评打分': 1}
{'短评内容': '在老板的电话指引下，下船走十分钟就到了，房间挺干净的，价位也适中，只是床有点硬了，老板很热情，总体满意！', '短评打分': 3}
{'短评内容': '老板非常热情，有无线网络，地理位置也不错，离中心区域近，住宿时晚上比较幽静，感觉非常不错。但单人房为非套房，如果双人住要收50元加床费。感觉2楼房间设备略显简单。只有床及小床头柜（柜上放一煮水壶）。衣服东西没有地方放，只能放地下。如果国庆193价格还可以接受，平时的话可能会显贵。', '短评打分': 5}
