{'短评内容': '春节期间价格偏贵，淡季里来应该还不错', '短评打分': 4}
{'短评内容': '整体感觉很好', '短评打分': 5}
{'短评内容': '除了稍小，一切都很OK', '短评打分': 5}
{'短评内容': '位置不错，老板热情，送地图和早餐', '短评打分': 3}
{'短评内容': '房间很脏', '短评打分': 1}
{'短评内容': '特别好，老板也特别好', '短评打分': 5}
{'短评内容': '老板一家很客气，晚上还帮忙开了轮渡绿色通道', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '环境不错，老板也很热情', '短评打分': 5}
{'短评内容': '还行，老板很热情', '短评打分': 4}
{'短评内容': '地理位置在鼓浪屿算是很不错的了，到最繁华的龙头路仅需步行5分钟。出了酒店走几步就是非常有鼓浪屿特色的建筑群。总之去哪儿都方便。我们三个朋友定的阁楼家庭间，二层非常舒服，床也够大。相比之下一层床略小，空间略挤。不过以这个价位来说，算是超棒了。卫生间干湿分离，赞一个。', '短评打分': 4}
{'短评内容': '价格不贵，没有找到酒店，老板人很好还出来接我们，帮忙拎行李', '短评打分': 4}
{'短评内容': '很热情   问什么都会回答得很详细  因为第一次去地址有点难找  熟了就不会    总体来说不错', '短评打分': 5}
{'短评内容': '挺好的，下次如果有机會一定會再來，晚上空氣很好，????????', '短评打分': 5}
{'短评内容': '店家特别好，还帮我们拿箱子，环境也非常好，我们定的标准间，床很舒服，很大！很满意，客栈也不是很难找，打电话给店里会耐心指路！感觉很棒！', '短评打分': 5}
