{'短评内容': '整体还不错，比较实惠', '短评打分': 4}
{'短评内容': '很好，很干净', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好，很不错', '短评打分': 5}
{'短评内容': '好服务，好位置。', '短评打分': 5}
{'短评内容': '总体不错。房间有点太小，双床结果两床之间就一个拳头的距离。厕所地漏流水慢，洗一会地面就存水。隔音不太好，隔壁房间说话听的非常清楚。', '短评打分': 5}
{'短评内容': '             amazing', '短评打分': 5}
{'短评内容': '挺不错的酒店，来了几次了都挺满意', '短评打分': 5}
{'短评内容': '入住办理很快，房间很好', '短评打分': 5}
{'短评内容': '第二次住了，很不错的酒店。', '短评打分': 5}
{'短评内容': '干净舒适，交通便利，好评！', '短评打分': 5}
{'短评内容': '去年来就住过。挺不错！', '短评打分': 5}
{'短评内容': '京城米贵，去了就体会到了', '短评打分': 5}
{'短评内容': '酒店挺好的，刚好在母校旁边，很贴心，晚上到晚了，第二天可以晚点退房', '短评打分': 5}
{'短评内容': '总体来说还是物美价廉的，很满意，好评。', '短评打分': 5}
{'短评内容': '总体来说还是物美价廉的，很满意，好评。', '短评打分': 5}
{'短评内容': '总体来说还是物美价廉的，很满意，好评。', '短评打分': 5}
{'短评内容': '在这住了好多天，总体来说感觉还是非常满意的，前台的人员非常热情，服务态度真的很好，酒店备有一个自助餐厅，虽然吃的东西不太多，但是价格不贵，早餐20人一位。再说房间，一共住了好几个房间，有精品大床和雅致大床，房间不是很大，但是很温馨，也都挺干净的，2层的精品最满意，房间空间比5层的雅致还大一点，而且电视可以看乐视的各种节目啊，这个是最爽的，虽然5层和1层的雅致也是乐视的电视，但是系统不一样，是专门定制的，很多节目都看不了。5层的雅致家具是新的，还备有空气净化器，但没有窗户，所以决定甲醛的味道比较大，1层的雅致是最大的，有沙发，唯一的遗憾就是在电梯旁，早上略有一点吵，3层和4层的精品大床房感觉比较旧了，电视都是以前的款识，但都有窗户。总体来说还在物美价廉的，很满意，好评。', '短评打分': 5}
{'短评内容': '额，懒得拍照。本科在林大上学，特意选的这个地方。我真的怀疑店家是不是给我换房间了，雅致大床房在二楼？大床是两张小床拼成的一张大床，我有点醉。另外卫生间真的是挤，其他的还好。希望对得起主题酒店的名字。', '短评打分': 5}
{'短评内容': '位置比较好，不过价格有点贵，房间也不大，性价比不能算高', '短评打分': 5}
{'短评内容': '有点偏僻啊！而且早晨还是单行线不方便！不过服务不错挺干净！', '短评打分': 3}
{'短评内容': '还是挺不错的，离学校很近，服务态度不错，地理位置很好，重要是爸妈住着没毛病，太难见面了，所以很开心。', '短评打分': 5}
{'短评内容': '房间很小，设施一般，前台服务态度好', '短评打分': 4}
{'短评内容': '不错挺好的', '短评打分': 4}
{'短评内容': '地方很不错 感觉很棒', '短评打分': 5}
{'短评内容': '环境安静还可以', '短评打分': 5}
{'短评内容': '酒店很有特色，干净卫生，店家服务态度非常好，有宾至如归的感觉。', '短评打分': 5}
{'短评内容': '经常住 五道口喝多了可以去', '短评打分': 5}
{'短评内容': '位置有些偏远，但是酒店环境设施很明亮新颖，房间更是温馨，连住了3晚，离奥林匹克公园很近，下次再来还会推荐这里！', '短评打分': 5}
{'短评内容': '都还不错！', '短评打分': 5}
{'短评内容': '设施很智能 电控很酷 但是装修味太大了', '短评打分': 5}
