{'短评内容': '服务态度好，老板热情', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '老板超级好，很热情。青旅的位置很好找，下火车直接滴滴过去，而且这个位置离土司城超级近，走路几分钟就走到了。青旅里面的环境也很好，喜欢墙的颜色，很好看。虽然只有老板一个人，但是卫生什么的还是做的很好的。因为这次只有一天时间在景区，老板给我们安排了武陵源满满的行程刚好把著名的景点基本上都看一遍，去景区之前还给了我们很多建议。期待二刷的时候去天门山和大峡谷，哈哈。', '短评打分': 5}
{'短评内容': '老板超热心', '短评打分': 5}
{'短评内容': '在张家界这个价的性价比还是挺不错的，老板娘人很热心。就是位置有点偏，前台在二楼，热水、WIFI都挺好的，电视频道除了几个央视频道其余只有湖南台。酒店背后就是土司城，几分钟就到了，去市区打车也只要十多块钱。张家界的出租车司机、公交车司机都好坑，出租车会乱喊价，走弯路。最无语的是公交车司机，居然不喊站台，而且没到站就叫下了，明明所有的市内公交只要1块钱一人，看到我们是外地人居然要2块，真的是逮到一个就', '短评打分': 3}
{'短评内容': '깨끗한편. 저렴하고 전체적으로 나쁘지 않음.', '短评打分': 4}
{'短评内容': '是我在张家界最满意的旅馆，房间很干净，装修很温馨有一种家的感觉，爸妈都觉得很好，老板服务态度也很好。总之有朋友来我就推荐这家了', '短评打分': 5}
{'短评内容': '住宿条件很好，老板娘人很好，但是周边环境不怎么方便。', '短评打分': 4}
{'短评内容': '服务很好，价格不贵，挺值', '短评打分': 5}
{'短评内容': '很好，整洁、干净，适合自助背包游。到张家界的第一晚入住，第二天去森林公园交通也很方便。', '短评打分': 5}
{'短评内容': '已入住，房间很好，很满意', '短评打分': 3}
{'短评内容': '老板人不错~~朋友们第一次住青旅，喜欢的不得了~~\n老板帮我们联系了森林公园的纯玩团，价格合理，那个导游人也很好，认真负责，虽然没有什么油水可捞，还是很尽力的为我们讲解，很满意~~\n\n途牛客栈房间不多，但是都干净整洁，尤其是卫生间，淋浴的确很舒服~~\n总之，还是值得推荐的~~', '短评打分': 5}
{'短评内容': '酒店还可以 装修有点民族风 不错 老板人也很好 就是如果你要在途牛订汽车票去凤凰就要注意了 上了车才知道 我们的座位在最后一排 问了司机 才知道 在旅舍订票的 座位都是在最后的 只有在汽车站买票才是按号码的 ', '短评打分': 5}
{'短评内容': '舒适，老板热心', '短评打分': 3}
{'短评内容': '哈哈，在张家界，凤凰，一直选择途牛为根据地，有回家的感觉。。\n对了还想起来了li的宝贝，第一天来时见到过，一直在笑，看到谁都那么热情，开心，嘿嘿，只是后来没有见到，祝宝宝健康成长，天天开心的哦。', '短评打分': 5}
{'短评内容': '刚发现调价格了，呵呵。。。不过还是觉得很值得，下次去张家界还会入住途牛。哈哈\n\n', '短评打分': 5}
{'短评内容': '房间很干净，boss们超好，柴火，Mr.Li，嘿嘿\n老板们原来都是导游，对张家界很熟悉，建议有准备入住这家旅舍得朋友可以前往张家界时带一些旧的书或者衣物，老板们会因为你这有爱的行为减免5元房费，并把这些东西在积累到一定数量，送外湘西的贫困山区给孩子们，大赞有爱的旅舍\n支持', '短评打分': 5}
{'短评内容': '途牛还不错 老板人很好 也算干净 交通便利 门口有很多出租车经过的 ', '短评打分': 3}
{'短评内容': '旅馆新开的，还算不错，老板也很热情。就是价钱还是有点小贵哈，128就完美了', '短评打分': 5}
{'短评内容': '房间很干净，老板也很热情，可惜我们的房间靠马路，早上稍微有点吵，可以的话，最好不要订靠马路那边的房间', '短评打分': 5}
