{'短评内容': '条件不错，点个赞。', '短评打分': 5}
{'短评内容': '房间太小，卫生间太大，卫生间门一拉开能把房间门给盖住，奇葩设计。', '短评打分': 3}
{'短评内容': '没有吹风机？', '短评打分': 5}
{'短评内容': '服务不咋地而且很慢，酒店老了些，水龙头冷热不定，估计靠着火车站方便，室内物品简单。周围吃饭还算方便，交通便利', '短评打分': 3}
{'短评内容': '隔音不好，设施旧了。', '短评打分': 3}
{'短评内容': '出差一直住这里，真的很好。各方面都不错', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '住得舒坦！离北京西站特近，方便出行！', '短评打分': 5}
{'短评内容': '住得舒坦！离北京西站特近，方便出行！', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵或或或或', '短评打分': 5}
{'短评内容': '很好，价格合理', '短评打分': 5}
{'短评内容': '非常好的酒店。方便，就是前台服务差！', '短评打分': 5}
{'短评内容': '应该以后都不在来了，第一，网络根本用不了，二，热水就一点点，四星级啊！居然没有热水，三，空调居然都没有，那还算星级酒店吗？拜托，唯独好在床有点舒服，总之，差评！', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务态度一般 没有宾至如归的感觉 外卖送到楼上很麻烦', '短评打分': 4}
{'短评内容': '位置十分便利！就在车站对面！', '短评打分': 5}
{'短评内容': '酒店新装修过，硬件设施还不错，离北京西站很近，前台人员还是很礼貌的，但不热情，面无表情，感觉很生硬', '短评打分': 4}
{'短评内容': '酒店的位置特别热闹，住的还可以吧，可是早上退房太慢了，当时都有客人发货了，所以我就决定以后不住这个酒店了！', '短评打分': 3}
{'短评内容': '因为在火车站边上，周围吃的不大好，可选的不多，只有肯德基、吉野家之类的。食堂里面东西感觉档次一般，没肉，感觉吃不饱。地方不大好找，打车不大容易。', '短评打分': 5}
{'短评内容': '挺好的，不错', '短评打分': 5}
{'短评内容': '离西站近，出差方便', '短评打分': 4}
{'短评内容': '火车站旁不错的酒店', '短评打分': 4}
{'短评内容': '满意', '短评打分': 4}
{'短评内容': '还不错嘛！离火车站蛮近的！', '短评打分': 5}
{'短评内容': '为了回家坐高铁方便而选择在这，但周围环境真不敢恭维，酒店设施的确旧了点，服务态度倒还可以', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '入住時辦好入住手續才告知 馬桶停水 天啊 我是住酒店 不是借宿宿舍怎麼可能有這種事發生 大廳也在裝修', '短评打分': 3}
{'短评内容': '比较差 还有拿错门卡刷卡闯入的情况 幸亏锁了链条', '短评打分': 2}
{'短评内容': '酒店很不错，环境好设施也比较新。', '短评打分': 5}
{'短评内容': '还不错，下次还会光临。', '短评打分': 5}
{'短评内容': '还不错，下次还会光临。', '短评打分': 5}
{'短评内容': '在西客站北广场对面，坐火车非常方便。四星级酒店，服务规范。不足是床垫偏软，第二天腰痛。', '短评打分': 5}
{'短评内容': '升级房间之后性价比很好，之前就住过，喜欢~', '短评打分': 5}
{'短评内容': '酒店设施还行，关键是离西客站近，就在对面', '短评打分': 5}
{'短评内容': '地理位置好，服务员很热情。', '短评打分': 5}
{'短评内容': '酒店就在火车站对面，地理位置好，服务员热情，酒店房间较大，就是装修有点老了。', '短评打分': 4}
{'短评内容': ' 酒店就在火车站对面，非常方便，周围吃的东西很多，酒店房间很干净，设施非常齐全，唯一不足可能就是装修有点老了。', '短评打分': 3}
{'短评内容': '还行，服务员有问必答。\n环境可以接受，有个别方面稍微暗点，商务房稍微小点，光线还可以', '短评打分': 5}
{'短评内容': '还不错，只是周边有点乱，方便公交，不好打出租车', '短评打分': 5}
{'短评内容': '酒店的位置很好。对于坐火车经常往返北京的商务人士，还是很方便的。而且即便短时休息，酒店大堂后面的茶座可以无线上网。\n不便的地方，是房间取电只能用房卡，对于需要对电脑、手机充电的人来讲，有点不舒服。希望酒店能改进。', '短评打分': 5}
{'短评内容': '对于坐火车往返北京的商务人士来说，酒店的位置确实很方便。即便不在酒店住，酒店大堂后面的茶社也可以休息，还能无线上网。\n现在感到不便的是，酒店房间取电必须用房卡，多要张取电卡都很难。对于需要在房间对电脑、手机充电的人来讲，确有不便之处。希望酒店能够改进！', '短评打分': 5}
{'短评内容': '房间内的硬件不错,服务态度更好,我住的几天里有一天生日,酒店送蛋糕给我,感谢他们.', '短评打分': 5}
{'短评内容': '酒店环境不错，闹中取静，免费停车位充足。', '短评打分': 3}
{'短评内容': '也就是占着一个离西客站近的优点，其实这样价格水平的酒店在西三环或北三环，300左右足足有余了。', '短评打分': 1}
{'短评内容': '性价比太差，唯一好处就是离西客站近，其他的就谈不上有什么好了', '短评打分': 1}
{'短评内容': ' 酒店环境还行，离火车站非常近，但是浴缸居然下不了水！空调也不给力，半天都不凉，东西都有点旧了', '短评打分': 3}
