{'descr': '很不错！！房间舒服干净！：）老板娘人也很友善：）', 'star': 5}
{'descr': '。 方便快捷客服很好', 'star': 3}
{'descr': '。 方便快捷客服很好', 'star': 3}
{'descr': '卫生实在有待提高呀。其他还好  卫生实在有待提高呀。其他还好', 'star': 5}
{'descr': '房东很和蔼，地道火炕，很温馨。干净舒适。', 'star': 5}
{'descr': '一房间干净，但较小，床和被子很舒服，电视机太小，21寸的，早餐品种较少。', 'star': 3}
{'descr': '一房间干净，但较小，床和被子很舒服，电视机太小，21寸的，早餐品种较少。', 'star': 3}
{'descr': '写字台和床头都有网线，非常人性化的设计。。。赞一个。。。\n', 'star': 5}
{'descr': '写字台和床头都有网线，非常人性化的设计。。。赞一个。。。\n', 'star': 5}
{'descr': '附近有漕宝购物中心，EMART，吃饭购物都很方便，往地铁站方向还有很多小吃店。。。\n', 'star': 5}
{'descr': '附近有漕宝购物中心，EMART，吃饭购物都很方便，往地铁站方向还有很多小吃店。。。\n', 'star': 5}
{'descr': '交通很方便，离地铁口和高架桥都很近。。打车到虹桥三十来块钱吧。。\n前台服务很热情。。。\n就是早餐。。。太简单了点。。。', 'star': 5}
{'descr': '交通很方便，离地铁口和高架桥都很近。。打车到虹桥三十来块钱吧。。\n前台服务很热情。。。\n就是早餐。。。太简单了点。。。', 'star': 5}
{'descr': '\xa0酒店地理位置特别好，附近公交站和地铁口（星中路站）都非常近，适合旅游时入住，交通非常便利；价位吗，适中；就是高级大床都不送早餐...', 'star': 5}
{'descr': '\xa0酒店地理位置特别好，附近公交站和地铁口（星中路站）都非常近，适合旅游时入住，交通非常便利；价位吗，适中；就是高级大床都不送早餐...', 'star': 5}
{'descr': '很新的酒店，汉庭的标准配置。位置不错，离地铁口很近。出门左转走不远，就很多吃饭的地方。', 'star': 5}
{'descr': '很新的酒店，汉庭的标准配置。位置不错，离地铁口很近。出门左转走不远，就很多吃饭的地方。', 'star': 5}
{'descr': ' 很干净 态度满差的', 'star': 3}
{'descr': ' 很干净 态度满差的', 'star': 3}
{'descr': '国庆期间在这个酒店住了3个晚上的100员特价房，除了入住登记时出现酒店把我的订单删除，导致需要重新订房外。酒店环境和服务都很不错，住得很舒服。下次有机会一定再来！', 'star': 5}
{'descr': '国庆期间在这个酒店住了3个晚上的100员特价房，除了入住登记时出现酒店把我的订单删除，导致需要重新订房外。酒店环境和服务都很不错，住得很舒服。下次有机会一定再来！', 'star': 5}
