{'短评内容': '环境很好，也很安静', '短评打分': 5}
{'短评内容': '温泉很好！！', '短评打分': 5}
{'短评内容': '山景房带池，房间陈旧，早餐品种少，服务员没有以前好。', '短评打分': 3}
{'短评内容': '环境漂亮泡池舒适', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '总体还好，但服务方面还是可以再提升一下', '短评打分': 5}
{'短评内容': '标准房，两张床并在一起的，可以不用加床。但性价比很低。没有周边温泉的折扣票，早餐也很一般', '短评打分': 5}
{'短评内容': '很一搬,不值这价格,以后不去了.', '短评打分': 3}
{'短评内容': '太棒了，第一次泡温泉就选了这家，房间里面带泳池的，效果真不错，足足泡了三次，自助早餐也很丰盛，还有2楼的康乐区也不错，明年一定带宝宝一起来！', '短评打分': 5}
{'短评内容': '预定速度很快！服务也很好！', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '服务很好，很热情。', '短评打分': 5}
{'短评内容': '环境很好。都还不错', '短评打分': 5}
{'短评内容': '非常舒适，很愉快的体验', '短评打分': 5}
{'短评内容': '环境非常不错，空气清新，房间也很干净，一大早还有亲子活动，大人小孩玩的都很开心。', '短评打分': 5}
{'短评内容': '酒店房间不错，阳台有一个泡温泉的池子，很喜欢', '短评打分': 5}
{'短评内容': '服务员素质值得点赞', '短评打分': 5}
{'短评内容': '环境优美，服务态度非常好，下次再来。', '短评打分': 5}
{'短评内容': '真不知道这么多的好评怎么来的，订的是豪华山景房带泡池的，泡池在房间里，用一个纱帘区分，湿汽会进到房间对人体不好，所以虽然泉水全天供应，但我们只能中午匆忙泡好让它吹吹干，中午12点前也是不能入住的，说是没有打扫好，其实房间好多的空着， 房间里的wifi信号很差，我叫了总台过来看，他说打不开邮箱的附件不是他们的信号问题，没办法，我只能用我的移动网络，附件就打开了。哎～我也是醉了。  还要吐槽的是这边的', '短评打分': 3}
