{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '维也纳酒店是我同事出差深圳的首选酒店', '短评打分': 5}
{'短评内容': '.摸JJ擦擦擦阿克琉克厉害', '短评打分': 5}
{'短评内容': '要不是不能退，早退了，订了行政的结果是隔壁栋，还是低楼层，实在吵，房间空调不能用，被子还很薄，还要我400多一晚，早餐实在差！碗还没洗干净！第一次住400多的让我印象这么差！！！！连200都不值！！！不建议！！！', '短评打分': 3}
{'短评内容': '酒店在华南城里面，周边各种饭店、卡拉OK、按摩养生一应俱全。对出来出差旅游的人来说是非常方便的地方。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错，下次还会选择', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '环境好、服务好、到时有通知', '短评打分': 5}
{'短评内容': '深圳出差住的，不过感觉京东上订房间不是很靠谱，前台登记的时候前台竟然嘀咕不知道京东还能订房，非要我把订单打开给他看。然后说是第三方订的房间', '短评打分': 1}
{'短评内容': '赞赞赞赞赞赞赞', '短评打分': 5}
{'短评内容': '赞赞赞赞赞赞赞', '短评打分': 5}
{'短评内容': '非常好。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，第一次使用京东订酒店', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '拍私房的，环境还可以。', '短评打分': 5}
{'短评内容': '不错，就是声音太吵了', '短评打分': 5}
{'短评内容': '很干净大气，服务也好', '短评打分': 5}
{'短评内容': '很好很好', '短评打分': 5}
{'短评内容': '很好很好', '短评打分': 5}
{'短评内容': '公司在这附近，给客人订了几次了。', '短评打分': 5}
{'短评内容': '环境不错，比较整洁赶紧，服务很好', '短评打分': 4}
{'短评内容': '一般。。。。', '短评打分': 4}
{'短评内容': '华南城这边的首选吧，周边很多吃的', '短评打分': 4}
{'短评内容': '整体可以接受', '短评打分': 3}
{'短评内容': '酒店很舒服，各方面都不错。', '短评打分': 4}
{'短评内容': '价格贵了点，环境还不错；价格贵了点，环境还不错', '短评打分': 5}
{'短评内容': '酒店整体还可以，就是浴室的水龙头出水不够大，觉得先得不是很舒服。', '短评打分': 5}
{'短评内容': '环境非常好，虽然特价房靠近KTV，但是根本没想象中的吵，推荐大家入住', '短评打分': 5}
{'短评内容': '感觉性价比不高。', '短评打分': 3}
{'短评内容': '性价比很高\n\n酒店设施很好\n\n下次还会来的 ', '短评打分': 5}
{'短评内容': '前台服务态度有待改进。\n早餐内容每天一样，缺少花样。\n房间请打扫干净，头发满地。\n下水堵塞。\n', '短评打分': 5}
{'短评内容': '服务态度好、客房就是有点旧。\n希望清洗地毯。\n早餐不够丰富 热品少。\n', '短评打分': 5}
{'短评内容': '淋浴房底部有缝隙，洗澡的时候水会外流，搞的洗手间里满地是水，还流到地毯上去了，希望能够改进......................................................................', '短评打分': 5}
{'短评内容': '服务周到，早餐比较单调。\n房间打扫不彻底。\n', '短评打分': 5}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '酒店价格贵，门前黑车多要价高，与门童串通好欺骗客人，小心了。', '短评打分': 5}
{'短评内容': '酒店不错的，但是价格没有竞争力。太贵了！门前交通不是很方便，出租车很难叫到，但是黑车还是很多的。', '短评打分': 1}
{'短评内容': 'OKkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk', '短评打分': 5}
{'短评内容': '靠近公司，配置还OK，就是人员的服务素质还望提高。', '短评打分': 5}
{'短评内容': '十', '短评打分': 3}
{'短评内容': '很好，无论是环境还是服务，都很不错，我们都很喜欢！', '短评打分': 5}
{'短评内容': '我的客人又来深圳了，他们还选择华丽城，不错的服务和环境。', '短评打分': 5}
{'短评内容': '总体环境服务不错,只是位置有点离深圳市中心有点远.价格相对有点贵吧', '短评打分': 5}
{'短评内容': '很新的酒店，一切都不错，很满意。值得推荐的酒店。', '短评打分': 5}
{'短评内容': '环境很不错，我客人超喜欢！下次来深圳还会再住华丽城！', '短评打分': 5}
{'短评内容': '环境很好，我客人很喜欢！下次来深圳还会再住华丽城！', '短评打分': 5}
{'短评内容': 'The only 4 star hotel in PingHu. a good hotel.', '短评打分': 5}
{'短评内容': '平湖最好的酒店了, 都住了好多年. 俺们的同事都喜欢住.', '短评打分': 5}
{'短评内容': '酒店很新 环境好 交通便利 服务良好 早餐不错 装修考究', '短评打分': 5}
{'短评内容': '分两个楼,新的比较好,设施齐全,整体服务好,建议入住', '短评打分': 5}
{'短评内容': '酒店位置不是很好，出租难以叫到，只好用“黑车”了，费用也不低啊。但是酒店的早餐还是不错的。', '短评打分': 3}
{'短评内容': '这家酒店几乎是平湖最好的酒店了，不足之处是位置略为偏一点，不方便交出租车。好像酒店的价格也略高一些。', '短评打分': 5}
{'短评内容': '位置偏僻,交通不便,服務尚可,除非辦事,不建議住!', '短评打分': 5}
{'短评内容': '真的蛮不错的,位置虽然没有在中心,性价比很高', '短评打分': 3}
{'短评内容': '在龙岗区范围内，尤其是平湖，酒店的性价比优于其他酒店很多，', '短评打分': 5}
{'短评内容': '给人的感觉蛮好', '短评打分': 5}
