{'短评内容': '一般的旅馆，不过老板服务蛮好，别的就一般般', '短评打分': 3}
{'短评内容': '位置在景区里，卫生服务有待提高，总体还值得推荐。', '短评打分': 4}
{'短评内容': '地理位置很棒，房间也不错。老板人很好', '短评打分': 5}
{'短评内容': '位置不错，风格也很棒。女朋友很喜欢。', '短评打分': 5}
{'短评内容': '32个赞，老婆很喜欢酒店的风格。特色且舒服。', '短评打分': 5}
{'短评内容': '服务非常上心，而且老板非常热心，很周到，非常方便', '短评打分': 5}
{'短评内容': '老板很好，出来接了，逛迷路了网又连不上也二话不说出来接了。房间很漂亮窗很大，可惜清明都在下雨没享受到阳光照在床上。沐浴露和洗发水都是大瓶的放在柜子里，房间很大很干净，客栈也很安静，下次来还会选这里。', '短评打分': 5}
{'短评内容': '老板跟热情，而且酒店位置很不错，闹中取静，还有一个小院子，安逸，房间中式装修很舒服！打车到沈厅后门很近', '短评打分': 5}
{'短评内容': '一般的酒店。', '短评打分': 3}
{'短评内容': '老板人很好呀，过来接并且帮忙提箱子，来的时候正是旺季并且大暑，天色热的没话说，晚上住在这里却很开心。因为没有双床了，老板换到了二楼的大床和榻榻米，弟弟非常开心。原本打算第二天就走的，太喜欢周庄，又多留了一天。没写过评论，谢谢老板哦。', '短评打分': 5}
{'短评内容': '在周庄景区里面。老板人很好，免费早餐很给力。晚上可以拿着老板名片到名字相同的红庭消费可打8.5折。', '短评打分': 5}
{'短评内容': '国庆出行入住该客栈，客栈位于景区内，小院质朴但过于简单，房间布局还好，服务中规中矩，客栈老板很人文很豪爽，相信重新规划后的客栈新形象新格调。', '短评打分': 4}
