{'短评内容': '还不错很安静', '短评打分': 5}
{'短评内容': '订的时候只有标间了，稍微有点偏，紧挨着浣溪锦里酒店，但环境很安静，房间也没有一些评价说的有虫虫啥的卫生问题吖……床头没有充电板不是很方便。成都在枫叶落满地的时节真的别样的美，可惜这次是来考试没时间去看看。好评！', '短评打分': 5}
{'短评内容': '这里还可以', '短评打分': 5}
{'短评内容': '我很喜欢百时快捷酒店，是锦江之星旗下的品牌，但是性价比确很高，单人房也是可以睡两个人的，就是这个酒店离公交站点有点远，站点有去各个景点的公交车', '短评打分': 5}
{'短评内容': '不得不说房间很小非常小特别小，性价比不高，单人房就真的只是单人房，行李箱大一点都不好放进去。酒店卫生一般，房间打扫只是给你铺下床而已，连续住多天的话是不会更换床单被单的，只在退房时才更换。酒店不是二十四小时热水，只有晚上有，并且晚上的水也不热，只能算是较温的。值得一提的是酒店空调还可以，升温制热很快，虽然噪音极其大。房间隔音性不好，隔壁那对晚上两小时的运动，我全听见了，怪尴尬的。', '短评打分': 1}
{'短评内容': '经常来这家店，一个人住着自在舒服，不需要多大多宽的房间，挺合适', '短评打分': 5}
{'短评内容': '房间不大，10多平米左右，将就住住还行，床头没插座，我的天，我等低头族很难受', '短评打分': 5}
{'短评内容': '不推荐，价格贵，床小的不行，一开厕所门嗝吱响', '短评打分': 5}
{'短评内容': '不错，去了还给调整原来的房间', '短评打分': 5}
{'短评内容': '卫生，干净，不错', '短评打分': 4}
{'短评内容': '房间较小，一人住合适', '短评打分': 4}
{'短评内容': '地方有点偏，不过在市中心价格还是比较实惠', '短评打分': 4}
{'短评内容': '环境不错 干净', '短评打分': 5}
{'短评内容': '酒店房间很干净，也很安静，服务很好', '短评打分': 5}
{'短评内容': '好对来说这个价位非常的不错了', '短评打分': 5}
{'短评内容': '为乘坐简途巴士搜出来的，离百花潭公园西门上车地点很近。房间小，床小，但很安静，在巷子中的一个院子里，同院还有锦江之星，网上订时锦江无双人房。选附近的百时，没想到在一个院里，这个价可订不住锦江的同档房。', '短评打分': 4}
{'短评内容': '住了很多次 很好。。。。', '短评打分': 3}
{'短评内容': '环境挺好、安静，总体感觉不错，下次还选择这里。', '短评打分': 5}
{'短评内容': '杜甫草堂近，很近，附近还有省博物馆', '短评打分': 3}
