{'短评内容': '周末停车还可以。', '短评打分': 3}
{'短评内容': '收拾速度慢。', '短评打分': 4}
{'短评内容': '前台姐姐服务态度很好呢，咨询好多问题都很耐心的回答了，房间配套很齐全', '短评打分': 5}
{'短评内容': '周边吃的东西多', '短评打分': 5}
{'短评内容': '床应该是1.35的，不错，周边交通很方便', '短评打分': 5}
{'短评内容': '住了好几天特别吵，一直在装修，就在隔壁，早上8点就开始，像这种房就不应该开，或者开之前跟入住客人讲，', '短评打分': 3}
{'短评内容': '太吵了，不隔音房间', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '感觉东莞的住宿也不算便宜，这家七天性价比不错，除了定的便宜房型没有洗漱用品之外其他都很不错，周围出行方便，吃喝也都有，推荐入住', '短评打分': 5}
{'短评内容': '感觉东莞的住宿也不算便宜，这家七天性价比不错，除了定的便宜房型没有洗漱用品之外其他都很不错，周围出行方便，吃喝也都有，挺不错的', '短评打分': 5}
{'短评内容': '交通可以，房间隔音不好', '短评打分': 4}
{'短评内容': '酒店服务不错', '短评打分': 4}
{'短评内容': '很过分捶捶背你家宝宝哈哈呀呀呀女光棍发热体还回家', '短评打分': 5}
{'短评内容': '床很舒服，挺好的。地理位置也很好啊！', '短评打分': 3}
{'短评内容': '早餐不太丰富，喝的只有白粥', '短评打分': 4}
