{'短评内容': '服务很好，赞', '短评打分': 5}
{'短评内容': '很很一般，旺季没办法，平时就不推荐了', '短评打分': 3}
{'短评内容': '内部装修简约时尚，床很软，周边交通还算便利，走几步就到海边', '短评打分': 5}
{'短评内容': '酒店位置不错，交通方便.房间卫生，推荐', '短评打分': 5}
{'短评内容': '房间设施不适合住宿', '短评打分': 3}
{'短评内容': '一个好地方', '短评打分': 5}
{'短评内容': '隔音效果非常不好，床铺挺大挺软，卫生还可以', '短评打分': 4}
{'短评内容': '很干净，服务好！', '短评打分': 5}
{'短评内容': '还不错了。', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '还不错性价比很高，房间有点冷，其他还可以', '短评打分': 4}
{'短评内容': '真心有种招待所的感觉。可能是年数久了…太破旧', '短评打分': 1}
{'短评内容': '还行吧就是没习惯床，里面还有个小房间可以打牌。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '服务很到位，赞一个，环境也很好', '短评打分': 5}
{'短评内容': '即如即往的喜欢！，每次来厦门出差都是住这里！', '短评打分': 5}
{'短评内容': '地方真的是很小，但是该有的都有。。拖鞋真的是很难受，穿上脚痛的厉害。。感觉这个价位有点贵。。', '短评打分': 1}
{'短评内容': '房间有点显得挤。房价有点小贵，不过服务态度很好，', '短评打分': 1}
{'短评内容': '事先预定了房间，晚上9点多过去，房间卫生还没有打扫，服务员反应偏慢，但房间体验还不错', '短评打分': 3}
{'短评内容': '酒店位置不错 房间装修也很棒 干净 舒适 下次还会选择！', '短评打分': 3}
{'短评内容': '整体感觉不错，房间舒适干净，服务态度也还可以，交通不太方便，蛮有情趣的。', '短评打分': 5}
{'短评内容': '酒店很干净，现代休闲的风格我很喜欢。特别是大堂白天的时候玻璃罩上会有水，光影打在室内很有灵动感觉。房间很宽敞，特别是淋浴洁具很舒服～虽然距离轮渡码头很远，可是很清幽，一出去就是海边，超爽，度假比选此处！', '短评打分': 5}
{'短评内容': 'DP05 住的圆床房 房间还可以 空调半夜会停掉的直接热醒 到六点才开 特马的', '短评打分': 3}
{'短评内容': '房间很好  重要的是前台的人员服务也很好  还帮我们提行李寄存    前一天 因为刮台风 以为被困鼓浪屿  所以取消了主题房  后来又没台风了   后来去订就只有小的了   不过小的也不错的  ', '短评打分': 5}
{'短评内容': '酒店地点还可以，服务也挺好的，房间很干净，每个房间的风格都不一样，可以选择自己喜欢的，挺有个性的。', '短评打分': 5}
{'短评内容': '性价比还可以 值这个价格 下次来厦门还会住的 很有情趣', '短评打分': 5}
{'短评内容': '要是能便宜一点就好了  觉得太贵了。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '离旅游景点远了点，宽带上网的步骤极其繁琐而且无用。比较干净整洁，该有的全都有了。PS：酒店所谓的按摩拖鞋穿起来真得很硬很疼，还是换了吧。', '短评打分': 1}
{'短评内容': '还不错，五一住的，不知道平时便宜些吗？', '短评打分': 3}
{'短评内容': '特色房很特别，很喜欢。，唯一的遗憾是只尝试了一种房间的风格。', '短评打分': 5}
{'短评内容': '設備還不錯啊真的  地段好 安靜 舒服 有好吃的果汁和生蠔街 服務也不錯 一定再來', '短评打分': 5}
{'短评内容': '还是挺不错的，房间很精致，很舒服，就是感觉前台服务员态度不太让人满意~', '短评打分': 5}
{'短评内容': '不错的小酒店，房间有点特色！挺好的！', '短评打分': 3}
{'短评内容': '首先交通不是很方便，离开轮渡非常之远呐！对于来旅游的人来说出行不便是十分糟糕滴事情。好在环境还算不错，貌似是最近才新开的，还算干净，好像厦门市区的酒店环境都还过得去，比起鼓浪屿的稍好一点。不过相对于房价来说贵了不是一点点，200多还差不多。', '短评打分': 1}
{'短评内容': '酒店还不错，满新的，', '短评打分': 3}
{'短评内容': ' 什么酒店了简直是大白天打劫无言，在此提醒外出的朋友主酒店千万不要被照片吸引了，我就是例子，外出时要找星级酒店起码有保障。', '短评打分': 3}
{'短评内容': '优点：与我的哥们儿家很近，我们见面方便了。房间干净。\n缺点：临街的房间夜里会很吵，有大型车从窗下通过。没有早餐。价格不低。\n总体上它是个比较有特色的快捷酒店，处闹市，如果你是出差，则推荐给你。如果是自己掏腰包则建议找个更有性价比的酒店了。', '短评打分': 5}
{'短评内容': '网上图片忽悠人，很美，到店后发现那个门面和前台比一个100来元的小旅馆还迷你。一进房间，房间好小，有点异味，那个木地板就给人有种不是很干净的感觉。淋浴房一洗，就会水漫金山。因为是街边，虽然是5楼但是还是有些吵。已接近400元的价钱来说，完全可以住刚好的酒店。性价比不高。', '短评打分': 1}
{'短评内容': '大床还是圆的不错，住的也很舒服，设施不错。喜欢', '短评打分': 5}
{'短评内容': '还可以，但是为什么不可以刷卡！', '短评打分': 3}
{'短评内容': '还算不错的一家酒店，除了不能刷卡其他都还不错', '短评打分': 5}
{'短评内容': '很有特色 每个房间风格不一 服务也很热情', '短评打分': 5}
{'短评内容': '很不错的一家酒店 每间房有特有风格 服务也很热情', '短评打分': 5}
{'短评内容': '地段超好...房间比预期小了些，不过总体感觉还是不错的，下次还会再去...', '短评打分': 5}
{'短评内容': '很精致，不愧是精品！酒店周围也有很多小吃，旁边就是煎蟹一条街，下次去还住这里！', '短评打分': 5}
{'短评内容': '房間很有氣氛,另外旁邊就是巴士站,出遊也很方便~~\n不過不好之處就是樓層低,夜晚有時會有點嘈,其他大致不錯', '短评打分': 5}
{'短评内容': '都市精品酒店房间非常有特色', '短评打分': 3}
{'短评内容': '不能刷卡，没发票，。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '本来以为会挺难找的，不过还算是蛮顺利的就找到了，但是那个门店好像还算小了点，如果没认真看可能还真的会错过呢。总的感觉还行，就是房间选的靠路边了，有点吵，房间的电脑不是很好，电视也不是那么好用，不过还算不错吧，还有小冰箱，设备什么的都还蛮齐全的，都还可以不吧。。而且附近吃的也还蛮多的，\\(^o^)/~', '短评打分': 5}
{'短评内容': '不错，我住的是叫梦幻几何的8502房，图片跟实际几乎是一样，还有很多不同个性主题房间，每间颜色都不一样，最后才选了502房，颜色比较白，感觉比较干净，我还喜欢8401那间叫什么冰之童话，也不错，给个好评。下次到厦门还会煮住这家。', '短评打分': 5}
{'短评内容': '这家酒店比我想象的要漂亮，到酒店后有很多不同名字的房间让我挑，最后眼都挑花了。哈哈，只好让服务员帮忙！！嘿嘿，这次住的是大床，下次我想可以考虑住住圆床的，看上去不错，那边的服务员态度还不错，值得向大家推荐！', '短评打分': 5}
