{'短评内容': '可以的，好像哈姆', '短评打分': 5}
{'短评内容': '勉强可以吧', '短评打分': 5}
{'短评内容': '很干净 很舒服，但是感觉被套有点旧，离南屏街很近，逛街吃饭很方便', '短评打分': 5}
{'短评内容': '都非常一般', '短评打分': 1}
{'短评内容': '周围交通吃东西很方便', '短评打分': 3}
{'短评内容': '房间小，吵，没有停车位', '短评打分': 2}
{'短评内容': '算是闹中取静，附近吃东西的地方比较多，房间还算整洁，缺点是没电梯，行李多的不要住高楼层。', '短评打分': 4}
{'短评内容': '非常好！很满意', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '房间太小，精品当中的精品哦，该从新装修了。', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '家庭出游人多，住得挺好', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '一般 服务态度不太好', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '有点坑爹…房间连喝的水都没有…在经济引用是要有的啊…', '短评打分': 3}
{'短评内容': '很吵 没有热水 价钱贵 网络不能用 隔音差 ', '短评打分': 1}
