{'短评内容': '房间设施比较旧，距周边小区近', '短评打分': 3}
{'短评内容': '服务热情', '短评打分': 5}
{'短评内容': '环境幽静。', '短评打分': 5}
{'短评内容': '价格比其他的网站便宜，房间还不错，快捷酒店都差不多', '短评打分': 5}
{'短评内容': '环境不错。服务好', '短评打分': 5}
{'短评内容': '环境不错。服务也好', '短评打分': 5}
{'短评内容': '酒店环境不错~~~~~~', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '可以接受', '短评打分': 4}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '条件简陋，环境噪声太大', '短评打分': 2}
{'短评内容': '挺好。', '短评打分': 5}
{'短评内容': '服务态度非常好，价格合理，昨晚洗澡没有拖鞋，今晚说了下就立马多送了两双！环境也不错！', '短评打分': 5}
{'短评内容': '缺少一双洗澡的拖鞋，冬天赤脚洗澡太冷了，多放双洗澡拖鞋不会增加很多成本吧？', '短评打分': 4}
{'短评内容': '整体都不错，就是发票上没给我打印公司抬头', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店还可以，就是没wifi', '短评打分': 5}
{'短评内容': '旅行外出住宿都很适合，房间很大，干净，床睡着很舒服。卫生间的淋浴房小了点，只适合一个人洗，用浴帘水还是会溅出来，个人建议还是用玻璃门！住下来总体还是很满意！希望再接再厉更好的为更多的人服务！', '短评打分': 5}
{'短评内容': '去的时候晚了点，服务不错，价格便宜，位置也很好，方便', '短评打分': 5}
{'短评内容': '交通方便，离火车在挺近的，打车10块钱以内。唯一不方便的是，周边没什么吃饭的地方。', '短评打分': 5}
{'短评内容': '特惠房间还是不错的，从火车站打的10块左右就可以了。。。。房间一贯的如家特色，也不小，还不错的。。。', '短评打分': 5}
{'短评内容': '每次去合肥都选 如家 ...地理位置非常好..到市区到车站非常方便', '短评打分': 5}
{'短评内容': '地理位置不错，交通方便，房间不大，很干净，服务态度好。下次还来！', '短评打分': 5}
{'短评内容': '房间很大，价格相对前台价比较便宜，非常超值。已经住两次了，下次回合肥还会继续住。价格和房间非常值。', '短评打分': 5}
{'短评内容': '一如既往的如家，就是早上隔壁在装修，稍微有些吵，其他都很好。', '短评打分': 5}
{'短评内容': '房间很好，也很安静，就是在个楼顶，把楼顶修修就好了', '短评打分': 5}
{'短评内容': '房间很大也比较干净，价格非常合适，超值。下次去还会住。', '短评打分': 5}
{'短评内容': '感觉不错，交通方便  。。。。。。。。。。。。。\n\n推荐给朋友', '短评打分': 5}
{'短评内容': '很不错，如家还是很好的', '短评打分': 3}
{'短评内容': '交通方便，离火车站很近，价格便宜，吃饭和其它活动方便，性价比很高。', '短评打分': 5}
{'短评内容': '位置不错，空间也很大，服务员的态度不错，靠近窗户的墙壁，涂料有些起皮了，其他跟别的如家比差不多。', '短评打分': 5}
{'短评内容': '感觉还行，就是每次都的要输入卡号，麻烦                    \n交通方便                ', '短评打分': 5}
{'短评内容': '房间不错，服务很好，每次来合肥都住在这里！', '短评打分': 5}
{'短评内容': '酒店很干净，服务员很有礼貌也很漂亮，以后还会来的', '短评打分': 3}
{'短评内容': '环境可以，就是楼道太热了。', '短评打分': 3}
{'短评内容': '酒店交通不错，离朋友的公司也近。环境也不错，价格也很适宜。值得推荐', '短评打分': 5}
{'短评内容': '还不错，很方便，就是没有早餐免费的，有就更好了，还好不贵，自己花钱了', '短评打分': 5}
{'短评内容': '环境每个如家都差不多，关键是性价比高，', '短评打分': 3}
{'短评内容': '感觉不错，挺温馨的，推荐给朋友。。。。\n出行方便                    ', '短评打分': 5}
{'短评内容': '感觉不错，出行比较方便。。。                              \n下次推荐给朋友                      ', '短评打分': 5}
{'短评内容': '不错 房间很大 住过的最大的如家', '短评打分': 3}
{'短评内容': '住宿环境不错，服务态度很好。喜欢这里的环境，和女生一起很不错的选择', '短评打分': 5}
{'短评内容': '酒店房间很大，很方便找到，唯一不足的就是不能开发票不能打单位名称。', '短评打分': 5}
{'短评内容': '如家还是不错,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,', '短评打分': 5}
{'短评内容': '环境还算不错，地理位置也好，出行比较方便', '短评打分': 5}
{'短评内容': '早餐及其一般，本身就没两个菜，而且还都是辣的，，，都不想想，早餐都是以粥品为主，怎么菜品都是辣的呢。。。同时连个青菜叶子都没有，，，哎。。。至于住宿，感觉一般。。。没什么可评价的。。。', '短评打分': 1}
{'短评内容': '很便宜的如家，可，能是周边的宾馆较多的原因吧，很干净，服务不错，值得推荐！', '短评打分': 5}
{'短评内容': '而且今天看我的酒店定单竟然只显示了20号的订单，是不是酒店在背后为了30的现金回馈更改了？', '短评打分': 5}
{'短评内容': '就是房间味道不大好闻,还有早餐的包子貌似十分相当的不新鲜了', '短评打分': 3}
{'短评内容': '不错的酒店，房间很大，干净，交通还算方便。离车站稍微远点', '短评打分': 5}
{'短评内容': '还不错，虽然靠近路边，但是晚上也不觉得吵，出门就有公交站，去火车站步行街都很方便，就是没有WIFI啊', '短评打分': 5}
{'短评内容': ' 第一感觉就是房间好大，好大，超值入住', '短评打分': 3}
{'短评内容': '位置不显眼，周边多洗浴KTV，离商业中心较远。房间略有霉味，尚可。', '短评打分': 1}
{'短评内容': '不错的酒店，离车站也不远，很方便……，下次来合肥，还会入住的，呵呵', '短评打分': 5}
{'短评内容': '酒店环境不错  地理位置比较优越 服务也还可以 以后还会考虑  ', '短评打分': 5}
{'短评内容': '房间干净，交通方便。', '短评打分': 3}
{'短评内容': '酒店服务态度好，对面就是一个联华超市，很方便，就在市中心很不错~~', '短评打分': 5}
{'短评内容': '环境很好，交通也很方便，多次入住了，有回家的感觉。服务一切都是一流的。', '短评打分': 5}
{'短评内容': '房间不错，和大部分如家没什么区别。但是楼下有施工的，噪音大影响睡眠。', '短评打分': 3}
{'短评内容': '感觉很不错哦,交通方便，房间干净。就是电视操作有点麻烦。', '短评打分': 5}
{'短评内容': '不错   房间很大   也比较方便                                   .', '短评打分': 5}
{'短评内容': '环境很好，服务也很好', '短评打分': 3}
{'短评内容': '酒店很干净', '短评打分': 3}
{'短评内容': '交通还可以，下雨天打不到车，门前有公交站点。早餐品种较多，但食品质量有待提高', '短评打分': 5}
{'短评内容': '挺好的，这个星期一直住得如家，性价比好，也舒适。', '短评打分': 5}
{'短评内容': '酒店的服务和设施都不错，价格也比较合理。下次还会去。', '短评打分': 5}
{'短评内容': '不错的酒店 下次还会入住 。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好,离火车站较近,不错,推荐......................................................', '短评打分': 5}
{'短评内容': '总体不错，交通、餐饮很方便，，，，，，，', '短评打分': 5}
{'短评内容': '还可以\u3000就是水热得慢\u3000还有如果住在靠马路隔音就差了点', '短评打分': 5}
{'短评内容': '房间布置很简洁，但让人感觉很舒服，不会有压抑的感觉，价位也比较适中，有机会会再来的。', '短评打分': 5}
{'短评内容': '第二次入住，前台服务特别好，很有耐心，出行也比较方便，还特意给安排了带窗户的房间，非常感谢', '短评打分': 5}
{'短评内容': '不错啊，很干净，前台服务也很好，挺方便的，第二次入住了', '短评打分': 5}
