{'descr': '环境挺好，价格合理', 'star': 5}
{'descr': '不错很卫生，很干净', 'star': 5}
{'descr': '服务好，性价比高', 'star': 5}
{'descr': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', 'star': 5}
{'descr': '位置方便，交通便捷，房间也很干净，老板娘人很好，不错不错', 'star': 5}
{'descr': '环境一般，交通便利', 'star': 5}
{'descr': '酒店装修期间营业就算了，房间的床头柜积满灰尘，用了好多年的空调根本用不了，积满灰尘，大冬天吹冷风……本来也觉得酒店早点儿处理也就算了，绝不能接受酒店拒不承认错误的说法', 'star': 1}
{'descr': '环境很好，值得订购', 'star': 5}
{'descr': '一如既往的好', 'star': 5}
{'descr': '房间不是一般的小，除了床以外没有活动空间！wifi信号弱的一塌糊涂，基本不能用！！淋浴从墙体竟然冒出水柱，还是凉水，正对着人，躲都不好躲！！！空调不能用！！！！', 'star': 4}
{'descr': '还好吧！酒店装修呢！', 'star': 5}
{'descr': '这个价格住这种类型的房间，基本算是对得起这样的酒店了', 'star': 3}
{'descr': '总体还可以，交通方便，就是隔音效果不太好。还望改善', 'star': 5}
{'descr': '太差，性价比太差不值这个价', 'star': 2}
{'descr': '服务态度差，有种歧视人的眼光，重来没有遇见过这样的服务', 'star': 2}
{'descr': '酒店环境还好，性价比还可以，就是距离地铁站远了点，步行要20分钟以上的路程。', 'star': 5}
{'descr': '热水什么的还不错，价格稍微有点高,就是交通不方便，出门离7号地铁线有点远。如果游玩一天很累感觉很不方便。', 'star': 5}
{'descr': '很干净~服务也很周到  就是这个房间的电源插头少了点，需要接线板  别的真的很值。推荐', 'star': 5}
{'descr': '房间还算干净整洁。住了一晚还是蛮满意的。', 'star': 5}
{'descr': '特价房，就是便宜，睡觉而已。这个价位就不要要求太高了', 'star': 5}
{'descr': '酒店就在家门口，比较方便，屋内摆设稍有点旧，价格相对而言也算便宜。', 'star': 5}
{'descr': '打车不好打，因为师傅不知道地址，从世博打车过去价高', 'star': 1}
{'descr': '便宜~但是还特地跑了次派出所~这样很不方便啊~', 'star': 1}
{'descr': '不是很喜欢~以后不会去了~感觉非常普通，太一般了~', 'star': 1}
{'descr': '酒店不错，干净卫生。感觉很快…', 'star': 3}
{'descr': '环境饺差，乱，洗手间没有隔里。隔音效果差', 'star': 3}
{'descr': '房间很小，热水充足，浴室和床之间没有隔门，很不方便，隔音效果不好，酒店名气不大，好几个出租车司机不知道该怎么走。但是价格还是蛮便宜的，服务态度也不错。', 'star': 5}
{'descr': '酒店环境还好，性价比还可以，就是距离地铁站远了点，步行要20分钟以上的路程。', 'star': 1}
{'descr': '服务态度不错，地理位置也挺方便 、下次还选这家酒店', 'star': 5}
{'descr': '性价比一般。房间太小。交通还算方便。酒店服务态度好', 'star': 1}
{'descr': '交通比较方便，但房间较小，不通风，味道不好，另外房间电脑都无处放。', 'star': 1}
{'descr': '干净，也很便宜，下次还会去', 'star': 3}
{'descr': ' 房间不错，就是内景房有点潮湿，总体不错，安保很到位，每次近门都问哪个房间，对顾客是个保障', 'star': 3}
{'descr': '就是小了点……其他还算不错……服务也很好\n前台姐姐很热情', 'star': 5}
{'descr': '房间有点小，价格还不错，离地铁站不远。整体还可以。', 'star': 5}
{'descr': 'OK的~设备有些简陋~但是交通还是比较方便~价格也合理', 'star': 5}
{'descr': '经济实惠，地段较好，交通方便，前台MM服务态度好', 'star': 5}
{'descr': '还不错，安静，价钱公道，服务人员态度挺好，经济酒店不能要求太高！', 'star': 5}
{'descr': '房间太潮了，而且很小，价格也很高，就是交通比较方便，离公交车站很近', 'star': 1}
{'descr': '世博期间比较贵，平时价格低点的话还是会去的~住过两次了~', 'star': 5}
{'descr': '除了离世博近,交通还算方便以外,性价比不高,房间太旧了.通风不好.', 'star': 1}
{'descr': '房间条件不错，就是稍微有点儿潮，不过不严重，其他都挺好的。', 'star': 5}
{'descr': '差', 'star': 5}
{'descr': '世博会期间，这个价位就这样了，若平常就偏高了，房小了点，总体来说还过得去。', 'star': 5}
{'descr': '地理位置不错，价格经济实惠，人员服务比较热情，整体感觉还不错！', 'star': 5}
{'descr': '酒店位置找了很久才找到！价格有点贵！但世博期间那就讲究点吧~装修很老了！墙壁都发霉了！订的无窗房，一进去就一股发霉的味道，让人很难受~总之下次不会在住了~', 'star': 3}
{'descr': '离世博园特别近，走路到4号门也没多远，但房间很大一股霉味', 'star': 5}
{'descr': '条件不错,去世博很方便,附近环境也不错,就是房间有点儿潮,也不是什么大问题。', 'star': 5}
