{'短评内容': '不适合带孩子', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '服务态度好，干净整洁舒适', '短评打分': 5}
{'短评内容': '态度还行环境差住了三晚被单一次都没换，一些肥皂啊牙刷啥的真的超级差地方还挺偏，大家参考下', '短评打分': 1}
{'短评内容': '服务很好，24小时热水，环境很好，物美价廉，值！', '短评打分': 5}
{'短评内容': '还可以吧.这价位在北京啥也不算.家庭生意.老板一家几口#就是网络时好时坏.', '短评打分': 4}
{'短评内容': '不好', '短评打分': 1}
{'短评内容': '睡觉而已', '短评打分': 5}
{'短评内容': '交通方便！周边湘菜不错！消费不高！', '短评打分': 5}
{'短评内容': '很好哦 位置在中央财经大学对面 离地铁站也很近 很方便', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 2}
{'短评内容': '很不错，环境好', '短评打分': 5}
{'短评内容': '还行，被子旧了点', '短评打分': 3}
{'短评内容': '挺好的，在三环附近这个价格很不容易了，那些说条件不好的，是不是太挑了。很便宜', '短评打分': 3}
{'短评内容': '房间小，床也窄，老板态度还行', '短评打分': 3}
{'短评内容': '有上当的感觉,标准间只有一张床.', '短评打分': 3}
{'短评内容': '凌晨三点通过手机预订，还好有房间。 现在北京城区太难找地方了。\n总体来说可以接受，毕竟给我们了一个住的地方！\n\n静安宾馆旁边，小街里边。', '短评打分': 5}
{'短评内容': '烂就一个字。我说无数次。。。酒店硬件软件，没有一个是合格的。', '短评打分': 1}
