{'短评内容': '已多次预定，不错的酒店。', '短评打分': 4}
{'短评内容': '已经多次预定，不错的酒店。', '短评打分': 4}
{'短评内容': '挺好的酒店，来潍坊都住这家', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '挺好的，有wifi，有中央空调，这周围算是最好的宾馆了。', '短评打分': 4}
{'短评内容': '忘在房间东西，第二天打电话前台就说找不到，在核实，再打电话，还说找不到，直接挂了电话。这个酒店的服务素质跟人品都太差劲！', '短评打分': 1}
{'短评内容': '酒店离医院很近，合适陪护居住，房间也很大，干净卫生，非常不错的', '短评打分': 5}
{'短评内容': '总体还行吧 其实不太到三星 对于一个酒店人来说 他们的前台真的很垃圾 需要很大的改进 妆容普通话 还有日常的举止 都不是一个酒店人应该有的 总体就是去睡觉 吧 再说了快捷酒店 没想到要求太高 可是对于一个五星级酒店的职业病的人来说 遇到这种服务 总要吐槽一下子', '短评打分': 2}
{'短评内容': '一般吧，就是离潍坊人民医院近一点', '短评打分': 4}
{'短评内容': '挺好，性价比高', '短评打分': 5}
{'短评内容': '很好，挺有情趣的，床上面有个大镜子，哈哈。不过风水上似乎不太好，但是体验情趣还是不错的。推荐一下给大家！', '短评打分': 5}
{'短评内容': '干净卫生，价格适应，交通方便，性价比较好', '短评打分': 4}
{'短评内容': '网速太烂了，其他还不错', '短评打分': 4}
{'短评内容': '酒店还可以，虽然有地暖，但还是有点冷，希望商家还是给予空调取暖更好些', '短评打分': 3}
{'短评内容': '很卫生', '短评打分': 4}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '棒棒达', '短评打分': 5}
{'短评内容': '房间还不错，环境也还可以，就是电脑很不给力啊', '短评打分': 5}
{'短评内容': '卫生间的隔音不太好！圆床没有想象中的大！房间里面东西一般！也就是楼道里装饰的好点！相对于价格有点不值！', '短评打分': 3}
{'短评内容': '还不错 隔音不太好 隔壁情侣叫床真响 。。。。。。。推荐入驻', '短评打分': 5}
{'短评内容': '电脑不太给力！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '卫生间，房间很小。。。\n地毯很脏。前台态度很差，是我住过的宾馆里最差的。', '短评打分': 1}
{'短评内容': '房间条件不错，就是早餐质量太差啦，希望能改善一下！', '短评打分': 5}
{'短评内容': ' 不错。下次还去，哈哈。上次去的房间稍微有点冷。', '短评打分': 5}
{'短评内容': '  很不错。很暖和。下次还会去。忘记办会员了。呵呵', '短评打分': 5}
{'短评内容': '房间不错，比较干净，适合出差！\n出门交通方便！\n酒店的餐饮需要改进！', '短评打分': 5}
{'短评内容': '很干净设施也可以，但是，所有房间名都加了数码，要使用带电脑的房间却还要再加钱，有点被欺骗的感觉。', '短评打分': 1}
