{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '早歺还好，环境一般', '短评打分': 3}
{'短评内容': '还不错 早餐品种挺多的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '有停车场，位置也挺好，早餐价格实惠还是挺好的，就是宾馆设施比较老旧有年头了。是本溪钢铁公司的下属企业', '短评打分': 5}
{'短评内容': '照片忘照了，总体来说都不错', '短评打分': 5}
{'短评内容': '本钢宾馆，设施一般，房间稍有烟味。卫生间很大，冷热水供应很好。服务周到，早餐丰盛，', '短评打分': 5}
{'短评内容': '酒店的交通很便利,室内设施太简陋.房间太小, 卫生也还不错, 服务态度有待改进. 早餐很不错,很安静.', '短评打分': 4}
{'短评内容': '位置好，出行方便，房间宽敞安静，早餐可口，值得推荐。', '短评打分': 4}
{'短评内容': '非常好的一间酒店，', '短评打分': 5}
{'短评内容': '属于本钢的老宾馆，在历史上很有知名度，环境好，设施略显陈旧，早餐还可以，已经住过多次了～', '短评打分': 4}
{'短评内容': '这网络实在无法恭维。', '短评打分': 3}
{'短评内容': '还行吧～', '短评打分': 4}
{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '酒店位置好，出行方便，服务好，设施好，下次还会入住。', '短评打分': 5}
{'短评内容': '非常不错 已经是第二次入住了 非常满意的服务和房间 谢谢', '短评打分': 5}
{'短评内容': '人生地不熟，只能说是自己选择错误，我只说一点，房间里面如果能打扫的干净就好了', '短评打分': 5}
{'短评内容': '房间没有吹风机。洗澡间很大！早餐还可以！', '短评打分': 3}
{'短评内容': '第二次住了，感觉还是不错，就是被床垫露出的弹簧划破了腿，但是酒店第二天就给解决了。', '短评打分': 5}
{'短评内容': '标准间房间不大，卫生间如传说中的那么大，和房间大小差不多。明显的缺点是进屋后找不到网线，找了好久后在床头柜后面找到。真的不便。', '短评打分': 5}
{'短评内容': '还可以，房间较小，但卫生间大，感觉房间和卫生间大小差不多', '短评打分': 5}
{'短评内容': '总体来说，酒店还是不错的。在这个小地方 。有这样的地方 已经不错了。下次还会考虑入住此地', '短评打分': 5}
{'短评内容': '每次来本溪都会住这家酒店，位置好也安静，就是房间小了点儿。', '短评打分': 5}
{'短评内容': '位置环境好，就是太老了，房间设施都旧了，面积也小。下次不会主的', '短评打分': 1}
{'短评内容': '比较老的三星酒店，太老了，有异味，不过环境还可以，服务一般', '短评打分': 1}
{'短评内容': '金山宾馆住宿和早餐都不错，满意', '短评打分': 3}
{'短评内容': '环境很好，不好找。', '短评打分': 3}
{'短评内容': '总体性价比不太高。我预定的是大床房，不过内部空间太小，于是更换成标间在酒店后楼（前楼注满了），内部空间还是太小，卫生和硬件设施还可以，有中央空调可以调温，不过没有存放食物的MINI吧。酒店就在本钢酒店对面，还算安静，就是出行不太方便，附近吃饭也不方便。早餐还可以。这个酒店主要接待一些企业中，zf机关单位的人，对外出旅行者来说一般。', '短评打分': 1}
{'短评内容': '环境不错，自带饭店，坐车也方便,门口有旅行社，方便出行', '短评打分': 5}
{'短评内容': '内部空间太窄，房间价格倒是有些贵，感觉不值这个价钱，而且房间内部很冷，半夜至凌晨一直有人在外面施工，很吵！', '短评打分': 5}
{'短评内容': '住宿条件很不错，不过提供的餐饮水平一般，种类不是很多，而且味道平平，这点还是需要再提高.', '短评打分': 3}
{'短评内容': '酒店的装修风格还算不错，简单且大方，住着也比较随意一些，不会感觉太拘谨.', '短评打分': 5}
{'短评内容': '酒店在北光路上，交通还算不错，空间及客房整体条件还算可以.没有很特别之处.', '短评打分': 5}
{'短评内容': '酒店的客房基本上以套型为主，不过装修风格却不是很豪华，更适合中等人群消费，还是蛮不错的.', '短评打分': 5}
{'短评内容': '酒店住宿条件很好，设施硬件设施如果再提高一些更好，软件服务方面比较不错，挺热情周到的.', '短评打分': 5}
{'短评内容': '客房空间大小正合适，比较适合双人入住.舒适度及整个的环境都挺不错的.', '短评打分': 5}
{'短评内容': '地理位置好，距离火车站比较近，打车去火车站几分钟路程挺方便的.', '短评打分': 5}
{'短评内容': '房间隔音不错，室内比较安静，晚上休息时会更踏实一些，服务人员办事效率很高，打个电话办事很速度.', '短评打分': 5}
{'短评内容': '位置不错，距离火车站，汽车站都挺近的，交通出行很方便，就近选择也不错.', '短评打分': 5}
{'短评内容': '3星的酒店，整体条件还算不错，住着舒适度蛮高的，而且位置好.', '短评打分': 5}
