{'descr': '服务态度很好，环境也不错', 'star': 5}
{'descr': '感觉床单像没换，住的家庭房很挤 很小', 'star': 4}
{'descr': '订的大床房，酒店环境卫生不错，就是面积较小，可能装修不久，有木头的味道。整体200多的性价比还可以', 'star': 4}
{'descr': '干净卫生 交通方便 价格经济 总体很不错啦！', 'star': 5}
{'descr': '房间不大但是干净，管理很好。推荐入住', 'star': 5}
{'descr': '酒店很好，单人间的话一个人刚刚好，其实有人会觉得小，但是我觉得刚刚好，我并不是托，凭良心说但是这价钱真的不错，卫生条件好，很干净，热水不会太热，但达到了温泉的温度，位置非常不错，重点是还可以提前入住。说真的我十分满意，下次还来这里，！其实不管多好的酒店，总会有人喷的，这些都要自己去分辨。', 'star': 5}
{'descr': '环境还可以', 'star': 5}
{'descr': '环境好干净整洁特别喜欢，非常满意', 'star': 5}
{'descr': '非常好。  非常好', 'star': 5}
{'descr': '还是不错的。。', 'star': 5}
{'descr': '环境非常好，服务员态度非常满意', 'star': 5}
{'descr': '特别棒呢特别棒呢特别棒呢特别棒呢', 'star': 5}
{'descr': '环境非常好，价格很实惠。，服务员态度非常好！', 'star': 5}
{'descr': '环境非常好，服务员态度非常好。', 'star': 5}
{'descr': '订单确定非常快，京东服务态度也很好。我一直相信京东', 'star': 5}
{'descr': '住的很舒服！', 'star': 5}
{'descr': '服务员态度非常好，环境非常满意', 'star': 5}
{'descr': '性价比不错 酒店新装修 干净整洁 赞一个', 'star': 5}
{'descr': '非常满意非常满意非常满意', 'star': 5}
{'descr': '环境非常好，应该是刚刚开业不久。', 'star': 5}
{'descr': '一般吧', 'star': 3}
{'descr': '还可以吧', 'star': 3}
{'descr': '不错哦', 'star': 5}
{'descr': '朋友来上海住的，地理位置优越交通便利', 'star': 4}
{'descr': '还行，价格蛮实惠，态度一般般', 'star': 3}
{'descr': '宾馆目前的风格偏向于国企的作风，好处是安全问题不错，停车场虽然不大，但是有安保照看。宾馆的上面走道上还有很多安保执勤的考勤点，可以看到安保定时进行巡逻。但是前台的个别服务员感觉不是很热情，态度不是很好。希望可以得到改进', 'star': 3}
{'descr': '交通很方便。服务也不错。。。就是。。有蟑螂。。。。', 'star': 3}
{'descr': '干净整洁!', 'star': 3}
{'descr': '性价比高，就是住的两天，感觉热水不是很热！', 'star': 5}
{'descr': '价格不错，交通比较方便！房间和床比较小！', 'star': 5}
{'descr': '非常不错的酒店 价格合适 位置也比较方便 附近有沃尔玛 房间干净 是个神马人才公寓来着  酒店大堂的大爷非常热心 我问了怎么去火车站 他开始说错了 后来还专门打电话来告诉我', 'star': 5}
{'descr': '价格很优惠，就是房间比较难订，另外就是卫生间不是很好。', 'star': 5}
{'descr': '浴缸很意外 房间没有窗户 反正还算是可以的', 'star': 5}
{'descr': '酒店价格实惠,房间较小,但还算干净,就是前台服务人员的服务态度太差.', 'star': 5}
{'descr': '＋房间过的去，窗户不给力啊。', 'star': 3}
{'descr': '交通还算是方便，去车站，城隍庙，外滩，都方便，服务态度不错。', 'star': 5}
{'descr': '性价比一般，设施有点旧但服务不错，交通也方便。离办事的地方近', 'star': 5}
{'descr': '服务很好，很热情，基本上是有求必应，房间很宽敞，布置的很温馨，舒适度很好', 'star': 5}
{'descr': '酒店位置不错，距离地铁站10分钟左右，距离外滩也不远，房间硬件一般，住宿条件还好', 'star': 3}
{'descr': '电视不错，蛮大的，频道很多，房间设施还可以，卫生条件一般，住宿环境还行', 'star': 5}
{'descr': '房间设施还可以，电视不错，频道蛮多的，前台接待不错，还算热情周到，其他都很一般', 'star': 3}
{'descr': '比较一般的酒店，服务还可以，如果出行可以前台订车的，房间卫生条件一般，周边出行还算方便些', 'star': 3}
{'descr': '感觉很一般的酒店，房间卫生条件还好，舒适度不错，前台服务很好，挺热情的', 'star': 3}
{'descr': '酒店地理位置不错，靠近黄浦江，距离外滩较近，环境很好，房间装修的很豪华，物超所值的酒店', 'star': 5}
{'descr': '房间有些小，但是硬件设施很充足，酒店位置很好，走500米就到地铁站了，出行方便', 'star': 5}
