{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '环境还可以，就房间小了点！！！周围好吃的东西比较多，', '短评打分': 5}
{'短评内容': '环境还可以，房间小了点\n严峰', '短评打分': 3}
{'短评内容': '离火车站满近的，也很舒服。还是不错的选着', '短评打分': 5}
{'短评内容': '地方在前进路，稍微有点儿偏，不过酒店挺干净，价格的话算差不多吧，不算很便宜，房间很狭窄，卫生间倒挺宽敞，里面设施挺齐全，就是没有吹风机啊。。。然后女店员的服务态度比较差，餐厅的阿姨很好', '短评打分': 1}
{'短评内容': '床很大，有点偏,早饭起晚了，吃的东西剩的不多了', '短评打分': 5}
{'短评内容': '环境不错，属于温馨型的，住的标准房有点小，但挺干净的，九点前有早餐，我们贪睡吃不了，要是到十点就好了', '短评打分': 3}
{'短评内容': '内部环境还行，不过周边有些吵闹', '短评打分': 3}
{'短评内容': '环境很好，很干净。', '短评打分': 3}
{'短评内容': '前台不是很热情,酒店的早餐很差，其他硬件还行，服务态度非常一般.环境不错，靠近绳金塔，附近的美食一条街吃东西很便宜。', '短评打分': 1}
{'短评内容': '第二次住这里了。不是房间的隔音效果真的是不怎么样。卫生挺干净的。服务人员态度也不错。旁边有吃夜宵的地方，很方便。价格也适中。以后别一早上就放音乐广播。。实在要放的话，声音小点。。', '短评打分': 5}
{'短评内容': '挺不错的     就是晚上会有骚扰电话进来 ', '短评打分': 5}
{'短评内容': '相当的糟糕，ELONG预定也有问题，没有写是内窗的房间，而且窗户对走廊窗户是用画掩盖，而且房间内是中央空调，制冷不好使，最烦人的是打开门有异味。楼下服务员态度还是可以，但是很多路线完全不清楚，问之去哪全以打的来回答。此外这边还有一种108的特价房，估计性质和ELONG预定的差不多，请ELONG自己去核实这个问题，为什么这种房型是不能通过网站预订的？总之非常不推荐这家酒店', '短评打分': 1}
{'短评内容': '就是挺不好找，其他还好，服务挺热情的，尤其是管电脑的哥哥。', '短评打分': 5}
{'短评内容': '整体环境可以，就是服务员半夜还在走廊大声说话，软件设施太差了。', '短评打分': 5}
{'短评内容': '服务很一般，交通不方便，唯一的好处是酒店周围安静，吃饭方便。', '短评打分': 5}
{'短评内容': '酒店的早餐很差，其他硬件还行，服务态度非常一般。', '短评打分': 5}
{'短评内容': '早餐很差。', '短评打分': 3}
{'短评内容': '酒店内部设施非常齐全   感觉特别有档 \n唯一的一点就是会有特殊服务电话打进来   但也还算不会影响休息\n\n总得感觉很不错   下次还会选择！！', '短评打分': 5}
{'短评内容': '环境不错，靠近绳金塔，附近的美食一条街吃东西很便宜。', '短评打分': 3}
{'短评内容': '饭店一般，一进到酒店的大厅，都有一股烟味，还有就是酒店内空间太小，采光差、隔音效果差。', '短评打分': 1}
{'短评内容': '卫生间有明显的异味，能提高的免费的洗漱用品及设备设施很有限。但性价比与交通还是比较便利的', '短评打分': 5}
{'短评内容': '酒店环境不错，服务挺好，性价比高。如果再去南昌，我还会选择“纳特”。', '短评打分': 5}
{'短评内容': '无比垃圾，从来没有见过这么没有服务意识的酒店，晦气死了', '短评打分': 1}
{'短评内容': '前台不是很热情，预定了他们那里还漏做了我的单子= = 退房还算快 半夜有按摩骚扰电话 这个讨厌 走廊有动静里面能听的清楚 其他还可以 豪华单间床很大 喜欢', '短评打分': 5}
{'短评内容': '酒店还不错，整洁，就是为什么标准间只有一个人的洗漱用具呢？', '短评打分': 5}
{'短评内容': '位置不太容易找.不过室内环境还不错，住着感觉还是可以的.', '短评打分': 5}
{'短评内容': '我住的是133元的单人间，很干净，液晶电视，网线俱全，性价比很高，赞！', '短评打分': 3}
{'短评内容': '交通方便，房间感觉很舒适，下次还会再来光顾。', '短评打分': 5}
{'短评内容': '不错的酒店，物美价廉，交通方便，下次再来。', '短评打分': 5}
{'短评内容': '酒店房间还不错,性价比较高,就是浴室水龙头的水量太小了', '短评打分': 5}
{'短评内容': '位置还可以，环境还不错房间倒是挺舒适的，前台还是比较一般，价格的话也还可以。', '短评打分': 5}
{'短评内容': '不错，性价比挺高!', '短评打分': 5}
{'短评内容': '酒店整体性价比不错，值得推荐，就是距离车站等远了些', '短评打分': 5}
{'短评内容': '感觉性价比还行,服务质量需要提高,商务酒店没有商务功能\r\n不能打印,传真/晚上有骚扰.', '短评打分': 5}
{'短评内容': '位置还可以 环境各方面都一般 不过性价比还可以', '短评打分': 5}
{'短评内容': '性价比不错的酒店，服务和卫生都很不错，推荐', '短评打分': 5}
{'短评内容': '电梯和走廊特别的脏，运送换洗床单的包裹就堆在电梯门口，不得不跨过去才能出电梯。房间内简直就是小型超市，摆满了各种收费的小商品。午夜时分还收到“按摩小姐”的骚扰电话。', '短评打分': 1}
{'短评内容': '性价比高，价格优惠', '短评打分': 5}
{'短评内容': '酒店位置好，在市区，靠近老城区，交通购物都很方便。边上还有超市。', '短评打分': 5}
