{'短评内容': '民宿家庭旅馆，店员服务态度很好。', '短评打分': 5}
{'短评内容': '住了两晚，第一晚房间的墙纸有好多地方都发霉了，看着就恶心，强烈建议老板在淡季的时候修整下，国庆的房费贵是正常，但是最起码要干净，看着墙纸我就觉得房间很脏，第二晚换到大嘴猴房就感觉好很多了，墙不是用墙纸，没有霉点。房间还是挺有特色的，小孩很喜欢。如果房价不贵的话，可以体验一下喔', '短评打分': 4}
{'短评内容': '老板指路很详细，服务也不错，家庭旅馆式的，房间小，不过空调热水器什么的都一应俱全，整体来说还不错', '短评打分': 5}
{'短评内容': '挺好，位置不错', '短评打分': 5}
{'短评内容': '非常难找 不过老板亲自去接的 房型也喜欢小跃层 喜欢这种房子 下次去鼓浪屿还会来', '短评打分': 5}
{'短评内容': '总体来说还是不错的，鼓浪屿上的房间都差不多的', '短评打分': 4}
{'短评内容': '酒店地理位置有点难找，房间偏小，但服务还是不错的！', '短评打分': 4}
{'短评内容': '房子及设施破旧，和一般农村民房差不多，在床上还发现了一活一死两不明生物，第二天早上起床发现腿上多了几个大红包。另外性价比极差，订的家庭套房，客厅沙发床需要另外加钱，这样的价格可以在厦门住四星级酒店了。', '短评打分': 1}
{'短评内容': '＋老板人很好，就是店有点难找。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '很怀念那间阁楼房和那两只猫咪。内厝澳有很多的原住民，有浓浓的当地生活味道，旅馆房子是典型的当地民居，同时有浓郁的美术气息。', '短评打分': 5}
{'短评内容': '老板夫妇态度很好！住的舒心！干净！', '短评打分': 3}
