{'descr': '很好，很方便', 'star': 5}
{'descr': '还凑合，不值这个钱。有点简陋，只能临时住一天。', 'star': 4}
{'descr': '价格实惠，交通方便！', 'star': 4}
{'descr': '超级垃圾，没有什么可说的了，再也不会住了！', 'star': 1}
{'descr': '位置很好，就在矿大文昌校区西门对面，周边吃的喝的玩的一应俱全，但是条件和环境真的不好，上次住是两年前觉得还可以，这次发现两年时间变化好大。房间很陈旧，屋顶和地板有的都翘起了。', 'star': 3}
{'descr': '超级陈旧，到过这么多城市住过最差的酒店，网上订的时候看到是交通方便，评论也说卫生，就想将就了，结果说好的二十四小时热水早上没得，服务员说晚上才有，热水也不热，床就更不说了还要响，简直影响心情。', 'star': 2}
{'descr': '虽然设施比较老些，但是地理位置优越，价格适中，安静舒适，值得入住！唯一的缺憾是空调效果不好，而且声音很大！整体满意！', 'star': 4}
{'descr': '酒店太老旧，环境太差，满屋找不到一个插座，很多东西都是坏的！', 'star': 2}
{'descr': '不干净', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '周边吃饭很方便，酒店设施太老旧了，可能是楼下有家自助烤肉吧，整个酒店里一股味道。凑合住住。', 'star': 4}
{'descr': '酒店设施和装修有点老旧，但还是很干净的，周边生活便利，矿大西门对面，很热闹，就是房间设施不太好，无线网络不能有，空调也不是很暖，希望改善', 'star': 4}
{'descr': '房间还可以，只是年轻的一楼总台服务员服务态度太差', 'star': 3}
{'descr': '感觉还不错，设施较全，有两把椅子与一个茶几，很方便。上午入住后，想先洗个澡，竟然没有热水，好在下午有了，可能是考虑到上午很少有人洗澡', 'star': 5}
{'descr': '不怎么的。\n档次一般吧。。。。。。费用150说实话不值的、、、、、', 'star': 1}
{'descr': '已经入住了 总体来说环境还比较安静的 适合学习 看书', 'star': 3}
{'descr': '房间很大采光也不错，如果内部设施能再好一点就更好了', 'star': 5}
{'descr': '环境比较安静，电视很好，空间也很大，要是卧室里有个大灯就更好了。', 'star': 3}
{'descr': '蛮好的。', 'star': 3}
{'descr': '周边环境差,房间还行', 'star': 3}
{'descr': '还行，不错，只是 服务态度有待改进没嘿嘿们加油，下次可以的话还会考虑的还行，不错，只是 服务态度有待改进没嘿嘿们加油，下次可以的话还会考虑的还行，不错，只是 服务态度有待改进没嘿嘿们加油，下次可以的话还会考虑的还行，不错，只是 服务态度有待改进没嘿嘿们加油，下次可以的话还会考虑的', 'star': 5}
