{'短评内容': '位置离地铁很近', '短评打分': 5}
{'短评内容': '出差经常住这里，离的不远。', '短评打分': 5}
{'短评内容': '出差经常住这里，离的不远。', '短评打分': 5}
{'短评内容': '出差经常住这里，离的不远。', '短评打分': 5}
{'短评内容': '服务态度不太好', '短评打分': 5}
{'短评内容': '太一般了，托北京后腿了', '短评打分': 3}
{'短评内容': '还可以吧。酒店就是太冷了！没法住人！而且地方很偏！不太好找！酒店服务什么的一般吧！总体来说很一般！', '短评打分': 5}
{'短评内容': '仍是很好的住处，附近学校，商场，公园，地铁公交站，交通便捷，万达电影院也不远，边上不少小吃店，烧烤，刀削面，卤煮火烧等等不一而足，从后门进公园还能免费，房间干净卫生，面积也不狭窄，还真不错。', '短评打分': 4}
{'短评内容': '仍是很好的住处，附近学校，商场，公园，地铁公交站，交通便捷，万达电影院也不远，边上不少小吃店，烧烤，刀削面，卤煮火烧等等不一而足，从后门进公园还能免费，房间干净卫生，面积也不狭窄，还真不错。', '短评打分': 4}
{'短评内容': '仍是很好的住处，附近学校，商场，公园，地铁公交站，交通便捷，万达电影院也不远，边上不少小吃店，烧烤，刀削面，卤煮火烧等等不一而足，从后门进公园还能免费，房间干净卫生，面积也不狭窄，还真不错。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '比较差', '短评打分': 2}
{'短评内容': '交通方便，走几分钟就到西单商场那边，吃得也很方便，房间干净', '短评打分': 4}
{'短评内容': '总的来说还行，交通方便，有些细节需完善', '短评打分': 4}
{'短评内容': '暖气很足，房间很温暖。就是刚进屋子有一股味道。不过一会儿也就好很多了！', '短评打分': 5}
