{'短评内容': '环境不错，服务态度很好。', '短评打分': 5}
{'短评内容': '房间外观是现代质感的建筑，简洁典雅，造型刚中有柔，尽显地域建筑风情。房间内厅和卧室都是正南向的。宽敞的阳台，将蓝天和阳光融合在一起，白天可感受阳光的明媚，晚上可享受满天星光的浪漫。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '太差，床单都不换。设施太差，简易房就是', '短评打分': 1}
{'短评内容': '环境非常好，服务态度非常好！', '短评打分': 5}
{'短评内容': '环境还可以，就是比较旧了，服务还可以', '短评打分': 4}
{'短评内容': '服务和卫生都很差，携程网还不给返现。坑人', '短评打分': 2}
{'短评内容': '蛮喜欢这家酒店的，离我办事的地方近。性价比高。', '短评打分': 5}
{'短评内容': '还行，交通比较方便，设施旧了点。', '短评打分': 4}
{'短评内容': '周边重庆小吃物美价廉，离大佛禅院和高铁站近，交通方便。但酒店硬件有待提高', '短评打分': 4}
{'短评内容': '酒店和周边环境都不错，很安静，就是早餐有点不满意。', '短评打分': 4}
{'短评内容': '环境不错、位置好，去办事方便，在大佛禅院边上，喜欢', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '通过ELONG条件“四星”搜索出来的酒店，结果其实就是一个快捷酒店。不推荐。。\n价格偏高，房间小，浴室卫生间简陋。', '短评打分': 1}
{'短评内容': '好,位置卫生都不错!', '短评打分': 3}
{'短评内容': '房屋潮湿 热水供应缓慢 房间装修，室内味道较重', '短评打分': 3}
{'短评内容': '酒店是新装修的，环境很好，房间很干净，很卫生，住着很舒服。', '短评打分': 5}
{'短评内容': '房间设施很新，环境不错，总体还是蛮不错的酒店', '短评打分': 5}
{'短评内容': '地理位置很好，距离大佛禅院很近。出行很方便。', '短评打分': 5}
{'短评内容': '干净，卫生，地理位置也可以。尤其是总台的服务员让我很感动，因为下大雨，乘坐13日的K117火车晚点了5个小时，原本房间只保留到18：00，后经协调，承诺一定会入住，服务员就一直等我们到凌晨1：30，这是第一次到峨眉旅游，旺季酒店很紧张，在此表示感谢！', '短评打分': 5}
{'短评内容': '酒店位置还可以，靠近大佛禅院，性价比蛮高，住宿环境还不错', '短评打分': 5}
{'短评内容': '硬件设施配置挺好的，去那边的话是个不错的选择。', '短评打分': 5}
{'短评内容': '性价比还是挺不错的一家店。环境舒适，卫生很好。', '短评打分': 5}
{'短评内容': '硬件设施齐全，电视很大，看着很舒服，位置不错，出行蛮方便的', '短评打分': 5}
{'短评内容': '酒店有重新装修过，房间配置也比较不错。', '短评打分': 5}
{'短评内容': '酒店的卫生很好，房间看上去干净整洁。', '短评打分': 5}
{'短评内容': '全新装修，干净卫生非常舒适，是一个不错的酒店', '短评打分': 5}
{'短评内容': '一楼湿气大 通气不良,部分房间热水供应欠佳,管道内积存大量冷水', '短评打分': 1}
{'短评内容': '干净，地理位置也不错', '短评打分': 5}
{'短评内容': '新装修的房间室内还是有股霉味.不过硬件条件很好住起来还是挺舒服的.', '短评打分': 5}
