{'短评内容': '晚上11点到店，原订的豪华房没了，免费升级套房，赞，赞，赞', '短评打分': 5}
{'短评内容': '房间很舒适，地理位置也很好，离红磡火车站和海港城都不远', '短评打分': 5}
{'短评内容': '位置很好', '短评打分': 5}
{'短评内容': '酒店位置好', '短评打分': 5}
{'短评内容': '前台速度太慢', '短评打分': 5}
{'短评内容': '第一次在京东预定酒店，确定时间算比较快了', '短评打分': 5}
{'短评内容': '香港的圣诞氛围真的是好好，酒店的装饰，酒店周围的街道的点缀，处处洋溢着圣诞的氛围，舒服，美丽，开心.几乎来香港这边出差总是会来住这边，因为地铁很方便，就餐也方便，购物更是方便', '短评打分': 5}
{'短评内容': '好，位置好，景好', '短评打分': 5}
{'短评内容': '酒店很漂亮 在香港算挺大 服务也不错', '短评打分': 5}
{'短评内容': '地段很好，出行方便，三人房其实是标间加床的，房间略小，其他都挺好的。', '短评打分': 3}
{'短评内容': '离地铁公交都非常近，环境卫生非常棒，空间也蛮大，一家三口完全适合。', '短评打分': 5}
{'短评内容': '环境不错，在尖沙咀，性价比高，旁边就是香港科学馆', '短评打分': 5}
{'短评内容': '预定方便，价格便宜，赞。', '短评打分': 5}
{'短评内容': '位置很好，离尖东地铁几百米之遥，可以看到维港。酒店服务好，五星级标准。', '短评打分': 5}
{'短评内容': '预定速度快！价格很低！', '短评打分': 5}
{'短评内容': '不错的，香港这个地段这个价格真的很好了！值得推荐。', '短评打分': 5}
{'短评内容': '帝苑酒店位置超级好，地处香港九龙油尖旺区尖东么地道，往南走1500米就能看到香港岛维多利亚港，走1000米就是港铁西线尖东站、荃湾线尖沙咀站，周边的餐厅、便利店林立，要去九龙海港城、旺角、油麻地港铁两站路就到了，去中环、铜锣湾，也就三四站路。唯一不足之处就是房间太小，这也是香港所有四星级以下酒店的共同的缺点，看来无法规避！?', '短评打分': 4}
{'短评内容': '太好了', '短评打分': 5}
