{'短评内容': '位置不错', '短评打分': 4}
{'短评内容': '服务差', '短评打分': 4}
{'短评内容': '服务态度很差', '短评打分': 3}
{'短评内容': '设施陈旧，靠马路又点吵！地毯特别脏！', '短评打分': 2}
{'短评内容': '就是楼下有点吵。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还可以吧，床很硬，如果住在靠马路这边，不是临江的，半夜噪音很大，过往的车辆很多。。。', '短评打分': 4}
{'短评内容': '酒店在当地算是最好的了，配套硬件确实一般，床很硬，停车位置不多，但是对于在武隆住宿来说，也只能说还可以了', '短评打分': 4}
{'短评内容': '宾馆不能睡觉咋住，宾馆临街噪音太大了，窗户一点隔音效果都没有，酒店特殊位置车辆噪音放大，晚上根本睡不了觉啊。', '短评打分': 2}
{'短评内容': '放假不错', '短评打分': 5}
{'短评内容': '周边环境一般，交通还比较方便，周边吃饭的比较多，环境也算是清静，酒店设施不算很新，停车场稍微有点远。', '短评打分': 5}
{'短评内容': '很好，乾淨舒適，當地很好的酒店', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 4}
{'短评内容': '不错，不能开票没说清楚不好', '短评打分': 5}
{'短评内容': '位置不错，临江的房间很好，白天可看乌江，晚上可赏两岸夜景，唯一的不足就是空调的声音稍微有点大。周围吃饭什么的都很方便，非常方便味道也不错。酒店大堂和走廊都很大气，设计相当不错。大堂很开阔，走廊很宽阔，有智能感应式射灯和壁灯，非常方不错。', '短评打分': 4}
{'短评内容': '环境优美，交通便利，靠近河边，不错', '短评打分': 5}
{'短评内容': '位於烏江旁，美景在房間大窗一目了然，非常好！', '短评打分': 5}
{'短评内容': '房间不错，早餐比较丰富', '短评打分': 5}
{'短评内容': '应是武隆县城最好的酒店 干净卫生 靠江那边景色不错 就是有点旧了', '短评打分': 5}
{'短评内容': '住的是江景房，环境优美，但装修一般。旅游区的四星，比三星级稍微好点。', '短评打分': 5}
{'短评内容': '还可以，干净安静，靠乌江边的房挺美的。就是离景区太远，如果想方便还是住仙女山景区附近的酒店。', '短评打分': 3}
{'短评内容': '当地就它稍微好一点。垄断了，不解释。推荐入住。', '短评打分': 5}
{'短评内容': '房间干净舒适，卫生状况良好，性价比挺高的酒店，挨着乌江，感觉很好。武隆县城不大，地点适中，不会太吵闹。', '短评打分': 3}
{'短评内容': '酒店很豪华，临江特色豪华间，真的无可挑剔，晚上看对岸夜景真很不错。值得推荐。', '短评打分': 5}
{'短评内容': '服务好，干净临江。OK。', '短评打分': 3}
{'短评内容': '特色单人间物有所值', '短评打分': 3}
{'短评内容': '网上定酒店很方便，酒店也很不错', '短评打分': 3}
{'短评内容': '算是当地最好的酒店了，酒店服务员态度非常好，积极帮忙协调解决各种大小事宜，一定会再去武隆，一定会再住这家酒店的', '短评打分': 5}
{'短评内容': '环境还不错,早餐一般', '短评打分': 3}
{'短评内容': '房间不错，一定要选靠江那边，服务挺贴心，赠送报纸和小吃，推荐', '短评打分': 3}
{'短评内容': '位置不错,景观也不错,就是早餐差点~~服务一般~', '短评打分': 5}
{'短评内容': '环境不错，如果有电脑就更好了！', '短评打分': 3}
{'短评内容': '酒店建成不久，房间及设施不错，比较清爽，建议入住', '短评打分': 5}
{'短评内容': '还可以因为带了孩子让加了两床被子', '短评打分': 3}
{'短评内容': '建议住靠江那边，晚上的夜景很不错哦！不过1601室噪音太大，靠近电梯井，声音实在有点响，难以入睡啊！', '短评打分': 5}
{'短评内容': '酒店的位置很方便，位于江边，房间不错，价格合理.', '短评打分': 5}
{'短评内容': '酒店卫生条件好,服务也不错', '短评打分': 3}
{'短评内容': '酒店很不错，位于江边，设施很新，位置处于县城中心。', '短评打分': 5}
{'短评内容': '非常不错的酒店 靠江的房间景观很不错', '短评打分': 3}
{'短评内容': '酒店还行，芙蓉江边，比较干净\n早餐一般,可以改进', '短评打分': 5}
{'短评内容': '已经入住，房间很干净无异味，还有一个小地下停车场，总的感觉不错！提醒：入住的每一个人都要提供身份证件。', '短评打分': 3}
{'短评内容': '酒店达不到四星的水平，打开龙头很久才会放得出热水，服务很一般，挂了请问打扰还来敲门', '短评打分': 5}
{'短评内容': '这个重庆瑜珠花园酒店很不错！房间里很干净还有安静~ 酒店的位置也很方便~\n但早餐有点简单。服务员的态度也很好！', '短评打分': 5}
{'短评内容': '在武隆县算是条件很好的酒店了，我们是周三入住的，到芙蓉洞开车只需要20多分钟，到天生三桥只要30分3钟，据说高锋期的时候就不只这点时间了，总之交通很方便，酒店设施也不错。', '短评打分': 5}
{'短评内容': '酒店位置不错，在乌江边上。服务也不错，房间很干净，早餐品种比较多，地下一层可免费停车，但车位不太多。', '短评打分': 5}
{'短评内容': '重庆瑜珠花园酒店（武隆）临乌江，风景优美，服务热情，若能补充冰箱更好。', '短评打分': 3}
{'短评内容': '环境挺好的，就是洗手间的设计部太好，交通也很方便，很干净', '短评打分': 5}
{'短评内容': '非常不错的一家酒店。值得推荐。我订的是大床间，16楼的，一家三口入住。干净，大气的房间。窗外是江景，窗边还有个很安逸的躺椅，躺在上面欣赏武隆县城的夜景，真是非常惬意的事情。以后去武隆，还会选择这家酒店。', '短评打分': 5}
{'短评内容': '酒店总体还行，特色单间不错，就是停车场太小', '短评打分': 5}
{'短评内容': '酒店还行', '短评打分': 3}
{'短评内容': '酒店总体还行，早餐也还不错，在整个县城来看算不错了。不过房间地毯不干净，淋浴设施不好。电梯很差，实际只有一部能用。', '短评打分': 3}
